timestamp;buyer;seller;symbol;currency;price;quantity
10200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10021;6
10700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10015;5
11200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10026;4
15700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10031;2
19100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10016;6
19800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10015;4
22300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;4
28000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9995;4
29200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;4
41100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9994;6
44000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9982;4
45100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9987;3
49800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9956;3
58300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9959;6
60700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9969;5
61600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9970;4
70900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9990;2
71800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;5
72700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9984;3
72800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9982;5
74000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;4
78700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9943;3
80300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9961;4
85500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9950;2
90100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9927;3
91700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9925;2
97600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9941;2
98700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9947;4
101800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9980;3
102400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9980;3
104500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9980;2
109600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9986;6
114500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9991;5
124900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
129400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;4
132400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10000;5
137000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10012;3
143800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;5
145100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10009;5
145400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10000;2
149900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10012;3
150600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10025;4
