timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;-175.0;-80.0;-50.0;0.0;0.0;0.0;0.0;-30.0;-15.0;0.0;0.0;0.0;0.0
100;-370.0;-150.0;-10.0;0.0;0.0;-52.5;-37.5;-75.0;-30.0;-15.0;0.0;0.0;0.0
200;-510.0;-230.0;-10.0;0.0;0.0;-45.0;-75.0;-82.5;-30.0;-30.0;-7.5;0.0;0.0
300;-675.0;-280.0;-80.0;0.0;0.0;-45.0;-60.0;-105.0;-45.0;-45.0;-15.0;0.0;0.0
400;-780.0;-240.0;0.0;0.0;0.0;-60.0;-120.0;-187.5;-75.0;-75.0;-22.5;0.0;0.0
500;-1362.5;-570.0;40.0;0.0;0.0;-90.0;-225.0;-285.0;-120.0;-82.5;-30.0;0.0;0.0
600;-1667.5;-650.0;-80.0;0.0;0.0;-82.5;-247.5;-345.0;-135.0;-90.0;-37.5;0.0;0.0
700;-1905.0;-660.0;-120.0;0.0;0.0;-150.0;-285.0;-397.5;-150.0;-97.5;-45.0;0.0;0.0
800;-1807.5;-580.0;-170.0;0.0;0.0;-135.0;-285.0;-315.0;-165.0;-105.0;-52.5;0.0;0.0
900;-1590.0;-220.0;-260.0;0.0;0.0;-135.0;-285.0;-337.5;-180.0;-112.5;-60.0;0.0;0.0
1000;-1332.5;50.0;-220.0;0.0;0.0;-135.0;-285.0;-360.0;-195.0;-120.0;-67.5;0.0;0.0
1100;-1287.5;-40.0;-190.0;0.0;0.0;-105.0;-210.0;-382.5;-157.5;-127.5;-75.0;0.0;0.0
1200;-1842.5;140.0;-415.0;0.0;0.0;-202.5;-360.0;-547.5;-240.0;-135.0;-82.5;0.0;0.0
1300;-2180.0;140.0;-640.0;0.0;0.0;-225.0;-397.5;-570.0;-255.0;-142.5;-90.0;0.0;0.0
1400;-1207.5;240.0;-240.0;0.0;0.0;-135.0;-240.0;-390.0;-195.0;-150.0;-97.5;0.0;0.0
1500;-1082.5;40.0;-140.0;0.0;0.0;-90.0;-262.5;-255.0;-120.0;-150.0;-105.0;0.0;0.0
1600;-965.0;240.0;-140.0;0.0;0.0;-90.0;-300.0;-277.5;-135.0;-150.0;-112.5;0.0;0.0
1700;-237.5;30.0;160.0;0.0;0.0;-45.0;-75.0;-75.0;-52.5;-60.0;-120.0;0.0;0.0
1800;-770.0;-110.0;60.0;0.0;0.0;-67.5;-187.5;-97.5;-165.0;-75.0;-127.5;0.0;0.0
