timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10019;10
0;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;20
0;SUBMISSION;;VEV_5200;SEASHELLS;106;15
0;SUBMISSION;;VEV_5300;SEASHELLS;54;15
100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10020;10
100;SUBMISSION;;VEV_5000;SEASHELLS;272;15
100;SUBMISSION;;VEV_5100;SEASHELLS;180;15
100;SUBMISSION;;VEV_5200;SEASHELLS;105;15
100;SUBMISSION;;VEV_5400;SEASHELLS;18;15
200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10020;10
200;SUBMISSION;;VEV_5100;SEASHELLS;180;15
200;SUBMISSION;;VEV_5200;SEASHELLS;105;15
200;SUBMISSION;;VEV_5400;SEASHELLS;18;15
200;SUBMISSION;;VEV_5500;SEASHELLS;7;15
300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10021;10
300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;20
300;SUBMISSION;;VEV_5200;SEASHELLS;105;15
300;SUBMISSION;;VEV_5300;SEASHELLS;54;15
300;SUBMISSION;;VEV_5400;SEASHELLS;18;15
300;SUBMISSION;;VEV_5500;SEASHELLS;7;15
400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10019;10
400;SUBMISSION;;VEV_5100;SEASHELLS;179;15
400;SUBMISSION;;VEV_5200;SEASHELLS;104;15
400;SUBMISSION;;VEV_5300;SEASHELLS;53;15
400;SUBMISSION;;VEV_5400;SEASHELLS;17;15
400;SUBMISSION;;VEV_5500;SEASHELLS;7;15
500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10018;10
500;SUBMISSION;;VEV_5100;SEASHELLS;178;15
500;SUBMISSION;;VEV_5200;SEASHELLS;103;15
500;SUBMISSION;;VEV_5400;SEASHELLS;17;15
500;SUBMISSION;;VEV_5500;SEASHELLS;7;15
600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10018;10
600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;60
600;SUBMISSION;;VEV_5100;SEASHELLS;177;15
600;SUBMISSION;;VEV_5200;SEASHELLS;102;15
600;SUBMISSION;;VEV_5300;SEASHELLS;52;15
600;SUBMISSION;;VEV_5400;SEASHELLS;17;15
600;SUBMISSION;;VEV_5500;SEASHELLS;7;15
700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10019;10
700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;20
700;SUBMISSION;;VEV_5000;SEASHELLS;269;15
700;SUBMISSION;;VEV_5300;SEASHELLS;52;15
700;SUBMISSION;;VEV_5400;SEASHELLS;17;15
700;SUBMISSION;;VEV_5500;SEASHELLS;7;15
800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10021;10
800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;20
800;SUBMISSION;;VEV_5200;SEASHELLS;103;15
800;SUBMISSION;;VEV_5300;SEASHELLS;52;15
800;SUBMISSION;;VEV_5400;SEASHELLS;17;15
800;SUBMISSION;;VEV_5500;SEASHELLS;7;15
900;SUBMISSION;;VEV_5200;SEASHELLS;103;15
900;SUBMISSION;;VEV_5300;SEASHELLS;52;15
900;SUBMISSION;;VEV_5400;SEASHELLS;17;15
900;SUBMISSION;;VEV_5500;SEASHELLS;7;15
1000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;20
1000;SUBMISSION;;VEV_5200;SEASHELLS;103;15
1000;SUBMISSION;;VEV_5300;SEASHELLS;52;15
1000;SUBMISSION;;VEV_5400;SEASHELLS;17;15
1000;SUBMISSION;;VEV_5500;SEASHELLS;7;15
1100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;20
