timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;-307.5;0.0;-180.0;0.0;0.0;-45.0;-37.5;-22.5;0.0;-15.0;-7.5;0.0;0.0
100;-615.0;0.0;-360.0;0.0;0.0;-60.0;-75.0;-60.0;-15.0;-30.0;-15.0;0.0;0.0
200;-702.5;0.0;-410.0;0.0;0.0;-90.0;-75.0;-60.0;-15.0;-30.0;-22.5;0.0;0.0
300;-827.5;0.0;-460.0;0.0;0.0;-157.5;-75.0;-60.0;-15.0;-30.0;-30.0;0.0;0.0
400;-952.5;0.0;-510.0;0.0;0.0;-225.0;-75.0;-60.0;-15.0;-30.0;-37.5;0.0;0.0
500;-845.0;0.0;-380.0;0.0;0.0;-225.0;-97.5;-52.5;-15.0;-30.0;-45.0;0.0;0.0
600;-577.5;0.0;-180.0;0.0;0.0;-150.0;-90.0;-30.0;-30.0;-45.0;-52.5;0.0;0.0
700;-675.0;0.0;-180.0;0.0;0.0;-150.0;-127.5;-52.5;-45.0;-60.0;-60.0;0.0;0.0
800;-332.5;0.0;20.0;0.0;0.0;-75.0;-90.0;-52.5;-37.5;-30.0;-67.5;0.0;0.0
900;-55.0;-80.0;220.0;0.0;0.0;0.0;-45.0;-22.5;-15.0;-37.5;-75.0;0.0;0.0
1000;-572.5;-60.0;20.0;0.0;0.0;-90.0;-105.0;-127.5;-82.5;-45.0;-82.5;0.0;0.0
1100;-1455.0;-60.0;-180.0;0.0;0.0;-300.0;-322.5;-232.5;-150.0;-120.0;-90.0;0.0;0.0
1200;-1437.5;-50.0;-180.0;0.0;0.0;-300.0;-360.0;-150.0;-165.0;-135.0;-97.5;0.0;0.0
1300;-1052.5;-60.0;20.0;0.0;0.0;-195.0;-285.0;-195.0;-165.0;-67.5;-105.0;0.0;0.0
1400;-985.0;-60.0;20.0;0.0;0.0;-195.0;-247.5;-195.0;-120.0;-75.0;-112.5;0.0;0.0
1500;-515.0;-150.0;220.0;0.0;0.0;-90.0;-165.0;-67.5;-60.0;-82.5;-120.0;0.0;0.0
1600;-465.0;-230.0;320.0;0.0;0.0;-90.0;-82.5;-90.0;-75.0;-90.0;-127.5;0.0;0.0
1700;-420.0;-110.0;320.0;0.0;0.0;-90.0;-82.5;-135.0;-90.0;-90.0;-142.5;0.0;0.0
1800;-767.5;-80.0;220.0;-157.5;0.0;-90.0;-165.0;-157.5;-90.0;-97.5;-150.0;0.0;0.0
1900;-1437.5;-50.0;120.0;-157.5;0.0;-180.0;-322.5;-382.5;-210.0;-105.0;-150.0;0.0;0.0
2000;-1980.0;-110.0;20.0;-172.5;0.0;-315.0;-420.0;-405.0;-315.0;-112.5;-150.0;0.0;0.0
2100;-1520.0;10.0;120.0;-157.5;0.0;-225.0;-360.0;-405.0;-232.5;-120.0;-150.0;0.0;0.0
2200;-1735.0;-10.0;120.0;-157.5;0.0;-315.0;-435.0;-405.0;-255.0;-127.5;-150.0;0.0;0.0
2300;-2432.5;-90.0;20.0;-172.5;0.0;-540.0;-555.0;-427.5;-390.0;-127.5;-150.0;0.0;0.0
2400;-3230.0;-170.0;-180.0;-187.5;0.0;-690.0;-712.5;-450.0;-405.0;-285.0;-150.0;0.0;0.0
2500;-2510.0;-250.0;20.0;-172.5;0.0;-585.0;-495.0;-450.0;-292.5;-135.0;-150.0;0.0;0.0
2600;-1967.5;-320.0;220.0;-157.5;0.0;-465.0;-420.0;-225.0;-315.0;-135.0;-150.0;0.0;0.0
2700;-2035.0;-380.0;220.0;-315.0;0.0;-465.0;-420.0;-225.0;-165.0;-135.0;-150.0;0.0;0.0
2800;-1195.0;-460.0;420.0;-285.0;0.0;-225.0;-120.0;-225.0;-165.0;15.0;-150.0;0.0;0.0
2900;-1000.0;-620.0;220.0;-150.0;0.0;-105.0;-120.0;75.0;-15.0;-135.0;-150.0;0.0;0.0
3000;-1775.0;-650.0;420.0;-285.0;0.0;-315.0;-270.0;-225.0;-165.0;-135.0;-150.0;0.0;0.0
3100;-2445.0;-670.0;220.0;-315.0;0.0;-585.0;-420.0;-225.0;-165.0;-135.0;-150.0;0.0;0.0
3200;-1505.0;-530.0;420.0;-285.0;0.0;-315.0;-270.0;-225.0;-165.0;15.0;-150.0;0.0;0.0
3300;-1042.5;-460.0;520.0;-442.5;0.0;-315.0;-120.0;75.0;-165.0;15.0;-150.0;0.0;0.0
3400;-577.5;-320.0;620.0;-397.5;0.0;-135.0;-120.0;75.0;-165.0;15.0;-150.0;0.0;0.0
3500;-647.5;-390.0;620.0;-397.5;0.0;-135.0;-120.0;75.0;-165.0;15.0;-150.0;0.0;0.0
3600;857.5;-180.0;820.0;-352.5;0.0;165.0;180.0;75.0;135.0;165.0;-150.0;0.0;0.0
3700;-487.5;-530.0;620.0;-397.5;0.0;-135.0;30.0;75.0;-15.0;15.0;-150.0;0.0;0.0
3800;-17.5;-460.0;1020.0;-397.5;0.0;-135.0;30.0;75.0;-15.0;15.0;-150.0;0.0;0.0
3900;987.5;-750.0;920.0;-352.5;0.0;165.0;330.0;375.0;135.0;165.0;0.0;0.0;0.0
