timestamp;buyer;seller;symbol;currency;price;quantity
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;2
2800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;10
5200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
5200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;9
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
6200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
7500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
9000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
9500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
13000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
14600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
14900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
16600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
17200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;3
20900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
21500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
