timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;-88.0;0.0;-88.0
700;-71.5;0.0;-71.5
800;-286.0;0.0;-286.0
900;-143.0;0.0;-143.0
1000;-195.0;0.0;-195.0
1100;41.0;0.0;41.0
1200;-225.5;0.0;-225.5
1300;-225.5;0.0;-225.5
1400;-225.5;0.0;-225.5
1500;-164.0;0.0;-164.0
1600;-164.0;0.0;-164.0
1700;-492.0;0.0;-492.0
1800;-225.5;0.0;-225.5
1900;-290.5;0.0;-290.5
2000;-319.0;0.0;-319.0
2100;101.0;0.0;101.0
2200;-289.0;0.0;-289.0
2300;-199.0;0.0;-199.0
2400;-289.0;0.0;-289.0
2500;-79.0;0.0;-79.0
2600;-289.0;0.0;-289.0
2700;-347.5;0.0;-347.5
2800;-939.0;0.0;-939.0
2900;-419.0;0.0;-419.0
3000;-379.0;0.0;-379.0
3100;181.0;0.0;181.0
3200;-339.0;0.0;-339.0
3300;181.0;0.0;181.0
3400;-339.0;0.0;-339.0
3500;-339.0;0.0;-339.0
3600;-339.0;0.0;-339.0
3700;-324.0;15.0;-339.0
3800;-496.5;2.5;-499.0
3900;-329.0;10.0;-339.0
4000;-289.0;10.0;-299.0
4100;-759.0;20.0;-779.0
4200;-246.5;12.5;-259.0
4300;266.0;5.0;261.0
4400;-374.0;5.0;-379.0
4500;-249.0;10.0;-259.0
4600;-254.0;5.0;-259.0
4700;-169.0;-30.0;-139.0
4800;-241.5;17.5;-259.0
4900;-129.0;10.0;-139.0
5000;-324.0;15.0;-339.0
5100;-169.0;10.0;-179.0
5200;-609.0;10.0;-619.0
5300;-169.0;10.0;-179.0
5400;-49.0;10.0;-59.0
5500;-174.0;5.0;-179.0
5600;-291.5;7.5;-299.0
5700;-176.5;2.5;-179.0
5800;-174.0;5.0;-179.0
5900;-169.0;10.0;-179.0
6000;-449.0;10.0;-459.0
6100;31.0;10.0;21.0
6200;-89.0;10.0;-99.0
6300;-89.0;10.0;-99.0
6400;76.0;55.0;21.0
6500;-44.0;55.0;-99.0
6600;-849.0;10.0;-859.0
6700;76.0;55.0;21.0
6800;-44.0;55.0;-99.0
6900;-44.0;55.0;-99.0
7000;-4.0;55.0;-59.0
7100;64.0;83.0;-19.0
7200;68.0;87.0;-19.0
7300;85.0;104.0;-19.0
7400;93.5;112.5;-19.0
7500;324.0;223.0;101.0
7600;68.0;87.0;-19.0
7700;-52.0;87.0;-139.0
7800;161.5;180.5;-19.0
7900;79.0;98.0;-19.0
8000;209.0;68.0;141.0
8100;179.0;118.0;61.0
8200;179.0;118.0;61.0
8300;59.0;118.0;-59.0
8400;59.0;118.0;-59.0
8500;179.0;118.0;61.0
8600;194.0;133.0;61.0
8700;-291.0;168.0;-459.0
8800;229.0;168.0;61.0
8900;319.0;138.0;181.0
9000;374.0;273.0;101.0
9100;294.0;153.0;141.0
9200;271.5;130.5;141.0
9300;-146.0;153.0;-299.0
9400;279.0;138.0;141.0
9500;343.0;202.0;141.0
9600;335.0;194.0;141.0
9700;311.0;170.0;141.0
9800;357.0;216.0;141.0
9900;357.0;216.0;141.0
10000;397.0;216.0;181.0
10100;450.0;229.0;221.0
10200;317.0;216.0;101.0
10300;437.0;216.0;221.0
10400;297.5;196.5;101.0
10500;437.0;216.0;221.0
10600;437.0;216.0;221.0
10700;437.0;216.0;221.0
10800;557.0;216.0;341.0
10900;424.0;203.0;221.0
11000;360.0;99.0;261.0
11100;504.0;203.0;301.0
11200;530.0;229.0;301.0
11300;517.0;216.0;301.0
11400;530.0;229.0;301.0
11500;317.0;216.0;101.0
11600;517.0;216.0;301.0
11700;10.0;229.0;-219.0
11800;517.0;216.0;301.0
11900;917.0;216.0;701.0
12000;570.0;229.0;341.0
12100;577.5;196.5;381.0
12200;701.0;320.0;381.0
12300;457.5;196.5;261.0
12400;584.0;203.0;381.0
12500;571.0;190.0;381.0
