timestamp;buyer;seller;symbol;currency;price;quantity
3400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5247;19
3600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5246;16
3800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5243;11
3900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5246;54
8000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;6
9000;SUBMISSION;;VEV_4000;SEASHELLS;1227;2
9900;SUBMISSION;;VEV_5200;SEASHELLS;94;29
9900;SUBMISSION;;VEV_5300;SEASHELLS;48;22
9900;SUBMISSION;;VEV_5400;SEASHELLS;20;9
9900;SUBMISSION;;VEV_5400;SEASHELLS;21;13
9900;SUBMISSION;;VEV_5500;SEASHELLS;8;22
10000;SUBMISSION;;VEV_5200;SEASHELLS;93;21
10000;SUBMISSION;;VEV_5300;SEASHELLS;47;28
10000;SUBMISSION;;VEV_5400;SEASHELLS;20;28
10000;SUBMISSION;;VEV_5500;SEASHELLS;8;28
10100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10013;5
10100;SUBMISSION;;VEV_5200;SEASHELLS;92;28
10100;SUBMISSION;;VEV_5300;SEASHELLS;47;20
10100;SUBMISSION;;VEV_5400;SEASHELLS;20;20
10100;SUBMISSION;;VEV_5500;SEASHELLS;8;20
10200;SUBMISSION;;VEV_5200;SEASHELLS;93;17
10200;SUBMISSION;;VEV_5300;SEASHELLS;47;20
10200;SUBMISSION;;VEV_5400;SEASHELLS;20;20
10200;SUBMISSION;;VEV_5500;SEASHELLS;8;20
10300;SUBMISSION;;VEV_5300;SEASHELLS;47;5
10300;SUBMISSION;;VEV_5400;SEASHELLS;20;5
10300;SUBMISSION;;VEV_5500;SEASHELLS;8;5
11100;;SUBMISSION;VEV_4000;SEASHELLS;1241;1
15300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10025;3
15400;SUBMISSION;;VEV_4000;SEASHELLS;1237;3
18600;;SUBMISSION;VEV_4000;SEASHELLS;1242;3
24100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;5
24400;SUBMISSION;;VEV_4000;SEASHELLS;1230;1
28400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;14
28500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;10
28600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;12
28600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;29
28700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;13
28700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;24
28800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;7
41500;;SUBMISSION;VEV_4000;SEASHELLS;1237;1
57500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5245;4
57900;SUBMISSION;;VEV_4000;SEASHELLS;1237;1
61900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5241;5
62400;SUBMISSION;;VEV_4000;SEASHELLS;1234;2
64400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5237;9
75300;;SUBMISSION;VEV_4000;SEASHELLS;1248;3
75500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5242;6
76300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;8
79000;SUBMISSION;;VEV_4000;SEASHELLS;1240;2
79800;;SUBMISSION;VEV_4000;SEASHELLS;1255;1
79900;;SUBMISSION;VEV_4000;SEASHELLS;1256;2
81700;;SUBMISSION;VEV_4000;SEASHELLS;1259;1
85300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;6
85800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;4
86300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;7
86800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;6
87800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5238;21
87800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;8
88000;;SUBMISSION;VEV_4000;SEASHELLS;1242;1
98200;;SUBMISSION;VEV_4000;SEASHELLS;1241;3
99100;;SUBMISSION;VEV_4000;SEASHELLS;1246;1
