timestamp;buyer;seller;symbol;currency;price;quantity
900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5262;8
2000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5266;8
2500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;15
2600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;74
7000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5271;11
7100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;15
8700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5271;17
8800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5270;23
8900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5270;23
9100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;9
9500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;67
9900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5262;5
11400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;58
11500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;23
13900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;4
16000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;9
16300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
19000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5272;18
19700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;13
23100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;4
23400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;58
26500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;6
32300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;15
32400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;22
32500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;4
33000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5266;21
33100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5267;7
33300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;7
35800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;7
36100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;4
37900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;4
39800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5263;21
40700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5257;18
40900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5256;17
42000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5248;8
44600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;70
48100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;7
49000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5257;13
50900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;19
53200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;5
53600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5258;5
54000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5259;19
55400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5256;7
55800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5254;8
56600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5251;8
61200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;22
63200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5252;8
67600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;23
67600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;4
69200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5253;11
70400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5259;5
71300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5254;6
71500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5252;4
73200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5255;5
76700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;4
80100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5259;55
82100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5269;5
84800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5275;5
86300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5268;14
88700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5269;8
89700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5269;20
91700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;8
94100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5268;5
94500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5267;9
94800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5267;18
94900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5264;10
95100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5263;8
95600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5262;9
97200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;7
97400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5259;5
104000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5260;8
108800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;3
109400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;6
109800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5266;3
111300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;7
112600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5257;10
112600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5257;10
117000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;25
117100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;9
119300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5252;23
120400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;23
125900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;10
127500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5260;10
127700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5258;25
133000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5259;7
137400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;10
137400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;8
138300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5256;15
138400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5256;10
138700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;3
143100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;7
143800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;15
144300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;6
144900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;10
145100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5267;6
146600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;16
147200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5260;8
148100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;2
151000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;10
154300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;6
155100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5276;8
155300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5276;3
155700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5276;4
157300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;5
157400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5272;13
157400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;13
163300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;16
163300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5273;33
163400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5277;10
163400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5275;70
164100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5281;5
165600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5277;18
165700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;10
165700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5277;65
165700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5276;10
166000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5275;7
166300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5275;24
166400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5272;20
166400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;50
170500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;7
171200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;66
172600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5275;8
174000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5277;6
178100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5275;9
178200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5273;3
178700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5275;5
179200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5270;8
181200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5267;14
186300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5258;10
192800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;18
194900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5258;6
196200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;8
196900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5260;12
202600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;12
203500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;4
204600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;8
