timestamp;buyer;seller;symbol;currency;price;quantity
3800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5243;11
5200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5237;3
9300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5230;6
12100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;20
13700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5241;11
14000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5242;7
17000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;6
17000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;6
21200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5234;5
21700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5234;1
26100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5227;5
28700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5234;5
33300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5232;6
36500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5230;7
36800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5229;7
37400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5233;8
38700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5235;6
39100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5231;6
46700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;24
47900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5235;4
55000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5237;8
56300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;21
61400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;33
64700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5233;5
65600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;8
68000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5235;3
69200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5239;1
74700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5243;1
76300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;8
82500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5250;8
82600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5246;10
85800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;4
86800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;6
87800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5238;21
94600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5235;5
95600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;8
95800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;9
96700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;6
98600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;1
101800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5240;4
102000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5236;4
104200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5233;11
110000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5223;8
111000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5223;10
117700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5222;8
121600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5223;20
121700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5224;1
122000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5226;18
122100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5228;25
122100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5227;41
127600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5238;10
129800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5240;7
130400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;10
131200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5237;7
132100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;8
135900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5238;16
137400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5234;15
137400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5235;27
137500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5232;24
137600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5231;21
138200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5228;25
140800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5229;24
140800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5229;7
140900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;16
141100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5231;22
141100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;1
141700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5233;6
144100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5228;7
148100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5224;3
148700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5224;8
150300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5229;12
152200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;3
156600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;4
159000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5248;6
169200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5248;9
169400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5252;6
170700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5250;14
