timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-104.0;0.0;-12.5;0.0;0.0;-18.0;-24.5;-10.0;0.0;-20.0;0.0;-10.0;-9.0
200;-297.5;0.0;-75.0;0.0;0.0;-63.0;-24.5;-40.0;-10.0;-45.0;0.0;-22.5;-17.5
300;-557.0;0.0;-212.5;0.0;0.0;-95.0;-35.0;-57.0;-35.0;-64.0;0.0;-32.0;-26.5
400;-361.0;0.0;-77.0;0.0;0.0;-86.0;-14.0;-32.0;-30.0;-44.5;0.0;-44.5;-33.0
500;-147.5;0.0;-14.5;0.0;0.0;-6.0;17.5;3.0;10.0;-57.0;0.0;-57.5;-43.0
600;-2.5;0.0;173.0;0.0;0.0;-26.0;17.5;18.0;0.0;-66.5;0.0;-67.0;-51.5
700;-54.0;0.0;110.5;0.0;0.0;14.0;28.0;38.0;-10.0;-99.0;0.0;-79.0;-56.5
800;-177.5;0.0;110.5;0.0;0.0;-6.0;28.0;-32.0;-20.0;-108.0;0.0;-88.0;-62.0
900;-44.5;0.0;298.0;0.0;0.0;-6.0;28.0;-48.0;-30.0;-118.0;0.0;-98.0;-70.5
1000;-291.0;0.0;110.5;0.0;0.0;-6.0;28.0;-67.0;-40.0;-130.0;0.0;-110.0;-76.5
1100;-592.0;0.0;-14.5;0.0;0.0;-46.0;7.0;-82.0;-105.0;-142.5;0.0;-123.0;-86.0
1200;-269.5;0.0;110.5;0.0;0.0;14.0;38.5;13.0;-60.0;-155.0;0.0;-137.5;-93.0
1300;-225.0;0.0;173.0;0.0;0.0;34.0;38.5;13.0;-70.0;-165.5;0.0;-148.0;-100.0
1400;-793.5;0.0;-77.0;0.0;0.0;-46.0;7.0;-97.0;-154.0;-170.0;0.0;-150.0;-106.5
1500;-1137.0;0.0;-139.5;0.0;0.0;-86.0;-3.5;-232.0;-244.0;-170.0;0.0;-150.0;-112.0
1600;-1233.5;0.0;-202.0;0.0;0.0;-86.0;-3.5;-247.0;-254.0;-170.0;0.0;-150.0;-121.0
1700;-2037.5;0.0;-527.0;0.0;0.0;-126.0;-35.0;-402.0;-349.0;-320.0;0.0;-150.0;-128.5
1800;-1958.5;0.0;-502.0;0.0;0.0;-135.0;-24.5;-417.0;-274.0;-320.0;0.0;-150.0;-136.0
1900;-2365.0;0.0;-702.0;0.0;0.0;-200.0;-35.0;-436.0;-379.0;-320.0;0.0;-150.0;-143.0
2000;-3523.5;0.0;-1102.0;0.0;0.0;-370.0;-66.5;-621.0;-594.0;-470.0;0.0;-150.0;-150.0
2100;-4251.0;0.0;-1302.0;0.0;0.0;-481.0;-168.0;-816.0;-714.0;-470.0;0.0;-150.0;-150.0
2200;-3706.0;0.0;-1102.0;0.0;0.0;-422.0;-157.0;-641.0;-614.0;-470.0;0.0;-150.0;-150.0
2300;-4414.0;0.0;-1202.0;0.0;0.0;-556.0;-286.0;-856.0;-744.0;-470.0;0.0;-150.0;-150.0
2400;-5411.5;0.0;-1502.0;0.0;0.0;-696.0;-457.5;-1081.0;-755.0;-620.0;0.0;-150.0;-150.0
2500;-7040.5;0.0;-1902.0;0.0;0.0;-969.0;-765.5;-1319.0;-1015.0;-770.0;0.0;-150.0;-150.0
2600;-7361.0;0.0;-1902.0;0.0;0.0;-1064.0;-836.0;-1334.0;-1155.0;-770.0;0.0;-150.0;-150.0
2700;-7020.0;0.0;-1802.0;0.0;0.0;-960.0;-804.0;-1349.0;-1035.0;-770.0;0.0;-150.0;-150.0
2800;-6715.0;0.0;-1702.0;0.0;0.0;-920.0;-764.0;-1364.0;-1045.0;-620.0;0.0;-150.0;-150.0
2900;-4715.0;0.0;-1302.0;0.0;0.0;-632.0;-383.0;-861.0;-767.0;-470.0;0.0;-150.0;-150.0
3000;-5874.0;-9.0;-1502.0;0.0;0.0;-835.0;-685.0;-1146.0;-777.0;-620.0;0.0;-150.0;-150.0
3100;-8001.0;-17.0;-1902.0;0.0;0.0;-1226.0;-1268.0;-1441.0;-1077.0;-770.0;0.0;-150.0;-150.0
3200;-8636.5;-34.0;-2002.0;0.0;0.0;-1351.0;-1351.5;-1601.0;-1227.0;-770.0;0.0;-150.0;-150.0
3300;-9833.0;-45.0;-2102.0;-119.0;-89.0;-1586.0;-1674.0;-1771.0;-1377.0;-770.0;0.0;-150.0;-150.0
3400;-11045.0;-75.0;-2302.0;-244.0;-202.0;-1730.0;-1974.0;-2071.0;-1377.0;-770.0;0.0;-150.0;-150.0
3500;-9895.0;-79.0;-2102.0;-325.0;-257.0;-1540.0;-1524.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
3600;-10698.0;-107.0;-2202.0;-450.0;-362.0;-1685.0;-1674.0;-1771.0;-1377.0;-770.0;0.0;-150.0;-150.0
3700;-10505.0;-109.0;-2102.0;-535.0;-417.0;-1600.0;-1674.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
3800;-11063.0;-109.0;-2102.0;-670.0;-534.0;-1756.0;-1674.0;-1771.0;-1377.0;-770.0;0.0;-150.0;-150.0
3900;-11340.0;-53.0;-2202.0;-784.0;-618.0;-1791.0;-1674.0;-1771.0;-1377.0;-770.0;0.0;-150.0;-150.0
4000;-10279.0;-89.0;-1902.0;-814.0;-626.0;-1556.0;-1374.0;-1771.0;-1077.0;-770.0;0.0;-150.0;-150.0
4100;-11728.0;-135.0;-2102.0;-969.0;-759.0;-1871.0;-1674.0;-1771.0;-1377.0;-770.0;0.0;-150.0;-150.0
4200;-13006.0;-193.0;-2302.0;-1174.0;-944.0;-2051.0;-1824.0;-2071.0;-1377.0;-770.0;0.0;-150.0;-150.0
4300;-13182.0;-140.0;-2302.0;-1279.0;-1035.0;-2084.0;-1824.0;-2071.0;-1377.0;-770.0;0.0;-150.0;-150.0
4400;-10579.0;-172.0;-1902.0;-1147.0;-882.0;-1484.0;-1374.0;-1471.0;-1077.0;-770.0;0.0;-150.0;-150.0
4500;-10457.0;-110.0;-1902.0;-1147.0;-822.0;-1484.0;-1374.0;-1471.0;-1077.0;-770.0;0.0;-150.0;-150.0
4600;-8205.0;-118.0;-1502.0;-907.0;-702.0;-1034.0;-924.0;-1171.0;-927.0;-620.0;0.0;-150.0;-150.0
4700;-8387.0;-140.0;-1602.0;-967.0;-702.0;-1034.0;-924.0;-1171.0;-927.0;-620.0;0.0;-150.0;-150.0
4800;-8161.0;-134.0;-1502.0;-907.0;-642.0;-1034.0;-924.0;-1171.0;-927.0;-620.0;0.0;-150.0;-150.0
4900;-11359.0;-232.0;-1902.0;-1207.0;-942.0;-1634.0;-1374.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
5000;-11791.0;-216.0;-2002.0;-1321.0;-1026.0;-1634.0;-1524.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
5100;-11892.0;-125.0;-2002.0;-1431.0;-1108.0;-1634.0;-1524.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
5200;-11919.0;40.0;-2002.0;-1541.0;-1190.0;-1634.0;-1524.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
5300;-12636.0;73.0;-2102.0;-1731.0;-1350.0;-1784.0;-1674.0;-1771.0;-1227.0;-770.0;0.0;-150.0;-150.0
