timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-93.0;-93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-233.0;-233.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300;-429.0;-429.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-503.0;-503.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500;-490.0;-490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
600;-405.0;-405.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
700;-405.0;-405.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800;-575.0;-575.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
900;-660.0;-660.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;-1015.0;-1015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;-803.0;-803.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1200;-862.5;-862.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1300;-922.0;-922.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1400;-934.0;-934.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1500;-526.0;-526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1600;-526.0;-526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;-390.0;-390.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1800;-526.0;-526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;-1070.0;-1070.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000;-909.0;-909.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2100;-1368.0;-1368.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2200;-1167.5;-1176.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;0.0;0.0
2300;-1346.0;-1346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2400;-1307.0;-1307.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2500;-1876.5;-1868.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-8.5;0.0;0.0
2600;-1978.0;-1978.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2700;-2178.0;-2178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2800;-2361.0;-2378.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0
2900;-2278.0;-2278.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3000;-1178.0;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3100;-1795.0;-1778.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.0;0.0;0.0
3200;-1203.5;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-25.5;0.0;0.0
3300;-1212.0;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-34.0;0.0;0.0
3400;-520.5;-478.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-42.5;0.0;0.0
3500;-1029.0;-978.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-51.0;0.0;0.0
3600;-1237.5;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-59.5;0.0;0.0
3700;-846.0;-778.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-68.0;0.0;0.0
3800;-1054.5;-978.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-76.5;0.0;0.0
3900;-863.0;-778.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-85.0;0.0;0.0
4000;-671.5;-578.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-93.5;0.0;0.0
4100;-680.0;-578.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.0;0.0;0.0
4200;-888.5;-778.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-110.5;0.0;0.0
4300;-1297.0;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-119.0;0.0;0.0
4400;-1305.5;-1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-127.5;0.0;0.0
4500;-1114.0;-978.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-136.0;0.0;0.0
