timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5265.0;17
0;;SUBMISSION;VEV_4000;XIREC;1257.0;15
0;;SUBMISSION;VEV_4000;XIREC;1254.0;2
0;;SUBMISSION;VEV_4500;XIREC;759.0;7
0;;SUBMISSION;VEV_4500;XIREC;757.0;10
0;;SUBMISSION;VEV_5000;XIREC;267.0;7
0;;SUBMISSION;VEV_5000;XIREC;266.0;10
0;;SUBMISSION;VEV_5100;XIREC;177.0;7
0;;SUBMISSION;VEV_5100;XIREC;176.0;10
0;;SUBMISSION;VEV_5200;XIREC;102.0;17
0;;SUBMISSION;VEV_5300;XIREC;52.0;17
100;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;17
100;;SUBMISSION;VEV_4000;XIREC;1255.0;12
100;;SUBMISSION;VEV_4000;XIREC;1252.0;5
100;;SUBMISSION;VEV_4500;XIREC;757.0;10
100;;SUBMISSION;VEV_4500;XIREC;756.0;7
100;;SUBMISSION;VEV_5000;XIREC;265.0;17
100;;SUBMISSION;VEV_5300;XIREC;51.0;17
200;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;17
200;;SUBMISSION;VEV_4000;XIREC;1255.0;10
200;;SUBMISSION;VEV_4000;XIREC;1253.0;7
200;;SUBMISSION;VEV_4500;XIREC;758.0;8
200;;SUBMISSION;VEV_4500;XIREC;756.0;9
200;;SUBMISSION;VEV_5000;XIREC;266.0;8
200;;SUBMISSION;VEV_5000;XIREC;265.0;9
200;;SUBMISSION;VEV_5300;XIREC;51.0;17
300;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5264.0;17
300;;SUBMISSION;VEV_4000;XIREC;1256.0;10
300;;SUBMISSION;VEV_4000;XIREC;1253.0;7
300;;SUBMISSION;VEV_4500;XIREC;758.0;9
300;;SUBMISSION;VEV_4500;XIREC;756.0;8
300;;SUBMISSION;VEV_5000;XIREC;266.0;9
300;;SUBMISSION;VEV_5000;XIREC;265.0;8
300;;SUBMISSION;VEV_5300;XIREC;51.0;17
400;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5262.0;17
400;;SUBMISSION;VEV_4000;XIREC;1254.0;8
400;;SUBMISSION;VEV_4000;XIREC;1252.0;9
400;;SUBMISSION;VEV_4500;XIREC;757.0;8
400;;SUBMISSION;VEV_4500;XIREC;755.0;9
400;;SUBMISSION;VEV_5300;XIREC;51.0;17
600;;SUBMISSION;VEV_4000;XIREC;1261.0;5
600;;SUBMISSION;VEV_4000;XIREC;1251.0;9
600;;SUBMISSION;VEV_4000;XIREC;1249.0;3
600;;SUBMISSION;VEV_4500;XIREC;761.0;5
600;;SUBMISSION;VEV_4500;XIREC;754.0;9
600;;SUBMISSION;VEV_4500;XIREC;752.0;3
900;Mark 67;Mark 49;VELVETFRUIT_EXTRACT;XIREC;5262.0;8
1300;Mark 14;Mark 38;VEV_4000;XIREC;1251.0;3
1500;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5262.0;17
1500;;SUBMISSION;VEV_4000;XIREC;1254.0;8
1500;;SUBMISSION;VEV_4000;XIREC;1252.0;9
1500;;SUBMISSION;VEV_4500;XIREC;757.0;10
1500;;SUBMISSION;VEV_4500;XIREC;755.0;7
1500;;SUBMISSION;VEV_5300;XIREC;51.0;17
1600;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5262.0;17
1600;;SUBMISSION;VEV_4000;XIREC;1254.0;13
1600;;SUBMISSION;VEV_4000;XIREC;1252.0;4
1600;;SUBMISSION;VEV_4500;XIREC;757.0;7
1600;;SUBMISSION;VEV_4500;XIREC;755.0;10
1600;;SUBMISSION;VEV_5300;XIREC;51.0;17
1700;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;17
1700;;SUBMISSION;VEV_4000;XIREC;1255.0;14
1700;;SUBMISSION;VEV_4000;XIREC;1253.0;3
1700;;SUBMISSION;VEV_4500;XIREC;758.0;6
1700;;SUBMISSION;VEV_4500;XIREC;756.0;11
1700;;SUBMISSION;VEV_5000;XIREC;266.0;6
1700;;SUBMISSION;VEV_5000;XIREC;265.0;11
1700;;SUBMISSION;VEV_5300;XIREC;51.0;17
1800;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;17
1800;;SUBMISSION;VEV_4000;XIREC;1255.0;13
1800;;SUBMISSION;VEV_4000;XIREC;1253.0;4
1800;;SUBMISSION;VEV_4500;XIREC;758.0;6
1800;;SUBMISSION;VEV_4500;XIREC;756.0;11
1800;;SUBMISSION;VEV_5000;XIREC;265.0;17
1800;;SUBMISSION;VEV_5300;XIREC;51.0;17
1900;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5264.0;17
1900;;SUBMISSION;VEV_4000;XIREC;1256.0;15
1900;;SUBMISSION;VEV_4000;XIREC;1253.0;2
1900;;SUBMISSION;VEV_4500;XIREC;758.0;11
1900;;SUBMISSION;VEV_4500;XIREC;756.0;6
1900;;SUBMISSION;VEV_5000;XIREC;266.0;11
1900;;SUBMISSION;VEV_5000;XIREC;265.0;6
1900;;SUBMISSION;VEV_5300;XIREC;51.0;16
2000;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5266.0;17
2000;;SUBMISSION;VEV_4000;XIREC;1258.0;10
2000;;SUBMISSION;VEV_4000;XIREC;1255.0;7
2000;;SUBMISSION;VEV_4500;XIREC;760.0;9
2000;;SUBMISSION;VEV_4500;XIREC;758.0;8
2000;;SUBMISSION;VEV_5000;XIREC;268.0;9
2000;;SUBMISSION;VEV_5000;XIREC;267.0;8
2000;;SUBMISSION;VEV_5100;XIREC;177.0;17
2000;;SUBMISSION;VEV_5200;XIREC;103.0;17
2000;;SUBMISSION;VEV_5300;XIREC;52.0;17
2100;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5267.0;13
2100;;SUBMISSION;VEV_4000;XIREC;1259.0;8
2100;;SUBMISSION;VEV_4000;XIREC;1256.0;9
2100;;SUBMISSION;VEV_4500;XIREC;761.0;9
2100;;SUBMISSION;VEV_4500;XIREC;759.0;8
2100;;SUBMISSION;VEV_5000;XIREC;269.0;9
2100;;SUBMISSION;VEV_5000;XIREC;268.0;8
2100;;SUBMISSION;VEV_5100;XIREC;178.0;17
2100;;SUBMISSION;VEV_5200;XIREC;104.0;17
2100;;SUBMISSION;VEV_5300;XIREC;53.0;17
2200;;SUBMISSION;VEV_4000;XIREC;1258.0;14
2200;;SUBMISSION;VEV_4000;XIREC;1255.0;3
2200;;SUBMISSION;VEV_4500;XIREC;760.0;6
2200;;SUBMISSION;VEV_4500;XIREC;758.0;11
2200;;SUBMISSION;VEV_5000;XIREC;268.0;6
2200;;SUBMISSION;VEV_5000;XIREC;267.0;11
2200;;SUBMISSION;VEV_5100;XIREC;177.0;17
2200;;SUBMISSION;VEV_5200;XIREC;103.0;17
2200;;SUBMISSION;VEV_5300;XIREC;52.0;17
2300;;SUBMISSION;VEV_4000;XIREC;1258.0;13
2300;;SUBMISSION;VEV_4000;XIREC;1256.0;4
2300;;SUBMISSION;VEV_4500;XIREC;761.0;10
2300;;SUBMISSION;VEV_4500;XIREC;759.0;7
2300;;SUBMISSION;VEV_5000;XIREC;269.0;10
2300;;SUBMISSION;VEV_5000;XIREC;268.0;7
2300;;SUBMISSION;VEV_5100;XIREC;178.0;17
2300;;SUBMISSION;VEV_5200;XIREC;104.0;17
2300;;SUBMISSION;VEV_5300;XIREC;53.0;9
2300;;SUBMISSION;VEV_5300;XIREC;52.0;8
2400;;SUBMISSION;VEV_4000;XIREC;1260.0;13
2400;;SUBMISSION;VEV_4000;XIREC;1257.0;4
2400;;SUBMISSION;VEV_4500;XIREC;762.0;7
2400;;SUBMISSION;VEV_4500;XIREC;760.0;10
2400;;SUBMISSION;VEV_5000;XIREC;270.0;7
2400;;SUBMISSION;VEV_5000;XIREC;269.0;10
2400;;SUBMISSION;VEV_5100;XIREC;179.0;17
2400;;SUBMISSION;VEV_5200;XIREC;105.0;7
2400;;SUBMISSION;VEV_5200;XIREC;104.0;10
2400;;SUBMISSION;VEV_5300;XIREC;53.0;17
2500;;SUBMISSION;VEV_4000;XIREC;1262.0;9
2500;;SUBMISSION;VEV_4000;XIREC;1259.0;8
2500;;SUBMISSION;VEV_4500;XIREC;764.0;10
2500;;SUBMISSION;VEV_4500;XIREC;762.0;7
2500;;SUBMISSION;VEV_5000;XIREC;272.0;10
2500;;SUBMISSION;VEV_5000;XIREC;271.0;7
2500;;SUBMISSION;VEV_5100;XIREC;181.0;10
2500;;SUBMISSION;VEV_5100;XIREC;180.0;7
2500;;SUBMISSION;VEV_5200;XIREC;106.0;17
2500;;SUBMISSION;VEV_5300;XIREC;54.0;17
2600;;SUBMISSION;VEV_4000;XIREC;1262.0;11
2600;;SUBMISSION;VEV_4500;XIREC;764.0;9
2600;;SUBMISSION;VEV_4500;XIREC;762.0;2
2600;;SUBMISSION;VEV_5000;XIREC;272.0;9
