timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-34.0;-30.0;-10.0;0.0;0.0
200;-108.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-51.0;-38.5;-18.5;0.0;0.0
300;-168.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-81.0;-58.5;-28.5;0.0;0.0
400;-230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-112.0;-79.5;-38.5;0.0;0.0
500;-150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-48.0;-54.0;-48.0;0.0;0.0
600;-200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-68.0;-74.0;-58.0;0.0;0.0
700;-250.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-88.0;-94.0;-68.0;0.0;0.0
800;-144.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-30.0;-36.0;-78.0;0.0;0.0
900;-81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.0;-43.5;-85.5;0.0;0.0
1000;-179.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-30.0;-53.5;-95.5;0.0;0.0
1100;-382.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-108.0;-169.0;-105.5;0.0;0.0
1200;-432.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-128.0;-189.0;-115.5;0.0;0.0
1300;-353.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-146.0;-82.5;-124.5;0.0;0.0
1400;-296.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-69.0;-92.5;-134.5;0.0;0.0
1500;-209.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-102.5;-144.5;0.0;0.0
1600;-220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-108.0;-150.0;0.0;0.0
1700;-220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-108.0;-150.0;0.0;0.0
1800;-220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-108.0;-150.0;0.0;0.0
1900;-327.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-69.0;-108.0;-150.0;0.0;0.0
2000;-434.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-176.0;-108.0;-150.0;0.0;0.0
2100;-347.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-89.0;-108.0;-150.0;0.0;0.0
2200;-347.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-89.0;-108.0;-150.0;0.0;0.0
2300;-464.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-206.0;-108.0;-150.0;0.0;0.0
2400;-634.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-226.0;-258.0;-150.0;0.0;0.0
2500;-367.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-109.0;-108.0;-150.0;0.0;0.0
2600;-367.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-109.0;-108.0;-150.0;0.0;0.0
2700;-230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;-108.0;-150.0;0.0;0.0
2800;-80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;42.0;-150.0;0.0;0.0
2900;-93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.0;-108.0;-150.0;0.0;0.0
3000;-230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;-108.0;-150.0;0.0;0.0
3100;-230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;-108.0;-150.0;0.0;0.0
3200;-80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;42.0;-150.0;0.0;0.0
3300;-80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;42.0;-150.0;0.0;0.0
3400;-80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;42.0;-150.0;0.0;0.0
3500;-80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;42.0;-150.0;0.0;0.0
3600;344.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302.0;192.0;-150.0;0.0;0.0
3700;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.0;42.0;-150.0;0.0;0.0
3800;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.0;42.0;-150.0;0.0;0.0
3900;494.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302.0;192.0;0.0;0.0;0.0
4000;631.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;439.0;192.0;0.0;0.0;0.0
4100;931.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;439.0;342.0;150.0;0.0;0.0
4200;1068.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576.0;342.0;150.0;0.0;0.0
4300;1068.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576.0;342.0;150.0;0.0;0.0
4400;1205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;713.0;342.0;150.0;0.0;0.0
4500;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
4600;1355.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;713.0;492.0;150.0;0.0;0.0
4700;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
4800;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
4900;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5000;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5100;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5200;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5300;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5400;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5500;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5600;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5700;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5800;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
5900;1218.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576.0;492.0;150.0;0.0;0.0
6000;1218.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;576.0;492.0;150.0;0.0;0.0
6100;1355.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;713.0;492.0;150.0;0.0;0.0
6200;1642.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;642.0;150.0;0.0;0.0
6300;1779.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;987.0;642.0;150.0;0.0;0.0
6400;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
6500;2066.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;792.0;150.0;0.0;0.0
6600;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
6700;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
6800;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
6900;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7000;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7100;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7200;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7300;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
7400;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
7500;1492.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;492.0;150.0;0.0;0.0
7600;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7700;1642.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;642.0;150.0;0.0;0.0
7800;1916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;642.0;150.0;0.0;0.0
7900;2066.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1124.0;792.0;150.0;0.0;0.0
8000;2490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1398.0;792.0;300.0;0.0;0.0
8100;2490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1398.0;792.0;300.0;0.0;0.0
8200;2490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1398.0;792.0;300.0;0.0;0.0
8300;2790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1398.0;942.0;450.0;0.0;0.0
8400;3035.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1672.0;942.0;421.0;0.0;0.0
8500;2855.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1505.0;942.0;408.0;0.0;0.0
8600;2931.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1591.0;942.0;398.5;0.0;0.0
8700;2292.5;0.0;0.0;-406.0;-200.0;0.0;0.0;0.0;1569.0;942.0;387.5;0.0;0.0
8800;2135.0;0.0;0.0;-370.0;-176.0;0.0;0.0;0.0;1362.0;942.0;377.0;0.0;0.0
8900;1936.0;0.0;0.0;-334.0;-152.0;0.0;0.0;0.0;1362.0;792.0;268.0;0.0;0.0
9000;1936.0;0.0;0.0;-334.0;-152.0;0.0;0.0;0.0;1362.0;792.0;268.0;0.0;0.0
9100;2203.0;0.0;0.0;-370.0;-176.0;0.0;0.0;0.0;1455.0;942.0;352.0;0.0;0.0
9200;1874.0;0.0;0.0;-352.0;-152.0;0.0;0.0;0.0;1337.0;792.0;249.0;0.0;0.0
9300;1862.0;0.0;0.0;-352.0;-164.0;0.0;0.0;0.0;1337.0;792.0;249.0;0.0;0.0
9400;1874.0;0.0;0.0;-352.0;-152.0;0.0;0.0;0.0;1337.0;792.0;249.0;0.0;0.0
9500;1842.0;0.0;0.0;-280.0;-104.0;0.0;0.0;0.0;1256.5;792.0;177.5;0.0;0.0
9600;1647.5;0.0;0.0;-244.0;-104.0;0.0;0.0;0.0;1176.0;642.0;177.5;0.0;0.0
