timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-1546.5;0.0;-175.0;-733.5;-311.5;-126.0;-94.5;-56.0;-40.0;-10.0;0.0;0.0;0.0
200;-2297.5;0.0;-334.0;-902.5;-499.0;-211.0;-163.0;-112.0;-56.0;-20.0;0.0;0.0;0.0
300;-3294.0;0.0;-489.0;-1332.0;-697.0;-281.0;-227.0;-152.0;-86.0;-30.0;0.0;0.0;0.0
400;-3660.0;0.0;-441.0;-1688.5;-848.5;-289.5;-210.5;-106.0;-76.0;0.0;0.0;0.0;0.0
500;-3966.5;0.0;-241.0;-2009.0;-957.5;-386.5;-162.5;-94.0;-96.0;-20.0;0.0;0.0;0.0
600;-5586.5;0.0;-441.0;-2552.0;-1361.5;-495.5;-374.5;-206.0;-116.0;-40.0;0.0;0.0;0.0
700;-7168.5;0.0;-541.0;-3222.0;-1557.5;-745.5;-437.5;-329.0;-206.0;-130.0;0.0;0.0;0.0
800;-9922.5;0.0;-841.0;-4079.0;-2125.5;-1014.5;-861.5;-545.0;-316.0;-140.0;0.0;0.0;0.0
900;-9762.0;0.0;-841.0;-4112.0;-2192.5;-919.5;-738.5;-480.0;-331.0;-147.5;0.0;0.0;0.0
1000;-10451.0;0.0;-741.0;-4112.0;-2405.5;-1233.5;-793.5;-642.0;-366.0;-157.5;0.0;0.0;0.0
1100;-12635.0;0.0;-841.0;-4412.0;-2992.5;-1637.5;-1142.5;-841.0;-493.5;-275.0;0.0;0.0;0.0
1200;-13929.0;0.0;-1041.0;-4412.0;-3529.0;-1740.0;-1352.0;-1036.5;-523.5;-295.0;0.0;0.0;0.0
1300;-14382.5;0.0;-1041.0;-4562.0;-3580.0;-1761.0;-1520.0;-1050.0;-553.5;-315.0;0.0;0.0;0.0
1400;-13432.5;0.0;-941.0;-4412.0;-3280.0;-1761.0;-1220.0;-900.0;-583.5;-335.0;0.0;0.0;0.0
1500;-13082.5;0.0;-841.0;-4412.0;-3280.0;-1461.0;-1220.0;-900.0;-613.5;-355.0;0.0;0.0;0.0
1600;-12645.0;0.0;-841.0;-4262.0;-3280.0;-1461.0;-1220.0;-750.0;-471.0;-360.0;0.0;0.0;0.0
1700;-14345.0;0.0;-1041.0;-4412.0;-3580.0;-1761.0;-1520.0;-1050.0;-621.0;-360.0;0.0;0.0;0.0
1800;-15795.0;0.0;-1141.0;-4712.0;-3880.0;-2061.0;-1520.0;-1200.0;-771.0;-510.0;0.0;0.0;0.0
1900;-14795.0;0.0;-741.0;-4712.0;-3580.0;-2061.0;-1520.0;-1050.0;-771.0;-360.0;0.0;0.0;0.0
2000;-11545.0;0.0;-641.0;-4112.0;-2980.0;-1461.0;-920.0;-750.0;-471.0;-210.0;0.0;0.0;0.0
2100;-12095.0;0.0;-741.0;-4112.0;-3280.0;-1461.0;-920.0;-750.0;-471.0;-360.0;0.0;0.0;0.0
2200;-14495.0;0.0;-1041.0;-4562.0;-3580.0;-1761.0;-1520.0;-1050.0;-621.0;-360.0;0.0;0.0;0.0
2300;-10795.0;0.0;-641.0;-3962.0;-2980.0;-1161.0;-920.0;-600.0;-321.0;-210.0;0.0;0.0;0.0
2400;-12245.0;0.0;-741.0;-4112.0;-3280.0;-1461.0;-1070.0;-750.0;-471.0;-360.0;0.0;0.0;0.0
2500;-8545.0;0.0;-341.0;-3512.0;-2680.0;-861.0;-620.0;-300.0;-171.0;-60.0;0.0;0.0;0.0
2600;-8245.0;0.0;-41.0;-3512.0;-2680.0;-861.0;-620.0;-300.0;-171.0;-60.0;0.0;0.0;0.0
2700;-7095.0;0.0;-241.0;-3362.0;-2380.0;-561.0;-320.0;-150.0;-21.0;-60.0;0.0;0.0;0.0
2800;-5395.0;0.0;-41.0;-3062.0;-2080.0;-261.0;-20.0;0.0;129.0;-60.0;0.0;0.0;0.0
2900;-5245.0;0.0;-41.0;-3062.0;-2080.0;-261.0;-20.0;150.0;129.0;-60.0;0.0;0.0;0.0
3000;-4295.0;0.0;159.0;-2912.0;-1780.0;-111.0;-20.0;150.0;129.0;90.0;0.0;0.0;0.0
3100;-5245.0;0.0;-41.0;-3062.0;-2080.0;-261.0;-20.0;150.0;129.0;-60.0;0.0;0.0;0.0
3200;-5695.0;0.0;-41.0;-3212.0;-2080.0;-411.0;-20.0;0.0;129.0;-60.0;0.0;0.0;0.0
3300;-6945.0;0.0;-241.0;-3212.0;-2380.0;-561.0;-320.0;-150.0;-21.0;-60.0;0.0;0.0;0.0
3400;-3245.0;0.0;159.0;-2612.0;-1780.0;39.0;280.0;300.0;279.0;90.0;0.0;0.0;0.0
3500;-1695.0;0.0;359.0;-2462.0;-1480.0;339.0;580.0;450.0;429.0;90.0;0.0;0.0;0.0
3600;-2845.0;0.0;259.0;-2612.0;-1630.0;39.0;280.0;450.0;279.0;90.0;0.0;0.0;0.0
3700;-3245.0;0.0;159.0;-2612.0;-1780.0;39.0;280.0;300.0;279.0;90.0;0.0;0.0;0.0
