timestamp;buyer;seller;symbol;currency;price;quantity
8000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;6
10100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;5
15300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10024;3
15700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10011;2
16400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10011;4
20300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10004;5
20500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10002;3
23300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9996;2
28500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9993;5
29100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;6
45800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;2
54600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9985;3
55000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9985;6
56700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9989;6
60000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;4
63900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9989;5
67600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9991;5
73000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9982;3
77800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9988;2
87100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9953;14
87100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9956;16
87200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9954;13
87200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9957;17
87300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;12
87300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;18
87400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9953;11
87400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;19
87500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;14
87500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9958;16
87600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;10
87600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9957;20
87700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9954;13
87700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9957;11
90000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9944;6
90100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;6
93200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9943;6
93300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9949;6
108800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9944;2
109000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9948;2
125000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9967;4
133600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9964;5
136800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9950;5
144500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9961;3
155200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9986;5
158100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9971;5
163300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9972;3
171500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9978;5
175300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9966;6
181900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9976;3
182400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9974;5
183300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9970;4
197000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9963;6
203900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9973;6
206200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9978;5
207600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9975;6
209000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9984;5
218800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9982;4
222700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9998;6
243300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9974;2
247100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9968;5
248700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9964;3
256100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9968;5
260100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9996;2
261500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;5
266800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;6
273500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9991;4
278200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9993;5
278600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;4
280000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9987;3
281500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;5
