timestamp;buyer;seller;symbol;currency;price;quantity
3200;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
3400;;SUBMISSION;TOMATOES;SEASHELLS;5008;2
5000;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
7000;;SUBMISSION;TOMATOES;SEASHELLS;5009;4
9600;SUBMISSION;;TOMATOES;SEASHELLS;5000;5
9900;SUBMISSION;;TOMATOES;SEASHELLS;5001;4
13900;SUBMISSION;;TOMATOES;SEASHELLS;5004;6
16400;SUBMISSION;;TOMATOES;SEASHELLS;4997;2
17900;;SUBMISSION;TOMATOES;SEASHELLS;5008;2
22200;;SUBMISSION;TOMATOES;SEASHELLS;5004;3
23500;SUBMISSION;;TOMATOES;SEASHELLS;4990;3
24600;;SUBMISSION;TOMATOES;SEASHELLS;5001;5
26100;SUBMISSION;;TOMATOES;SEASHELLS;4989;2
30000;SUBMISSION;;TOMATOES;SEASHELLS;4988;7
31400;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
33200;SUBMISSION;;TOMATOES;SEASHELLS;4989;8
34700;;SUBMISSION;TOMATOES;SEASHELLS;4997;4
36400;SUBMISSION;;TOMATOES;SEASHELLS;4987;2
36700;SUBMISSION;;TOMATOES;SEASHELLS;4986;2
39400;SUBMISSION;;TOMATOES;SEASHELLS;4979;2
39900;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
42400;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
43900;;SUBMISSION;TOMATOES;SEASHELLS;4988;5
46600;SUBMISSION;;TOMATOES;SEASHELLS;4982;9
51300;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
52800;;SUBMISSION;TOMATOES;SEASHELLS;4993;4
53100;;SUBMISSION;TOMATOES;SEASHELLS;4994;2
53600;;SUBMISSION;TOMATOES;SEASHELLS;4995;2
54400;SUBMISSION;;TOMATOES;SEASHELLS;4984;3
55300;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
55700;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
56500;SUBMISSION;;TOMATOES;SEASHELLS;4985;9
59700;;SUBMISSION;TOMATOES;SEASHELLS;4992;5
61400;;SUBMISSION;TOMATOES;SEASHELLS;4990;6
62700;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
64100;SUBMISSION;;TOMATOES;SEASHELLS;4985;4
66700;;SUBMISSION;EMERALDS;SEASHELLS;10007;7
67300;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
70600;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
71200;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
73500;SUBMISSION;;TOMATOES;SEASHELLS;4983;3
73700;SUBMISSION;;EMERALDS;SEASHELLS;9993;3
74200;;SUBMISSION;TOMATOES;SEASHELLS;4995;3
75200;SUBMISSION;;TOMATOES;SEASHELLS;4983;4
78300;;SUBMISSION;TOMATOES;SEASHELLS;4996;5
79100;SUBMISSION;;TOMATOES;SEASHELLS;4985;5
80300;SUBMISSION;;TOMATOES;SEASHELLS;4986;3
80400;SUBMISSION;;EMERALDS;SEASHELLS;9993;3
80900;SUBMISSION;;TOMATOES;SEASHELLS;4985;2
81000;SUBMISSION;;TOMATOES;SEASHELLS;4985;4
81400;SUBMISSION;;TOMATOES;SEASHELLS;4985;5
83800;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
84500;SUBMISSION;;TOMATOES;SEASHELLS;4980;3
85500;SUBMISSION;;TOMATOES;SEASHELLS;4978;2
86000;;SUBMISSION;TOMATOES;SEASHELLS;4990;5
87600;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
91000;SUBMISSION;;TOMATOES;SEASHELLS;4979;5
93900;;SUBMISSION;EMERALDS;SEASHELLS;10007;7
95100;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
96500;;SUBMISSION;EMERALDS;SEASHELLS;10007;6
97200;SUBMISSION;;TOMATOES;SEASHELLS;4979;4
97500;SUBMISSION;;TOMATOES;SEASHELLS;4979;3
98000;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
98400;;SUBMISSION;EMERALDS;SEASHELLS;10007;7
101200;;SUBMISSION;EMERALDS;SEASHELLS;10007;6
103700;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
108000;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
110200;SUBMISSION;;TOMATOES;SEASHELLS;4987;5
110700;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
111900;SUBMISSION;;TOMATOES;SEASHELLS;4987;3
112000;;SUBMISSION;TOMATOES;SEASHELLS;4998;4
113000;;SUBMISSION;TOMATOES;SEASHELLS;4998;4
116300;;SUBMISSION;TOMATOES;SEASHELLS;5000;2
120900;SUBMISSION;;TOMATOES;SEASHELLS;4991;3
124800;SUBMISSION;;TOMATOES;SEASHELLS;4990;2
128400;SUBMISSION;;EMERALDS;SEASHELLS;9993;3
128700;SUBMISSION;;TOMATOES;SEASHELLS;4989;3
129000;;SUBMISSION;TOMATOES;SEASHELLS;5000;2
130500;SUBMISSION;;TOMATOES;SEASHELLS;4986;3
130900;SUBMISSION;;TOMATOES;SEASHELLS;4986;2
131700;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
131900;;SUBMISSION;TOMATOES;SEASHELLS;4998;4
132100;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
132100;SUBMISSION;;TOMATOES;SEASHELLS;4987;4
133400;;SUBMISSION;TOMATOES;SEASHELLS;5000;4
133700;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
133900;SUBMISSION;;EMERALDS;SEASHELLS;9993;3
135500;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
135600;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
136200;SUBMISSION;;TOMATOES;SEASHELLS;4988;4
136300;;SUBMISSION;TOMATOES;SEASHELLS;4995;5
137600;;SUBMISSION;TOMATOES;SEASHELLS;5000;5
138600;SUBMISSION;;TOMATOES;SEASHELLS;4994;2
140200;SUBMISSION;;TOMATOES;SEASHELLS;4991;6
144200;SUBMISSION;;TOMATOES;SEASHELLS;4987;2
146100;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
151500;SUBMISSION;;TOMATOES;SEASHELLS;4985;2
152000;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
153400;;SUBMISSION;TOMATOES;SEASHELLS;4995;4
156600;SUBMISSION;;TOMATOES;SEASHELLS;4988;10
156700;;SUBMISSION;TOMATOES;SEASHELLS;4996;3
157600;;SUBMISSION;TOMATOES;SEASHELLS;4995;3
158300;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
158900;SUBMISSION;;TOMATOES;SEASHELLS;4977;2
159200;SUBMISSION;;TOMATOES;SEASHELLS;4979;3
160700;SUBMISSION;;TOMATOES;SEASHELLS;4983;9
161000;SUBMISSION;;TOMATOES;SEASHELLS;4978;3
161800;SUBMISSION;;TOMATOES;SEASHELLS;4977;2
168200;;SUBMISSION;TOMATOES;SEASHELLS;4994;4
170800;SUBMISSION;;TOMATOES;SEASHELLS;4983;3
171100;SUBMISSION;;TOMATOES;SEASHELLS;4987;1
176000;;SUBMISSION;TOMATOES;SEASHELLS;4997;4
176300;SUBMISSION;;TOMATOES;SEASHELLS;4985;3
176900;SUBMISSION;;TOMATOES;SEASHELLS;4986;1
182700;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
183700;;SUBMISSION;TOMATOES;SEASHELLS;4990;6
185200;;SUBMISSION;TOMATOES;SEASHELLS;4996;3
187100;;SUBMISSION;TOMATOES;SEASHELLS;4999;2
187600;SUBMISSION;;TOMATOES;SEASHELLS;4989;3
188300;;SUBMISSION;TOMATOES;SEASHELLS;5001;5
189000;SUBMISSION;;TOMATOES;SEASHELLS;4988;3
191700;;SUBMISSION;TOMATOES;SEASHELLS;4999;3
192700;SUBMISSION;;TOMATOES;SEASHELLS;4985;3
195700;SUBMISSION;;TOMATOES;SEASHELLS;4992;3
198700;SUBMISSION;;TOMATOES;SEASHELLS;4994;5
202200;;SUBMISSION;TOMATOES;SEASHELLS;5004;3
203600;;SUBMISSION;TOMATOES;SEASHELLS;5001;4
206300;;SUBMISSION;TOMATOES;SEASHELLS;5001;2
206400;SUBMISSION;;TOMATOES;SEASHELLS;4990;3
207200;SUBMISSION;;TOMATOES;SEASHELLS;4989;4
207500;;SUBMISSION;EMERALDS;SEASHELLS;10007;7
210000;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
212200;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
212200;SUBMISSION;;TOMATOES;SEASHELLS;4996;4
215500;;SUBMISSION;TOMATOES;SEASHELLS;5002;3
216000;;SUBMISSION;TOMATOES;SEASHELLS;5000;4
218400;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
218700;;SUBMISSION;TOMATOES;SEASHELLS;4998;4
218800;SUBMISSION;;TOMATOES;SEASHELLS;4985;5
218900;SUBMISSION;;TOMATOES;SEASHELLS;4987;2
219300;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
225900;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
226200;SUBMISSION;;TOMATOES;SEASHELLS;4988;4
226300;;SUBMISSION;TOMATOES;SEASHELLS;4996;5
227300;;SUBMISSION;TOMATOES;SEASHELLS;4997;5
229400;SUBMISSION;;TOMATOES;SEASHELLS;4981;3
233200;;SUBMISSION;TOMATOES;SEASHELLS;4989;3
234400;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
236300;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
239100;;SUBMISSION;TOMATOES;SEASHELLS;4989;5
242000;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
243600;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
248700;SUBMISSION;;TOMATOES;SEASHELLS;4982;4
249000;;SUBMISSION;TOMATOES;SEASHELLS;4993;4
249800;;SUBMISSION;TOMATOES;SEASHELLS;4990;2
250200;;SUBMISSION;TOMATOES;SEASHELLS;4990;2
250700;SUBMISSION;;TOMATOES;SEASHELLS;4983;9
251800;;SUBMISSION;TOMATOES;SEASHELLS;4990;2
252300;SUBMISSION;;TOMATOES;SEASHELLS;4978;4
253300;;SUBMISSION;TOMATOES;SEASHELLS;4986;6
253500;SUBMISSION;;TOMATOES;SEASHELLS;4984;9
256700;SUBMISSION;;TOMATOES;SEASHELLS;4984;5
262900;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
269100;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
269900;;SUBMISSION;TOMATOES;SEASHELLS;4987;6
274300;SUBMISSION;;TOMATOES;SEASHELLS;4984;2
276300;SUBMISSION;;TOMATOES;SEASHELLS;4982;5
278600;SUBMISSION;;TOMATOES;SEASHELLS;4983;1
280400;;SUBMISSION;TOMATOES;SEASHELLS;4988;5
281700;SUBMISSION;;TOMATOES;SEASHELLS;4978;4
282200;;SUBMISSION;TOMATOES;SEASHELLS;4988;4
282500;;SUBMISSION;TOMATOES;SEASHELLS;4989;5
282600;;SUBMISSION;TOMATOES;SEASHELLS;4988;3
285700;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
286800;;SUBMISSION;TOMATOES;SEASHELLS;4988;2
288700;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
290400;;SUBMISSION;TOMATOES;SEASHELLS;4989;3
291700;SUBMISSION;;TOMATOES;SEASHELLS;4979;5
294500;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
296100;SUBMISSION;;TOMATOES;SEASHELLS;4980;5
296700;;SUBMISSION;TOMATOES;SEASHELLS;4993;5
297400;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
298900;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
300000;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
300100;;SUBMISSION;TOMATOES;SEASHELLS;4993;2
301000;;SUBMISSION;TOMATOES;SEASHELLS;4991;4
301600;SUBMISSION;;TOMATOES;SEASHELLS;4983;9
305700;;SUBMISSION;TOMATOES;SEASHELLS;4989;4
307900;SUBMISSION;;TOMATOES;SEASHELLS;4975;2
308200;SUBMISSION;;TOMATOES;SEASHELLS;4974;3
309300;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
312600;SUBMISSION;;TOMATOES;SEASHELLS;4977;3
314200;;SUBMISSION;TOMATOES;SEASHELLS;4987;3
314400;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
315900;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
316000;SUBMISSION;;TOMATOES;SEASHELLS;4974;3
316400;SUBMISSION;;TOMATOES;SEASHELLS;4975;3
318400;;SUBMISSION;TOMATOES;SEASHELLS;4990;4
323700;;SUBMISSION;TOMATOES;SEASHELLS;4990;5
325600;SUBMISSION;;TOMATOES;SEASHELLS;4979;2
326400;;SUBMISSION;TOMATOES;SEASHELLS;4992;3
326800;SUBMISSION;;TOMATOES;SEASHELLS;4980;3
326900;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
327400;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
328200;;SUBMISSION;TOMATOES;SEASHELLS;4993;2
328900;SUBMISSION;;TOMATOES;SEASHELLS;4981;5
329400;SUBMISSION;;TOMATOES;SEASHELLS;4981;5
330300;SUBMISSION;;TOMATOES;SEASHELLS;4982;4
331300;;SUBMISSION;TOMATOES;SEASHELLS;4992;5
331400;;SUBMISSION;TOMATOES;SEASHELLS;4991;3
331600;;SUBMISSION;TOMATOES;SEASHELLS;4990;4
333000;SUBMISSION;;TOMATOES;SEASHELLS;4980;2
336100;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
337600;SUBMISSION;;TOMATOES;SEASHELLS;4986;5
339400;;SUBMISSION;TOMATOES;SEASHELLS;4993;3
339900;SUBMISSION;;TOMATOES;SEASHELLS;4987;6
343200;SUBMISSION;;TOMATOES;SEASHELLS;4986;4
351500;;SUBMISSION;TOMATOES;SEASHELLS;4999;5
353400;;SUBMISSION;TOMATOES;SEASHELLS;5001;2
353600;;SUBMISSION;TOMATOES;SEASHELLS;4995;2
356500;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
357300;SUBMISSION;;TOMATOES;SEASHELLS;4998;6
360100;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
360700;;SUBMISSION;TOMATOES;SEASHELLS;5006;4
364000;SUBMISSION;;TOMATOES;SEASHELLS;4991;3
366200;;SUBMISSION;TOMATOES;SEASHELLS;5006;4
368200;;SUBMISSION;TOMATOES;SEASHELLS;5004;4
368300;;SUBMISSION;TOMATOES;SEASHELLS;5003;4
368900;SUBMISSION;;TOMATOES;SEASHELLS;4989;4
369300;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
370700;SUBMISSION;;TOMATOES;SEASHELLS;4990;2
374500;;SUBMISSION;TOMATOES;SEASHELLS;4999;2
375400;SUBMISSION;;TOMATOES;SEASHELLS;4994;3
375500;;SUBMISSION;TOMATOES;SEASHELLS;4999;4
380300;;SUBMISSION;TOMATOES;SEASHELLS;4999;3
383000;;SUBMISSION;TOMATOES;SEASHELLS;4998;4
383600;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
384400;SUBMISSION;;TOMATOES;SEASHELLS;4990;5
385100;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
385300;SUBMISSION;;TOMATOES;SEASHELLS;4992;4
388600;SUBMISSION;;TOMATOES;SEASHELLS;4991;2
388900;;SUBMISSION;TOMATOES;SEASHELLS;4996;3
390000;;SUBMISSION;TOMATOES;SEASHELLS;5004;5
390100;;SUBMISSION;TOMATOES;SEASHELLS;5005;5
390600;;SUBMISSION;TOMATOES;SEASHELLS;5004;4
391300;SUBMISSION;;TOMATOES;SEASHELLS;4999;6
392300;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
392600;;SUBMISSION;TOMATOES;SEASHELLS;5003;2
396700;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
398600;SUBMISSION;;TOMATOES;SEASHELLS;4987;2
399000;SUBMISSION;;TOMATOES;SEASHELLS;4991;5
400200;SUBMISSION;;TOMATOES;SEASHELLS;4991;1
401400;;SUBMISSION;TOMATOES;SEASHELLS;4999;3
402200;SUBMISSION;;TOMATOES;SEASHELLS;4993;7
402200;SUBMISSION;;TOMATOES;SEASHELLS;4989;5
403300;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
403900;SUBMISSION;;TOMATOES;SEASHELLS;4994;5
404900;;SUBMISSION;TOMATOES;SEASHELLS;4997;5
405200;SUBMISSION;;TOMATOES;SEASHELLS;4984;5
412400;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
415000;;SUBMISSION;TOMATOES;SEASHELLS;4993;3
415300;SUBMISSION;;TOMATOES;SEASHELLS;4983;3
416000;SUBMISSION;;EMERALDS;SEASHELLS;9993;7
416500;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
417600;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
417700;;SUBMISSION;TOMATOES;SEASHELLS;4992;2
418000;SUBMISSION;;EMERALDS;SEASHELLS;9993;4
420000;;SUBMISSION;TOMATOES;SEASHELLS;4995;4
421600;;SUBMISSION;TOMATOES;SEASHELLS;4996;5
422000;;SUBMISSION;TOMATOES;SEASHELLS;4997;5
422800;SUBMISSION;;TOMATOES;SEASHELLS;4982;2
424700;;SUBMISSION;EMERALDS;SEASHELLS;10007;6
426700;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
427100;SUBMISSION;;TOMATOES;SEASHELLS;4986;3
431400;SUBMISSION;;TOMATOES;SEASHELLS;4988;5
433300;SUBMISSION;;TOMATOES;SEASHELLS;4996;8
433500;;SUBMISSION;TOMATOES;SEASHELLS;4996;3
