timestamp;buyer;seller;symbol;currency;price;quantity
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
6200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
9500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
55400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
55900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
57700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
83200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
92600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
105000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;10
113400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
113600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
