timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;-60.5;0.0;-60.5
200;-49.5;0.0;-49.5
300;0.0;0.0;0.0
400;-77.0;0.0;-77.0
500;-126.5;0.0;-126.5
600;-92.0;0.0;-92.0
700;-192.5;0.0;-192.5
800;-227.5;0.0;-227.5
900;-273.0;-20.0;-253.0
1000;-301.5;12.0;-313.5
1100;-147.0;24.0;-171.0
1200;-254.0;88.0;-342.0
1300;-270.0;36.0;-306.0
1400;-337.0;24.0;-361.0
1500;-351.0;32.0;-383.0
1600;-495.0;-32.0;-463.0
1700;-331.0;52.0;-383.0
1800;-351.0;32.0;-383.0
1900;-231.0;32.0;-263.0
2000;-403.0;20.0;-423.0
2100;-191.0;32.0;-223.0
2200;-391.0;32.0;-423.0
2300;-363.0;60.0;-423.0
2400;-275.0;28.0;-303.0
2500;-275.0;28.0;-303.0
2600;-343.0;40.0;-383.0
2700;-135.0;48.0;-183.0
2800;-263.0;40.0;-303.0
2900;-263.0;40.0;-303.0
3000;-231.0;32.0;-263.0
3100;-95.0;48.0;-143.0
3200;-207.0;56.0;-263.0
3300;-175.0;48.0;-223.0
3400;-175.0;48.0;-223.0
3500;-67.0;36.0;-103.0
3600;-175.0;48.0;-223.0
3700;-191.0;32.0;-223.0
3800;-63.0;40.0;-103.0
3900;-183.0;40.0;-223.0
4000;225.0;48.0;177.0
4100;-539.0;44.0;-583.0
4200;-131.0;52.0;-183.0
4300;361.0;64.0;297.0
4400;-199.0;64.0;-263.0
4500;-87.0;56.0;-143.0
4600;-75.0;68.0;-143.0
4700;97.0;120.0;-23.0
4800;-119.0;24.0;-143.0
4900;-167.0;56.0;-223.0
5000;-47.0;56.0;-103.0
5100;-167.0;56.0;-223.0
5200;-379.0;44.0;-423.0
5300;-11.0;52.0;-63.0
5400;-25.0;38.0;-63.0
5500;-143.0;40.0;-183.0
5600;-55.0;8.0;-63.0
5700;-23.0;40.0;-63.0
5800;-453.0;50.0;-503.0
5900;-17.0;46.0;-63.0
6000;-75.0;28.0;-103.0
6100;61.0;44.0;17.0
6200;61.0;44.0;17.0
6300;57.0;40.0;17.0
6400;57.0;40.0;17.0
6500;13.0;-4.0;17.0
6600;-23.0;40.0;-63.0
6700;497.0;40.0;457.0
6800;57.0;40.0;17.0
6900;59.0;42.0;17.0
7000;93.0;36.0;57.0
7100;133.0;36.0;97.0
7200;131.0;34.0;97.0
7300;137.0;40.0;97.0
7400;217.0;40.0;177.0
7500;581.0;44.0;537.0
7600;145.0;48.0;97.0
7700;135.0;38.0;97.0
7800;129.0;32.0;97.0
7900;129.0;32.0;97.0
8000;628.0;11.0;617.0
8100;95.0;38.0;57.0
8200;218.0;41.0;177.0
8300;209.0;32.0;177.0
8400;215.0;38.0;177.0
8500;215.0;38.0;177.0
8600;341.0;44.0;297.0
8700;215.0;38.0;177.0
8800;215.0;38.0;177.0
8900;187.0;10.0;177.0
9000;-237.0;26.0;-263.0
9100;279.0;22.0;257.0
9200;363.0;26.0;337.0
9300;283.0;26.0;257.0
9400;-153.0;30.0;-183.0
9500;155.0;18.0;137.0
9600;195.0;18.0;177.0
9700;267.0;10.0;257.0
9800;267.0;10.0;257.0
9900;707.0;10.0;697.0
10000;319.0;22.0;297.0
10100;347.0;10.0;337.0
10200;347.0;10.0;337.0
10300;419.0;2.0;417.0
10400;410.0;-47.0;457.0
10500;556.0;-101.0;657.0
10600;224.5;-112.5;337.0
10700;305.0;-32.0;337.0
10800;402.0;-55.0;457.0
10900;356.0;-101.0;457.0
11000;299.0;-78.0;377.0
11100;339.0;-78.0;417.0
11200;339.0;-78.0;417.0
11300;2.0;-55.0;57.0
11400;442.0;-55.0;497.0
11500;316.0;-101.0;417.0
11600;254.0;-163.0;417.0
11700;128.0;-289.0;417.0
11800;352.0;-65.0;417.0
11900;472.0;-65.0;537.0
12000;434.0;-23.0;457.0
12100;418.0;-79.0;497.0
12200;432.0;-65.0;497.0
12300;432.0;-65.0;497.0
12400;218.0;-159.0;377.0
12500;823.0;-114.0;937.0
12600;383.0;-114.0;497.0
12700;868.0;-69.0;937.0
12800;398.0;-99.0;497.0
12900;558.0;141.0;417.0
13000;438.0;-99.0;537.0
13100;392.0;-185.0;577.0
13200;584.0;-73.0;657.0
13300;472.0;-105.0;577.0
13400;384.0;-73.0;457.0
13500;472.0;-105.0;577.0
13600;472.0;-105.0;577.0
13700;472.0;-105.0;577.0
13800;520.0;-57.0;577.0
13900;392.0;-105.0;497.0
14000;592.0;-105.0;697.0
14100;380.0;-277.0;657.0
14200;468.0;-189.0;657.0
14300;468.0;-189.0;657.0
14400;428.0;-189.0;617.0
14500;236.0;-541.0;777.0
14600;424.0;-233.0;657.0
14700;424.0;207.0;217.0
14800;512.0;-145.0;657.0
14900;698.0;-79.0;777.0
15000;552.0;-145.0;697.0
15100;592.0;-145.0;737.0
15200;636.0;-101.0;737.0
15300;262.0;-35.0;297.0
15400;636.0;-101.0;737.0
15500;636.0;-101.0;737.0
15600;680.0;-57.0;737.0
15700;680.0;-57.0;737.0
15800;680.0;-57.0;737.0
15900;746.0;9.0;737.0
16000;552.0;-145.0;697.0
16100;760.0;-57.0;817.0
16200;640.0;-57.0;697.0
16300;760.0;-57.0;817.0
16400;684.0;-13.0;697.0
16500;760.0;-57.0;817.0
16600;738.0;-79.0;817.0
16700;1156.0;-101.0;1257.0
16800;716.0;-101.0;817.0
16900;782.0;-35.0;817.0
17000;844.0;-13.0;857.0
17100;840.0;-57.0;897.0
17200;774.0;-123.0;897.0
17300;774.0;-123.0;897.0
17400;840.0;-57.0;897.0
17500;960.0;-57.0;1017.0
17600;488.0;-409.0;897.0
17700;1214.0;-123.0;1337.0
17800;840.0;-57.0;897.0
17900;488.0;-409.0;897.0
18000;960.0;-57.0;1017.0
18100;1272.0;295.0;977.0
18200;756.0;-101.0;857.0
18300;810.0;-167.0;977.0
18400;810.0;-167.0;977.0
18500;876.0;-101.0;977.0
18600;876.0;-101.0;977.0
18700;876.0;-101.0;977.0
18800;832.0;-145.0;977.0
18900;796.0;-101.0;897.0
19000;916.0;-101.0;1017.0
19100;684.0;-453.0;1137.0
19200;956.0;-101.0;1057.0
19300;956.0;-101.0;1057.0
19400;992.0;-145.0;1137.0
19500;560.0;-497.0;1057.0
19600;978.0;-79.0;1057.0
19700;956.0;-101.0;1057.0
19800;1120.0;-57.0;1177.0
19900;978.0;-79.0;1057.0
20000;1128.0;31.0;1097.0
20100;1080.0;-57.0;1137.0
20200;1080.0;-57.0;1137.0
20300;1520.0;-57.0;1577.0
20400;596.0;-101.0;697.0
20500;1080.0;-57.0;1137.0
20600;1080.0;-57.0;1137.0
20700;1200.0;-57.0;1257.0
20800;1000.0;-57.0;1057.0
20900;1080.0;-57.0;1137.0
21000;1200.0;-57.0;1257.0
21100;1116.0;-101.0;1217.0
21200;1160.0;-57.0;1217.0
21300;1512.0;-145.0;1657.0
21400;1336.0;119.0;1217.0
21500;1116.0;-101.0;1217.0
21600;1182.0;-35.0;1217.0
21700;1588.0;251.0;1337.0
21800;1198.0;141.0;1057.0
21900;1236.0;-101.0;1337.0
22000;1200.0;-57.0;1257.0
22100;1240.0;-57.0;1297.0
22200;1240.0;-57.0;1297.0
22300;1306.0;9.0;1297.0
22400;1364.0;-13.0;1377.0
22500;1196.0;-101.0;1297.0
22600;836.0;-101.0;937.0
22700;1236.0;-101.0;1337.0
22800;2032.0;295.0;1737.0
22900;1160.0;-57.0;1217.0
23000;1203.0;-214.0;1417.0
23100;1729.0;472.0;1257.0
23200;1310.0;-67.0;1377.0
23300;1702.0;325.0;1377.0
23400;1390.0;-67.0;1457.0
23500;1310.0;-67.0;1377.0
23600;1383.5;6.5;1377.0
23700;1479.0;-18.0;1497.0
23800;1604.0;227.0;1377.0
23900;919.0;-18.0;937.0
24000;759.0;-18.0;777.0
24100;1519.0;-18.0;1537.0
24200;1512.5;55.5;1457.0
24300;1439.0;-18.0;1457.0
24400;1488.0;31.0;1457.0
24500;1488.0;31.0;1457.0
24600;1488.0;31.0;1457.0
24700;999.0;-18.0;1017.0
24800;1439.0;-18.0;1457.0
24900;1124.5;-252.5;1377.0
25000;1643.0;-14.0;1657.0
25100;1470.0;-67.0;1537.0
25200;1523.0;-14.0;1537.0
25300;1496.5;-40.5;1537.0
