timestamp;buyer;seller;symbol;currency;price;quantity
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
8200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9996;7
11800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;3
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
29700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
47100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;3
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
67100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;8
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
80300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
85000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;5
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
98700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;4
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
113600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;5
117300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
