timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;-8.0;0.0;-8.0
3100;80.0;0.0;80.0
3200;44.0;0.0;44.0
3300;80.0;0.0;80.0
3400;32.0;0.0;32.0
3500;36.0;0.0;36.0
3600;40.0;0.0;40.0
3700;40.0;0.0;40.0
3800;28.0;0.0;28.0
3900;40.0;0.0;40.0
4000;40.0;0.0;40.0
4100;88.0;0.0;88.0
4200;28.0;0.0;28.0
4300;40.0;0.0;40.0
4400;40.0;0.0;40.0
4500;44.0;0.0;44.0
4600;48.0;0.0;48.0
4700;44.0;0.0;44.0
4800;1.0;0.0;1.0
4900;76.0;0.0;76.0
5000;76.0;0.0;76.0
5100;76.0;0.0;76.0
5200;76.0;0.0;76.0
5300;76.0;0.0;76.0
5400;83.5;0.0;83.5
5500;98.5;0.0;98.5
5600;68.5;0.0;68.5
5700;91.0;0.0;91.0
5800;91.0;0.0;91.0
5900;91.0;0.0;91.0
6000;68.5;0.0;68.5
6100;67.0;-24.0;91.0
6200;83.0;-8.0;91.0
6300;107.0;16.0;91.0
6400;116.0;40.0;76.0
6500;118.5;20.0;98.5
6600;145.0;24.0;121.0
6700;40.0;24.0;16.0
6800;130.0;24.0;106.0
6900;130.0;24.0;106.0
7000;118.0;12.0;106.0
7100;118.0;12.0;106.0
7200;138.0;32.0;106.0
7300;130.0;24.0;106.0
7400;138.0;32.0;106.0
7500;32.0;16.0;16.0
7600;145.0;24.0;121.0
7700;153.0;32.0;121.0
7800;145.0;24.0;121.0
7900;141.0;20.0;121.0
8000;114.5;16.0;98.5
8100;137.0;16.0;121.0
8200;156.0;35.0;121.0
8300;152.0;31.0;121.0
8400;152.0;31.0;121.0
8500;78.5;31.0;47.5
8600;184.0;32.0;152.0
8700;154.5;31.0;123.5
8800;182.5;30.5;152.0
8900;154.5;31.0;123.5
9000;212.5;32.0;180.5
9100;184.0;32.0;152.0
9200;176.0;24.0;152.0
9300;184.0;32.0;152.0
9400;212.5;32.0;180.5
9500;190.5;29.0;161.5
9600;223.0;33.0;190.0
9700;204.0;33.0;171.0
9800;203.0;32.0;171.0
9900;33.0;33.0;0.0
10000;204.5;33.5;171.0
10100;203.0;32.0;171.0
10200;203.0;32.0;171.0
10300;203.0;32.0;171.0
10400;202.5;31.5;171.0
10500;108.5;32.0;76.5
10600;247.0;33.0;214.0
10700;234.5;33.0;201.5
10800;245.0;31.0;214.0
10900;245.0;31.0;214.0
11000;208.5;32.0;176.5
11100;247.5;33.5;214.0
11200;284.5;33.0;251.5
11300;247.0;33.0;214.0
11400;248.0;34.0;214.0
11500;259.5;33.0;226.5
11600;298.0;34.0;264.0
11700;422.0;33.0;389.0
11800;34.0;20.0;14.0
11900;284.0;45.0;239.0
12000;284.0;45.0;239.0
12100;326.5;50.0;276.5
12200;281.5;5.0;276.5
12300;271.5;32.5;239.0
12400;289.0;50.0;239.0
12500;336.5;85.0;251.5
12600;309.0;45.0;264.0
12700;50294.0;50030.0;264.0
12800;309.0;45.0;264.0
12900;304.0;40.0;264.0
13000;271.5;45.0;226.5
13100;309.0;45.0;264.0
13200;173.0;59.0;114.0
13300;317.0;53.0;264.0
