timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;-20.0;-20.0;0.0
1000;12.0;12.0;0.0
1100;24.0;24.0;0.0
1200;88.0;88.0;0.0
1300;36.0;36.0;0.0
1400;24.0;24.0;0.0
1500;32.0;32.0;0.0
1600;-32.0;-32.0;0.0
1700;52.0;52.0;0.0
1800;32.0;32.0;0.0
1900;32.0;32.0;0.0
2000;20.0;20.0;0.0
2100;32.0;32.0;0.0
2200;32.0;32.0;0.0
2300;60.0;60.0;0.0
2400;28.0;28.0;0.0
2500;28.0;28.0;0.0
2600;40.0;40.0;0.0
2700;48.0;48.0;0.0
2800;40.0;40.0;0.0
2900;40.0;40.0;0.0
3000;32.0;32.0;0.0
3100;48.0;48.0;0.0
3200;56.0;56.0;0.0
3300;48.0;48.0;0.0
3400;48.0;48.0;0.0
3500;36.0;36.0;0.0
3600;48.0;48.0;0.0
3700;32.0;32.0;0.0
3800;40.0;40.0;0.0
3900;40.0;40.0;0.0
4000;-38.5;48.0;-86.5
4100;-337.0;44.0;-381.0
4200;-174.0;52.0;-226.0
4300;24.0;64.0;-40.0
4400;-193.0;64.0;-257.0
4500;-154.5;56.0;-210.5
4600;-142.5;68.0;-210.5
4700;-44.0;120.0;-164.0
4800;-186.5;24.0;-210.5
4900;-185.5;56.0;-241.5
5000;-139.0;56.0;-195.0
5100;-285.0;56.0;-341.0
5200;-422.0;44.0;-466.0
5300;-155.5;72.0;-227.5
5400;-183.5;44.0;-227.5
5500;-259.0;48.0;-307.0
5600;-243.5;-16.0;-227.5
5700;-179.5;48.0;-227.5
5800;-451.0;68.0;-519.0
5900;-167.5;60.0;-227.5
6000;-230.0;24.0;-254.0
6100;-118.5;56.0;-174.5
6200;-118.5;56.0;-174.5
6300;-126.5;48.0;-174.5
6400;-126.5;48.0;-174.5
6500;-214.5;-40.0;-174.5
6600;-179.5;48.0;-227.5
6700;165.0;48.0;117.0
6800;-126.5;48.0;-174.5
6900;-122.5;52.0;-174.5
7000;-108.0;40.0;-148.0
7100;-81.5;40.0;-121.5
7200;-85.5;36.0;-121.5
7300;-73.5;48.0;-121.5
7400;-20.5;48.0;-68.5
7500;226.0;56.0;170.0
7600;-57.5;64.0;-121.5
7700;-77.5;44.0;-121.5
7800;-37.5;84.0;-121.5
7900;-73.5;48.0;-121.5
8000;294.0;71.0;223.0
8100;-86.0;62.0;-148.0
8200;-7.5;61.0;-68.5
8300;-4.5;64.0;-68.5
8400;-6.5;62.0;-68.5
8500;-6.5;62.0;-68.5
8600;71.0;60.0;11.0
8700;-6.5;62.0;-68.5
8800;-6.5;62.0;-68.5
8900;-0.5;68.0;-68.5
9000;-296.0;64.0;-360.0
9100;49.5;65.0;-15.5
9200;101.5;64.0;37.5
9300;48.5;64.0;-15.5
9400;-244.0;63.0;-307.0
9500;-29.0;66.0;-95.0
9600;-2.5;66.0;-68.5
9700;52.5;68.0;-15.5
9800;52.5;68.0;-15.5
9900;344.0;68.0;276.0
10000;76.0;65.0;11.0
10100;105.5;68.0;37.5
10200;105.5;68.0;37.5
10300;160.5;70.0;90.5
10400;36.0;51.0;-15.0
10500;234.0;57.0;177.0
10600;-87.5;55.5;-143.0
10700;-77.0;66.0;-143.0
10800;40.0;63.0;-23.0
10900;34.0;57.0;-23.0
11000;-43.0;60.0;-103.0
11100;-3.0;60.0;-63.0
11200;-3.0;60.0;-63.0
11300;-360.0;63.0;-423.0
11400;80.0;63.0;17.0
11500;-6.0;57.0;-63.0
11600;-10.5;52.5;-63.0
11700;-24.0;39.0;-63.0
11800;0.0;63.0;-63.0
11900;120.0;63.0;57.0
12000;44.5;67.5;-23.0
12100;78.5;61.5;17.0
12200;80.0;63.0;17.0
12300;80.0;63.0;17.0
12400;-49.0;54.0;-103.0
