timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-113.5;0.0;-113.5
200;-230.0;0.0;-230.0
300;-250.0;0.0;-250.0
400;-510.0;0.0;-510.0
500;-321.5;0.0;-321.5
600;-470.0;0.0;-470.0
700;-451.5;0.0;-451.5
800;-913.0;0.0;-913.0
900;-503.5;0.0;-503.5
1000;-510.0;0.0;-510.0
1100;90.0;0.0;90.0
1200;-430.0;0.0;-430.0
1300;-430.0;0.0;-430.0
1400;-430.0;0.0;-430.0
1500;-310.0;0.0;-310.0
1600;-310.0;0.0;-310.0
1700;-950.0;0.0;-950.0
1800;-430.0;0.0;-430.0
1900;-430.0;0.0;-430.0
2000;-390.0;0.0;-390.0
2100;170.0;0.0;170.0
2200;-350.0;0.0;-350.0
2300;-230.0;0.0;-230.0
2400;-350.0;0.0;-350.0
2500;-70.0;0.0;-70.0
2600;-350.0;0.0;-350.0
2700;-350.0;0.0;-350.0
2800;-870.0;0.0;-870.0
2900;-350.0;0.0;-350.0
3000;-310.0;0.0;-310.0
3100;250.0;0.0;250.0
3200;-270.0;0.0;-270.0
3300;250.0;0.0;250.0
3400;-270.0;0.0;-270.0
3500;-270.0;0.0;-270.0
3600;-285.0;-15.0;-270.0
3700;-255.0;15.0;-270.0
3800;-427.5;2.5;-430.0
3900;-260.0;10.0;-270.0
4000;-220.0;10.0;-230.0
4100;-690.0;20.0;-710.0
4200;-177.5;12.5;-190.0
4300;335.0;5.0;330.0
4400;-305.0;5.0;-310.0
4500;-180.0;10.0;-190.0
4600;-185.0;5.0;-190.0
4700;-100.0;-30.0;-70.0
4800;-172.5;17.5;-190.0
4900;-60.0;10.0;-70.0
5000;-255.0;15.0;-270.0
5100;-100.0;10.0;-110.0
5200;-540.0;10.0;-550.0
5300;-100.0;10.0;-110.0
5400;20.0;10.0;10.0
5500;-105.0;5.0;-110.0
5600;-222.5;7.5;-230.0
5700;-107.5;2.5;-110.0
5800;-105.0;5.0;-110.0
5900;-100.0;10.0;-110.0
6000;-380.0;10.0;-390.0
6100;100.0;10.0;90.0
6200;-20.0;10.0;-30.0
6300;-20.0;10.0;-30.0
6400;105.0;15.0;90.0
6500;-15.0;15.0;-30.0
6600;-797.5;-7.5;-790.0
6700;105.0;15.0;90.0
6800;-15.0;15.0;-30.0
6900;-15.0;15.0;-30.0
7000;25.0;15.0;10.0
7100;65.0;15.0;50.0
7200;60.0;10.0;50.0
7300;65.0;15.0;50.0
7400;67.5;17.5;50.0
7500;220.0;50.0;170.0
7600;60.0;10.0;50.0
7700;-60.0;10.0;-70.0
7800;70.0;20.0;50.0
7900;83.0;33.0;50.0
8000;228.0;18.0;210.0
8100;173.0;43.0;130.0
8200;173.0;43.0;130.0
8300;53.0;43.0;10.0
8400;53.0;43.0;10.0
8500;173.0;43.0;130.0
8600;180.5;50.5;130.0
8700;-342.0;48.0;-390.0
8800;178.0;48.0;130.0
8900;288.0;38.0;250.0
9000;253.0;83.0;170.0
9100;253.0;43.0;210.0
9200;245.5;35.5;210.0
9300;-187.0;43.0;-230.0
9400;213.0;3.0;210.0
9500;253.0;43.0;210.0
9600;248.0;38.0;210.0
9700;233.0;23.0;210.0
9800;243.0;33.0;210.0
9900;243.0;33.0;210.0
10000;283.0;33.0;250.0
10100;328.0;38.0;290.0
10200;203.0;33.0;170.0
10300;323.0;33.0;290.0
10400;195.5;25.5;170.0
10500;323.0;33.0;290.0
10600;323.0;33.0;290.0
10700;323.0;33.0;290.0
10800;443.0;33.0;410.0
10900;318.0;28.0;290.0
11000;318.0;-12.0;330.0
11100;398.0;28.0;370.0
11200;408.0;38.0;370.0
11300;403.0;33.0;370.0
11400;408.0;38.0;370.0
11500;203.0;33.0;170.0
11600;403.0;33.0;370.0
11700;-112.0;38.0;-150.0
11800;403.0;33.0;370.0
11900;803.0;33.0;770.0
12000;448.0;38.0;410.0
12100;475.5;25.5;450.0
12200;523.0;73.0;450.0
12300;355.5;25.5;330.0
12400;478.0;28.0;450.0
12500;473.0;23.0;450.0
