timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10005;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;11
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10008;16
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10008;20
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
21800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;8
23800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;7
32100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
36000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;10
41000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;6
41200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;10
43600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;8
46100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
50000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
52900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;9
62700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
72700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;9
76600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
77500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
77700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
77800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
86900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
91700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
97000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;7
97200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;3
100400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;4
