timestamp;total;EMERALDS;TOMATOES
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;0.0;0.0;0.0
3300;0.0;0.0;0.0
3400;0.0;0.0;0.0
3500;0.0;0.0;0.0
3600;0.0;0.0;0.0
3700;0.0;0.0;0.0
3800;0.0;0.0;0.0
3900;0.0;0.0;0.0
4000;14.0;14.0;0.0
4100;14.0;14.0;0.0
4200;14.0;14.0;0.0
4300;14.0;14.0;0.0
4400;14.0;14.0;0.0
4500;14.0;14.0;0.0
4600;14.0;14.0;0.0
4700;14.0;14.0;0.0
4800;14.0;14.0;0.0
4900;14.0;14.0;0.0
5000;14.0;14.0;0.0
5100;14.0;14.0;0.0
5200;24.0;24.0;0.0
5300;24.0;24.0;0.0
5400;24.0;24.0;0.0
5500;24.0;24.0;0.0
5600;24.0;24.0;0.0
5700;24.0;24.0;0.0
5800;24.0;24.0;0.0
5900;16.0;16.0;0.0
6000;24.0;24.0;0.0
6100;24.0;24.0;0.0
6200;24.0;24.0;0.0
6300;24.0;24.0;0.0
6400;24.0;24.0;0.0
6500;24.0;24.0;0.0
6600;24.0;24.0;0.0
6700;24.0;24.0;0.0
6800;24.0;24.0;0.0
6900;24.0;24.0;0.0
7000;24.0;24.0;0.0
7100;24.0;24.0;0.0
7200;24.0;24.0;0.0
7300;24.0;24.0;0.0
7400;24.0;24.0;0.0
7500;32.0;32.0;0.0
7600;24.0;24.0;0.0
7700;24.0;24.0;0.0
7800;24.0;24.0;0.0
7900;24.0;24.0;0.0
8000;24.0;24.0;0.0
8100;24.0;24.0;0.0
8200;24.0;24.0;0.0
8300;24.0;24.0;0.0
8400;24.0;24.0;0.0
8500;24.0;24.0;0.0
8600;24.0;24.0;0.0
8700;24.0;24.0;0.0
8800;24.0;24.0;0.0
8900;24.0;24.0;0.0
9000;24.0;24.0;0.0
9100;24.0;24.0;0.0
9200;24.0;24.0;0.0
9300;24.0;24.0;0.0
9400;24.0;24.0;0.0
9500;24.0;24.0;0.0
9600;24.0;24.0;0.0
9700;24.0;24.0;0.0
9800;24.0;24.0;0.0
9900;24.0;24.0;0.0
10000;24.0;24.0;0.0
10100;24.0;24.0;0.0
10200;24.0;24.0;0.0
10300;24.0;24.0;0.0
10400;24.0;24.0;0.0
10500;34.0;34.0;0.0
10600;34.0;34.0;0.0
10700;34.0;34.0;0.0
10800;34.0;34.0;0.0
10900;34.0;34.0;0.0
11000;34.0;34.0;0.0
11100;34.0;34.0;0.0
11200;6.0;6.0;0.0
11300;40.0;40.0;0.0
11400;40.0;40.0;0.0
11500;40.0;40.0;0.0
11600;40.0;40.0;0.0
11700;40.0;40.0;0.0
11800;40.0;40.0;0.0
11900;40.0;40.0;0.0
12000;40.0;40.0;0.0
12100;40.0;40.0;0.0
12200;40.0;40.0;0.0
12300;56.0;56.0;0.0
12400;40.0;40.0;0.0
12500;40.0;40.0;0.0
12600;40.0;40.0;0.0
12700;40.0;40.0;0.0
12800;40.0;40.0;0.0
12900;40.0;40.0;0.0
13000;40.0;40.0;0.0
13100;40.0;40.0;0.0
13200;40.0;40.0;0.0
13300;40.0;40.0;0.0
13400;40.0;40.0;0.0
13500;40.0;40.0;0.0
