timestamp;total;EMERALDS;TOMATOES
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;12.0;0.0;12.0
1000;13.0;0.0;13.0
1100;14.0;0.0;14.0
1200;13.0;0.0;13.0
1300;8.0;0.0;8.0
1400;16.0;0.0;16.0
1500;16.0;0.0;16.0
1600;16.0;0.0;16.0
1700;31.5;0.0;31.5
1800;31.5;0.0;31.5
1900;36.5;0.0;36.5
2000;36.5;0.0;36.5
2100;39.0;0.0;39.0
2200;41.5;0.0;41.5
2300;41.5;0.0;41.5
2400;41.5;0.0;41.5
2500;46.5;0.0;46.5
2600;46.5;0.0;46.5
2700;46.5;0.0;46.5
2800;51.5;0.0;51.5
2900;46.5;0.0;46.5
3000;49.0;0.0;49.0
3100;51.5;0.0;51.5
3200;54.0;0.0;54.0
3300;49.0;0.0;49.0
3400;73.0;0.0;73.0
3500;73.0;0.0;73.0
3600;76.0;0.0;76.0
3700;76.0;0.0;76.0
3800;76.0;0.0;76.0
3900;79.0;0.0;79.0
4000;128.0;49.0;79.0
4100;144.5;49.0;95.5
4200;141.5;49.0;92.5
4300;141.5;49.0;92.5
4400;141.5;49.0;92.5
4500;141.5;49.0;92.5
4600;143.0;49.0;94.0
4700;140.0;49.0;91.0
4800;140.0;49.0;91.0
4900;138.5;49.0;89.5
5000;141.5;49.0;92.5
5100;141.5;49.0;92.5
5200;176.5;84.0;92.5
5300;178.0;84.0;94.0
5400;178.0;84.0;94.0
5500;178.0;84.0;94.0
5600;187.0;84.0;103.0
5700;179.5;84.0;95.5
5800;178.0;84.0;94.0
5900;170.0;76.0;94.0
6000;176.5;84.0;92.5
6100;175.0;84.0;91.0
6200;176.5;84.0;92.5
6300;176.5;84.0;92.5
6400;176.5;84.0;92.5
6500;184.0;84.0;100.0
6600;176.5;84.0;92.5
6700;204.0;84.0;120.0
6800;136.5;84.0;52.5
6900;203.0;84.0;119.0
7000;212.5;84.0;128.5
7100;229.0;84.0;145.0
7200;229.0;84.0;145.0
7300;237.0;84.0;153.0
7400;229.0;84.0;145.0
7500;221.0;68.0;153.0
7600;237.0;84.0;153.0
7700;245.0;84.0;161.0
7800;245.0;84.0;161.0
7900;245.0;84.0;161.0
8000;245.0;84.0;161.0
8100;237.0;84.0;153.0
8200;275.5;84.0;191.5
8300;231.5;84.0;147.5
8400;237.0;84.0;153.0
8500;248.0;84.0;164.0
8600;248.0;84.0;164.0
8700;237.0;84.0;153.0
8800;242.5;84.0;158.5
8900;226.0;84.0;142.0
9000;231.5;84.0;147.5
9100;242.5;84.0;158.5
9200;237.0;84.0;153.0
9300;250.0;84.0;166.0
9400;229.0;84.0;145.0
9500;226.0;84.0;142.0
9600;244.0;84.0;160.0
9700;226.0;84.0;142.0
9800;226.0;84.0;142.0
9900;232.0;84.0;148.0
10000;232.0;84.0;148.0
10100;247.0;84.0;163.0
10200;232.0;84.0;148.0
10300;232.0;84.0;148.0
10400;226.0;84.0;142.0
10500;264.0;119.0;145.0
10600;261.0;119.0;142.0
10700;258.0;119.0;139.0
10800;255.0;119.0;136.0
10900;252.0;119.0;133.0
11000;255.0;119.0;136.0
11100;252.0;119.0;133.0
11200;270.0;115.0;155.0
11300;300.0;140.0;160.0
11400;295.0;140.0;155.0
11500;290.0;140.0;150.0
11600;305.0;140.0;165.0
11700;300.0;140.0;160.0
11800;305.0;140.0;165.0
11900;305.0;140.0;165.0
12000;310.0;140.0;170.0
12100;305.0;140.0;165.0
12200;315.0;140.0;175.0
12300;307.0;132.0;175.0
12400;315.0;140.0;175.0
12500;315.0;140.0;175.0
12600;300.0;140.0;160.0
12700;316.0;140.0;176.0
12800;320.0;140.0;180.0
12900;316.0;140.0;176.0
13000;320.0;140.0;180.0
13100;320.0;140.0;180.0
13200;313.0;140.0;173.0
13300;313.0;140.0;173.0
13400;313.0;140.0;173.0
13500;312.0;140.0;172.0
