timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;-8.0;0.0;-8.0
3100;80.0;0.0;80.0
3200;44.0;0.0;44.0
3300;80.0;0.0;80.0
3400;32.0;0.0;32.0
3500;36.0;0.0;36.0
3600;40.0;0.0;40.0
3700;40.0;0.0;40.0
3800;28.0;0.0;28.0
3900;40.0;0.0;40.0
4000;40.0;0.0;40.0
4100;88.0;0.0;88.0
4200;28.0;0.0;28.0
4300;40.0;0.0;40.0
4400;40.0;0.0;40.0
4500;44.0;0.0;44.0
4600;48.0;0.0;48.0
4700;44.0;0.0;44.0
4800;1.0;0.0;1.0
4900;76.0;0.0;76.0
5000;76.0;0.0;76.0
5100;76.0;0.0;76.0
5200;76.0;0.0;76.0
5300;76.0;0.0;76.0
5400;83.5;0.0;83.5
5500;98.5;0.0;98.5
5600;68.5;0.0;68.5
5700;91.0;0.0;91.0
5800;91.0;0.0;91.0
5900;91.0;0.0;91.0
6000;68.5;0.0;68.5
6100;67.0;-24.0;91.0
6200;63.0;-28.0;91.0
6300;99.0;8.0;91.0
6400;120.0;44.0;76.0
6500;112.5;14.0;98.5
6600;141.0;20.0;121.0
6700;36.0;20.0;16.0
6800;126.0;20.0;106.0
6900;126.0;20.0;106.0
7000;108.0;2.0;106.0
7100;108.0;2.0;106.0
7200;138.0;32.0;106.0
7300;126.0;20.0;106.0
7400;138.0;32.0;106.0
7500;24.0;8.0;16.0
7600;141.0;20.0;121.0
7700;153.0;32.0;121.0
7800;141.0;20.0;121.0
7900;135.0;14.0;121.0
8000;106.5;8.0;98.5
8100;129.0;8.0;121.0
8200;189.0;68.0;121.0
8300;141.0;20.0;121.0
8400;141.0;20.0;121.0
8500;67.5;20.0;47.5
8600;184.0;32.0;152.0
8700;143.5;20.0;123.5
8800;166.0;14.0;152.0
8900;143.5;20.0;123.5
9000;212.5;32.0;180.5
9100;184.0;32.0;152.0
9200;88.0;-64.0;152.0
9300;184.0;32.0;152.0
9400;212.5;32.0;180.5
9500;137.5;-24.0;161.5
9600;230.0;40.0;190.0
9700;211.0;40.0;171.0
9800;195.0;24.0;171.0
9900;40.0;40.0;0.0
10000;219.0;48.0;171.0
10100;195.0;24.0;171.0
10200;195.0;24.0;171.0
10300;195.0;24.0;171.0
10400;187.0;16.0;171.0
10500;100.5;24.0;76.5
10600;254.0;40.0;214.0
10700;241.5;40.0;201.5
10800;222.0;8.0;214.0
10900;222.0;8.0;214.0
11000;200.5;24.0;176.5
11100;262.0;48.0;214.0
11200;291.5;40.0;251.5
11300;254.0;40.0;214.0
11400;270.0;56.0;214.0
11500;266.5;40.0;226.5
11600;320.0;56.0;264.0
11700;429.0;40.0;389.0
11800;134.0;120.0;14.0
11900;279.0;40.0;239.0
12000;279.0;40.0;239.0
12100;300.5;24.0;276.5
12200;444.5;168.0;276.5
12300;319.0;80.0;239.0
12400;263.0;24.0;239.0
12500;163.5;-88.0;251.5
12600;304.0;40.0;264.0
12700;-159648.0;-159912.0;264.0
12800;304.0;40.0;264.0
12900;320.0;56.0;264.0
13000;266.5;40.0;226.5
13100;304.0;40.0;264.0
13200;42.0;-72.0;114.0
13300;312.0;48.0;264.0
