timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-274.5;0.0;-274.5
100;-493.5;0.0;-493.5
200;-761.0;0.0;-761.0
300;-641.0;0.0;-641.0
400;-1161.0;0.0;-1161.0
500;-641.0;0.0;-641.0
600;-761.0;0.0;-761.0
700;-641.0;0.0;-641.0
800;-1161.0;0.0;-1161.0
900;-641.0;0.0;-641.0
1000;-641.0;0.0;-641.0
1100;-41.0;0.0;-41.0
1200;-561.0;0.0;-561.0
1300;-561.0;0.0;-561.0
1400;-561.0;0.0;-561.0
1500;-441.0;0.0;-441.0
1600;-441.0;0.0;-441.0
1700;-1081.0;0.0;-1081.0
1800;-561.0;0.0;-561.0
1900;-561.0;0.0;-561.0
2000;-521.0;0.0;-521.0
2100;39.0;0.0;39.0
2200;-481.0;0.0;-481.0
2300;-361.0;0.0;-361.0
2400;-481.0;0.0;-481.0
2500;-201.0;0.0;-201.0
2600;-481.0;0.0;-481.0
2700;-481.0;0.0;-481.0
2800;-1001.0;0.0;-1001.0
2900;-481.0;0.0;-481.0
3000;-441.0;0.0;-441.0
3100;119.0;0.0;119.0
3200;-401.0;0.0;-401.0
3300;119.0;0.0;119.0
3400;-401.0;0.0;-401.0
3500;-401.0;0.0;-401.0
3600;-416.0;-15.0;-401.0
3700;-386.0;15.0;-401.0
3800;-558.5;2.5;-561.0
3900;-391.0;10.0;-401.0
4000;-351.0;10.0;-361.0
4100;-821.0;20.0;-841.0
4200;-308.5;12.5;-321.0
4300;204.0;5.0;199.0
4400;-436.0;5.0;-441.0
4500;-311.0;10.0;-321.0
4600;-316.0;5.0;-321.0
4700;-231.0;-30.0;-201.0
4800;-303.5;17.5;-321.0
4900;-191.0;10.0;-201.0
5000;-386.0;15.0;-401.0
5100;-231.0;10.0;-241.0
5200;-671.0;10.0;-681.0
5300;-231.0;10.0;-241.0
5400;-111.0;10.0;-121.0
5500;-236.0;5.0;-241.0
5600;-353.5;7.5;-361.0
5700;-238.5;2.5;-241.0
5800;-236.0;5.0;-241.0
5900;-231.0;10.0;-241.0
6000;-511.0;10.0;-521.0
6100;-31.0;10.0;-41.0
6200;-151.0;10.0;-161.0
6300;-151.0;10.0;-161.0
6400;-26.0;15.0;-41.0
6500;-146.0;15.0;-161.0
6600;-960.0;-39.0;-921.0
6700;-17.0;24.0;-41.0
6800;-137.0;24.0;-161.0
6900;-137.0;24.0;-161.0
7000;-97.0;24.0;-121.0
7100;-57.0;24.0;-81.0
7200;-71.0;10.0;-81.0
7300;-57.0;24.0;-81.0
7400;-50.0;31.0;-81.0
7500;161.0;122.0;39.0
7600;-71.0;10.0;-81.0
7700;-191.0;10.0;-201.0
7800;-11.5;69.5;-81.0
7900;-57.0;24.0;-81.0
8000;61.0;-18.0;79.0
8100;51.0;52.0;-1.0
8200;51.0;52.0;-1.0
8300;-69.0;52.0;-121.0
8400;-69.0;52.0;-121.0
8500;51.0;52.0;-1.0
8600;72.0;73.0;-1.0
8700;-455.0;66.0;-521.0
8800;65.0;66.0;-1.0
8900;157.0;38.0;119.0
9000;203.0;164.0;39.0
9100;131.0;52.0;79.0
9200;110.0;31.0;79.0
9300;-309.0;52.0;-361.0
9400;19.0;-60.0;79.0
9500;131.0;52.0;79.0
9600;117.0;38.0;79.0
9700;75.0;-4.0;79.0
9800;103.0;24.0;79.0
9900;103.0;24.0;79.0
10000;143.0;24.0;119.0
10100;197.0;38.0;159.0
10200;63.0;24.0;39.0
10300;183.0;24.0;159.0
10400;42.0;3.0;39.0
10500;183.0;24.0;159.0
10600;183.0;24.0;159.0
10700;183.0;24.0;159.0
10800;303.0;24.0;279.0
10900;169.0;10.0;159.0
11000;97.0;-102.0;199.0
11100;249.0;10.0;239.0
11200;277.0;38.0;239.0
11300;263.0;24.0;239.0
11400;277.0;38.0;239.0
11500;63.0;24.0;39.0
11600;263.0;24.0;239.0
11700;-243.0;38.0;-281.0
11800;263.0;24.0;239.0
11900;663.0;24.0;639.0
12000;317.0;38.0;279.0
12100;322.0;3.0;319.0
12200;455.0;136.0;319.0
12300;202.0;3.0;199.0
12400;329.0;10.0;319.0
12500;315.0;-4.0;319.0
12600;350.0;31.0;319.0
12700;456.0;17.0;439.0
12800;343.0;24.0;319.0
12900;329.0;10.0;319.0
13000;251.5;-107.5;359.0
13100;418.0;19.0;399.0
13200;252.0;-27.0;279.0
13300;298.0;19.0;279.0
13400;418.0;19.0;399.0
13500;418.0;19.0;399.0
13600;418.0;19.0;399.0
13700;418.0;19.0;399.0
13800;418.0;19.0;399.0
13900;418.0;19.0;399.0
14000;858.0;19.0;839.0
14100;-22.0;19.0;-41.0
14200;463.5;-15.5;479.0
14300;343.5;-15.5;359.0
14400;532.5;53.5;479.0
14500;486.5;7.5;479.0
14600;1041.0;42.0;999.0
14700;825.0;226.0;599.0
14800;1.0;42.0;-41.0
14900;486.5;7.5;479.0
15000;441.0;42.0;399.0
15100;401.0;42.0;359.0
15200;721.0;42.0;679.0
15300;537.0;-142.0;679.0
15400;601.0;42.0;559.0
15500;744.0;65.0;679.0
15600;601.0;42.0;559.0
15700;624.0;65.0;559.0
15800;601.0;42.0;559.0
15900;624.0;65.0;559.0
16000;848.0;249.0;599.0
16100;801.0;42.0;759.0
16200;658.0;19.0;639.0
16300;635.0;-4.0;639.0
16400;727.0;88.0;639.0
16500;463.0;-56.0;519.0
16600;653.0;14.0;639.0
16700;-960583.0;98.0;-960681.0
16800;885.0;126.0;759.0
16900;765.0;126.0;639.0
17000;749.0;70.0;679.0
17100;227.0;28.0;199.0
17200;789.0;70.0;719.0
17300;669.0;70.0;599.0
17400;571.0;-28.0;599.0
17500;809.0;210.0;599.0
17600;971.0;252.0;719.0
17700;283.0;84.0;199.0
17800;803.0;84.0;719.0
17900;971.0;252.0;719.0
18000;843.0;84.0;759.0
18100;904.0;105.0;799.0
18200;1093.0;174.0;919.0
18300;883.0;84.0;799.0
18400;907.0;108.0;799.0
18500;877.0;78.0;799.0
18600;889.0;90.0;799.0
18700;889.0;90.0;799.0
18800;871.0;72.0;799.0
18900;769.0;90.0;679.0
19000;929.0;90.0;839.0
19100;993.0;-6.0;999.0
19200;981.0;102.0;879.0
19300;981.0;102.0;879.0
19400;1101.0;102.0;999.0
19500;1101.0;102.0;999.0
19600;981.0;102.0;879.0
19700;906.0;27.0;879.0
19800;987.0;108.0;879.0
19900;560.0;81.0;479.0
20000;1827.0;108.0;1719.0
20100;1067.0;108.0;959.0
20200;1211.0;252.0;959.0
20300;974.0;135.0;839.0
20400;1085.0;126.0;959.0
20500;965.0;126.0;839.0
20600;965.0;126.0;839.0
20700;1503.0;144.0;1359.0
20800;1085.0;126.0;959.0
20900;1058.0;99.0;959.0
21000;1107.0;108.0;999.0
21100;1165.0;126.0;1039.0
21200;901.0;-18.0;919.0
21300;1147.0;108.0;1039.0
21400;1228.0;189.0;1039.0
21500;1174.0;135.0;1039.0
21600;1081.0;162.0;919.0
21700;1721.0;162.0;1559.0
21800;1201.0;162.0;1039.0
21900;1201.0;162.0;1039.0
22000;1241.0;162.0;1079.0
22100;1281.0;162.0;1119.0
22200;1281.0;162.0;1119.0
22300;1401.0;162.0;1239.0
22400;1401.0;162.0;1239.0
22500;841.0;162.0;679.0
22600;1281.0;162.0;1119.0
22700;1281.0;162.0;1119.0
22800;1161.0;162.0;999.0
22900;1281.0;162.0;1119.0
23000;1321.0;162.0;1159.0
23100;1361.0;162.0;1199.0
23200;921.0;162.0;759.0
23300;841.0;162.0;679.0
23400;1361.0;162.0;1199.0
23500;1361.0;162.0;1199.0
23600;841.0;162.0;679.0
23700;1361.0;162.0;1199.0
23800;1361.0;162.0;1199.0
23900;1361.0;162.0;1199.0
24000;1401.0;162.0;1239.0
24100;1301.0;142.0;1159.0
24200;1451.0;172.0;1279.0
24300;1456.0;177.0;1279.0
24400;1451.0;172.0;1279.0
24500;1451.0;172.0;1279.0
24600;931.0;172.0;759.0
24700;1456.0;177.0;1279.0
24800;1336.0;177.0;1159.0
24900;688.5;169.5;519.0
25000;1496.0;177.0;1319.0
25100;1011.0;172.0;839.0
25200;1536.0;177.0;1359.0
25300;1416.0;177.0;1239.0
25400;1536.0;177.0;1359.0
25500;1536.0;177.0;1359.0
25600;1528.5;169.5;1359.0
25700;1536.0;177.0;1359.0
25800;1538.5;179.5;1359.0
25900;1528.5;169.5;1359.0
26000;1576.0;177.0;1399.0
26100;1616.0;177.0;1439.0
26200;1496.0;177.0;1319.0
26300;1638.5;199.5;1439.0
26400;1633.5;194.5;1439.0
26500;1493.5;174.5;1319.0
26600;1628.5;189.5;1439.0
26700;1621.0;182.0;1439.0
26800;1733.5;174.5;1559.0
26900;1614.0;175.0;1439.0
27000;1754.0;155.0;1599.0
27100;1192.0;193.0;999.0
27200;1194.0;195.0;999.0
27300;1274.0;195.0;1079.0
27400;1714.0;195.0;1519.0
27500;1714.0;195.0;1519.0
27600;1714.0;195.0;1519.0
27700;1548.0;189.0;1359.0
27800;1722.0;203.0;1519.0
27900;1718.0;199.0;1519.0
28000;958.0;199.0;759.0
28100;1924.0;205.0;1719.0
28200;1790.0;191.0;1599.0
28300;1794.0;195.0;1599.0
28400;1360.0;201.0;1159.0
28500;1674.0;195.0;1479.0
28600;1674.0;195.0;1479.0
28700;1786.0;187.0;1599.0
28800;1794.0;195.0;1599.0
28900;1642.0;163.0;1479.0
29000;1838.0;199.0;1639.0
29100;1874.0;195.0;1679.0
29200;1894.0;215.0;1679.0
29300;1874.0;195.0;1679.0
29400;1874.0;195.0;1679.0
29500;1754.0;195.0;1559.0
29600;1994.0;195.0;1799.0
29700;1846.0;167.0;1679.0
29800;2270.0;191.0;2079.0
29900;1870.0;191.0;1679.0
30000;1882.0;163.0;1719.0
30100;1954.0;195.0;1759.0
30200;1958.0;199.0;1759.0
30300;1922.0;163.0;1759.0
30400;1954.0;195.0;1759.0
30500;1950.0;191.0;1759.0
30600;1954.0;195.0;1759.0
30700;1986.0;227.0;1759.0
30800;1960.0;201.0;1759.0
30900;1402.0;163.0;1239.0
31000;1440.0;201.0;1239.0
31100;42038.0;40199.0;1839.0
31200;2036.0;197.0;1839.0
31300;2058.0;219.0;1839.0
31400;2058.0;219.0;1839.0
31500;2178.0;219.0;1959.0
31600;2058.0;219.0;1839.0
31700;2058.0;219.0;1839.0
31800;2058.0;219.0;1839.0
31900;2058.0;219.0;1839.0
32000;1978.0;219.0;1759.0
32100;2138.0;219.0;1919.0
32200;2098.0;179.0;1919.0
32300;2024.0;225.0;1799.0
32400;2122.0;203.0;1919.0
32500;2138.0;219.0;1919.0
32600;2018.0;219.0;1799.0
32700;2134.0;215.0;1919.0
32800;2256.0;217.0;2039.0
32900;2146.0;227.0;1919.0
33000;2186.0;227.0;1959.0
33100;2228.0;229.0;1999.0
33200;2106.0;227.0;1879.0
33300;2580.0;221.0;2359.0
33400;2104.0;225.0;1879.0
33500;2224.0;225.0;1999.0
33600;2224.0;225.0;1999.0
33700;-960478.0;203.0;-960681.0
33800;2225.0;226.0;1999.0
33900;2224.0;225.0;1999.0
34000;2262.0;223.0;2039.0
34100;2286.0;207.0;2079.0
34200;2783.5;184.5;2599.0
34300;2822.0;223.0;2599.0
34400;2313.0;234.0;2079.0
34500;2816.5;217.5;2599.0
34600;2313.0;234.0;2079.0
34700;2438.5;239.5;2199.0
34800;2433.0;234.0;2199.0
34900;2313.0;234.0;2079.0
35000;2353.0;234.0;2119.0
35100;2273.0;234.0;2039.0
35200;2393.0;234.0;2159.0
35300;2393.0;234.0;2159.0
35400;2383.0;344.0;2039.0
35500;2913.0;234.0;2679.0
35600;2393.0;234.0;2159.0
35700;2376.5;217.5;2159.0
35800;2393.0;234.0;2159.0
35900;2361.0;322.0;2039.0
36000;2564.0;245.0;2319.0
36100;2473.0;234.0;2239.0
36200;2484.0;245.0;2239.0
36300;2467.5;228.5;2239.0
36400;2467.5;228.5;2239.0
36500;2044.0;245.0;1799.0
36600;2604.0;245.0;2359.0
36700;2473.0;234.0;2239.0
36800;2002.5;283.5;1719.0
36900;2484.0;245.0;2239.0
37000;2524.0;245.0;2279.0
37100;2564.0;245.0;2319.0
37200;2564.0;245.0;2319.0
37300;2124.0;245.0;1879.0
37400;2684.0;245.0;2439.0
37500;2547.5;228.5;2319.0
37600;2547.5;228.5;2319.0
37700;2553.0;234.0;2319.0
37800;2641.0;322.0;2319.0
37900;2592.0;273.0;2319.0
38000;2620.0;261.0;2359.0
38100;2780.0;261.0;2519.0
38200;2220.0;261.0;1959.0
38300;3178.0;259.0;2919.0
38400;3067.0;268.0;2799.0
38500;3180.0;261.0;2919.0
38600;2660.0;261.0;2399.0
38700;2662.0;263.0;2399.0
38800;2637.0;238.0;2399.0
38900;2670.0;271.0;2399.0
39000;2683.0;244.0;2439.0
39100;2738.0;259.0;2479.0
39200;2224.0;265.0;1959.0
39300;2544.0;265.0;2279.0
39400;2867.0;268.0;2599.0
39500;2744.0;265.0;2479.0
39600;2750.0;271.0;2479.0
39700;2744.0;265.0;2479.0
39800;2732.0;253.0;2479.0
39900;2290.0;211.0;2079.0
40000;2584.0;265.0;2319.0
40100;2719.0;280.0;2439.0
40200;2698.0;259.0;2439.0
40300;2932.0;253.0;2679.0
40400;2830.0;271.0;2559.0
40500;2384.0;265.0;2119.0
40600;2984.0;265.0;2719.0
40700;2824.0;265.0;2559.0
40800;2809.0;250.0;2559.0
40900;3584.0;265.0;3319.0
41000;2984.0;265.0;2719.0
41100;2925.0;286.0;2639.0
41200;2590.0;271.0;2319.0
41300;2910.0;271.0;2639.0
41400;2904.0;265.0;2639.0
41500;2925.0;286.0;2639.0
41600;2958.0;319.0;2639.0
