timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;-20.0;-20.0;0.0
1000;12.0;12.0;0.0
1100;24.0;24.0;0.0
1200;88.0;88.0;0.0
1300;36.0;36.0;0.0
1400;24.0;24.0;0.0
1500;32.0;32.0;0.0
1600;-32.0;-32.0;0.0
1700;52.0;52.0;0.0
1800;32.0;32.0;0.0
1900;32.0;32.0;0.0
2000;20.0;20.0;0.0
2100;32.0;32.0;0.0
2200;32.0;32.0;0.0
2300;32.5;32.5;0.0
2400;20.5;20.5;0.0
2500;20.5;20.5;0.0
2600;25.0;25.0;0.0
2700;28.0;28.0;0.0
2800;25.0;25.0;0.0
2900;25.0;25.0;0.0
3000;22.0;22.0;0.0
3100;28.0;28.0;0.0
3200;31.0;31.0;0.0
3300;28.0;28.0;0.0
3400;28.0;28.0;0.0
3500;23.5;23.5;0.0
3600;28.0;28.0;0.0
3700;22.0;22.0;0.0
3800;25.0;25.0;0.0
3900;25.0;25.0;0.0
4000;28.0;28.0;0.0
4100;26.5;26.5;0.0
4200;29.5;29.5;0.0
4300;34.0;34.0;0.0
4400;34.0;34.0;0.0
4500;31.0;31.0;0.0
4600;35.5;35.5;0.0
4700;55.0;55.0;0.0
4800;19.0;19.0;0.0
4900;31.0;31.0;0.0
5000;31.0;31.0;0.0
5100;31.0;31.0;0.0
5200;26.5;26.5;0.0
5300;-223.5;17.0;-240.5
5400;-269.5;20.5;-290.0
5500;-406.0;20.0;-426.0
5600;-423.0;28.0;-451.0
5700;-431.0;20.0;-451.0
5800;-846.0;-10.0;-836.0
5900;-455.0;-4.0;-451.0
6000;-463.0;23.0;-486.0
6100;-382.0;-1.0;-381.0
6200;-382.0;-1.0;-381.0
6300;-376.0;5.0;-381.0
6400;-376.0;5.0;-381.0
6500;-310.0;71.0;-381.0
6600;-446.0;5.0;-451.0
6700;9.0;5.0;4.0
6800;-376.0;5.0;-381.0
6900;-379.0;2.0;-381.0
7000;-335.0;11.0;-346.0
7100;-300.0;11.0;-311.0
7200;-297.0;14.0;-311.0
7300;-306.0;5.0;-311.0
7400;-236.0;5.0;-241.0
7500;73.0;-1.0;74.0
7600;-318.0;-7.0;-311.0
7700;-303.0;8.0;-311.0
7800;-359.0;-48.0;-311.0
7900;-314.0;-3.0;-311.0
8000;65.0;-79.0;144.0
8100;-353.0;-7.0;-346.0
8200;-240.0;1.0;-241.0
8300;-264.0;-23.0;-241.0
8400;-248.0;-7.0;-241.0
8500;-248.0;-7.0;-241.0
8600;-127.0;9.0;-136.0
8700;-248.0;-7.0;-241.0
8800;-248.0;-7.0;-241.0
8900;-306.0;-65.0;-241.0
9000;-655.0;-29.0;-626.0
9100;-209.0;-38.0;-171.0
9200;-130.0;-29.0;-101.0
9300;-200.0;-29.0;-171.0
9400;-576.0;-20.0;-556.0
9500;-323.0;-47.0;-276.0
9600;-288.0;-47.0;-241.0
9700;-236.0;-65.0;-171.0
9800;-236.0;-65.0;-171.0
9900;149.0;-65.0;214.0
10000;-174.0;-38.0;-136.0
10100;-166.0;-65.0;-101.0
10200;-166.0;-65.0;-101.0
10300;-218.0;-187.0;-31.0
10400;-301.0;-305.0;4.0
10500;-134.0;-313.0;179.0
10600;-560.5;-459.5;-101.0
10700;-354.0;-253.0;-101.0
10800;-308.0;-312.0;4.0
10900;-561.0;-565.0;4.0
11000;-605.0;-539.0;-66.0
11100;-570.0;-539.0;-31.0
11200;-570.0;-539.0;-31.0
11300;-805.0;-459.0;-346.0
11400;-420.0;-459.0;39.0
11500;-650.0;-619.0;-31.0
11600;-770.0;-739.0;-31.0
11700;-1130.0;-1099.0;-31.0
11800;-490.0;-459.0;-31.0
11900;-385.0;-459.0;74.0
12000;-335.0;-339.0;4.0
12100;-460.0;-499.0;39.0
