timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;42.0;42.0;0.0
200;42.0;42.0;0.0
300;45.0;45.0;0.0
400;35.0;35.0;0.0
500;44.0;44.0;0.0
600;44.0;44.0;0.0
700;42.0;42.0;0.0
800;42.0;42.0;0.0
900;48.0;48.0;0.0
1000;49.0;49.0;0.0
1100;49.0;49.0;0.0
1200;46.0;46.0;0.0
1300;46.0;46.0;0.0
1400;46.0;46.0;0.0
1500;48.0;48.0;0.0
1600;48.0;48.0;0.0
1700;48.0;48.0;0.0
1800;55.0;55.0;0.0
1900;48.0;48.0;0.0
2000;48.0;48.0;0.0
2100;46.0;46.0;0.0
2200;48.0;48.0;0.0
2300;46.0;46.0;0.0
2400;46.0;46.0;0.0
2500;46.0;46.0;0.0
2600;46.0;46.0;0.0
2700;31.0;43.0;-12.0
2800;76.0;48.0;28.0
2900;98.0;48.0;50.0
3000;6.0;46.0;-40.0
3100;14.0;44.0;-30.0
3200;16.0;46.0;-30.0
3300;43.0;43.0;0.0
3400;16.0;46.0;-30.0
3500;16.0;46.0;-30.0
3600;37.0;67.0;-30.0
3700;67.0;67.0;0.0
3800;22.0;52.0;-30.0
3900;37.0;67.0;-30.0
4000;44.5;64.5;-20.0
4100;17.0;57.0;-40.0
4200;68.0;78.0;-10.0
4300;115.5;95.5;20.0
4400;45.0;85.0;-40.0
4500;85.5;95.5;-10.0
4600;68.0;78.0;-10.0
4700;45.0;85.0;-40.0
4800;10.0;78.0;-68.0
4900;65.0;85.0;-20.0
5000;157.5;92.0;65.5
5100;150.5;85.0;65.5
5200;121.5;85.0;36.5
5300;121.5;85.0;36.5
5400;165.0;85.0;80.0
5500;114.5;78.0;36.5
5600;128.5;92.0;36.5
5700;-31.0;85.0;-116.0
5800;-38.0;78.0;-116.0
5900;139.0;85.0;54.0
6000;105.0;85.0;20.0
6100;183.5;95.5;88.0
6200;173.0;85.0;88.0
6300;173.0;85.0;88.0
6400;180.0;92.0;88.0
6500;129.0;92.0;37.0
6600;180.0;92.0;88.0
6700;180.0;92.0;88.0
6800;180.0;92.0;88.0
6900;187.0;99.0;88.0
7000;142.5;88.5;54.0
7100;214.0;92.0;122.0
7200;182.5;60.5;122.0
7300;203.5;81.5;122.0
7400;207.0;85.0;122.0
7500;258.0;85.0;173.0
7600;233.0;111.0;122.0
7700;222.0;100.0;122.0
7800;225.0;103.0;122.0
7900;171.0;100.0;71.0
8000;175.0;104.0;71.0
8100;173.0;102.0;71.0
8200;207.0;102.0;105.0
8300;204.0;99.0;105.0
8400;258.0;102.0;156.0
8500;258.0;102.0;156.0
8600;256.0;100.0;156.0
8700;257.0;101.0;156.0
8800;257.0;101.0;156.0
8900;207.0;102.0;105.0
9000;275.0;102.0;173.0
9100;337.0;96.0;241.0
9200;343.0;102.0;241.0
9300;290.0;100.0;190.0
9400;296.0;106.0;190.0
9500;296.0;106.0;190.0
9600;287.0;148.0;139.0
9700;332.0;142.0;190.0
9800;344.0;154.0;190.0
9900;162.0;154.0;8.0
10000;449.0;210.0;239.0
10100;470.0;210.0;260.0
10200;491.0;231.0;260.0
10300;477.0;217.0;260.0
10400;519.0;196.0;323.0
10500;477.0;217.0;260.0
10600;470.0;210.0;260.0
10700;491.0;231.0;260.0
10800;470.0;210.0;260.0
10900;484.0;224.0;260.0
11000;456.0;175.0;281.0
11100;505.0;224.0;281.0
11200;512.0;210.0;302.0
11300;512.0;210.0;302.0
11400;533.0;231.0;302.0
11500;512.0;210.0;302.0
11600;512.0;210.0;302.0
11700;596.0;231.0;365.0
11800;512.0;210.0;302.0
11900;575.0;210.0;365.0
12000;533.0;210.0;323.0
12100;589.0;245.0;344.0
12200;617.5;273.5;344.0
12300;589.0;245.0;344.0
12400;627.0;283.0;344.0
12500;627.0;283.0;344.0
12600;374.0;264.0;110.0
12700;554.0;264.0;290.0
12800;563.5;273.5;290.0
12900;621.5;264.0;357.5
13000;644.0;264.0;380.0
13100;666.5;264.0;402.5
13200;685.5;283.0;402.5
13300;685.5;283.0;402.5
13400;666.5;264.0;402.5
13500;599.0;264.0;335.0
13600;666.5;264.0;402.5
13700;666.5;264.0;402.5
13800;666.5;264.0;402.5
13900;777.5;235.5;542.0
14000;611.0;285.0;326.0
14100;539.0;285.0;254.0
14200;523.0;269.0;254.0
14300;499.0;245.0;254.0
14400;311.0;269.0;42.0
14500;583.0;221.0;362.0
14600;631.0;269.0;362.0
14700;343.0;221.0;122.0
14800;511.0;269.0;242.0
14900;375.0;253.0;122.0
15000;503.0;221.0;282.0
15100;781.0;339.0;442.0
15200;661.0;339.0;322.0
15300;661.0;339.0;322.0
15400;661.0;339.0;322.0
15500;655.0;333.0;322.0
15600;791.0;349.0;442.0
15700;679.0;357.0;322.0
15800;675.0;353.0;322.0
15900;675.0;353.0;322.0
16000;715.0;353.0;362.0
16100;741.0;339.0;402.0
16200;751.0;349.0;402.0
16300;759.0;357.0;402.0
16400;755.0;353.0;402.0
16500;881.0;359.0;522.0
16600;759.0;357.0;402.0
16700;639.0;357.0;282.0
16800;759.0;357.0;402.0
16900;879.0;357.0;522.0
17000;875.0;353.0;522.0
17100;835.0;353.0;482.0
17200;715.0;353.0;362.0
17300;715.0;353.0;362.0
17400;951.0;349.0;602.0
17500;835.0;353.0;482.0
17600;835.0;353.0;482.0
17700;955.0;353.0;602.0
17800;711.0;349.0;362.0
17900;835.0;353.0;482.0
18000;995.0;353.0;642.0
18100;1029.0;347.0;682.0
18200;915.0;353.0;562.0
18300;919.0;357.0;562.0
18400;911.0;349.0;562.0
18500;953.0;391.0;562.0
18600;1073.0;391.0;682.0
18700;1108.0;426.0;682.0
18800;953.0;391.0;562.0
18900;868.0;426.0;442.0
19000;983.0;381.0;602.0
19100;1033.0;391.0;642.0
19200;1043.0;401.0;642.0
19300;1043.0;401.0;642.0
19400;1043.0;401.0;642.0
19500;923.0;401.0;522.0
19600;923.0;401.0;522.0
19700;938.0;416.0;522.0
19800;1088.0;446.0;642.0
19900;895.0;413.0;482.0
20000;975.0;413.0;562.0
20100;1255.0;413.0;842.0
20200;1249.0;407.0;842.0
20300;1264.0;422.0;842.0
20400;1141.0;419.0;722.0
20500;1141.0;419.0;722.0
20600;1141.0;419.0;722.0
20700;1147.0;425.0;722.0
20800;1261.0;419.0;842.0
20900;1141.0;419.0;722.0
21000;1175.0;413.0;762.0
21100;1181.0;419.0;762.0
21200;1239.0;437.0;802.0
21300;1215.0;413.0;802.0
21400;1215.0;413.0;802.0
21500;1194.0;392.0;802.0
21600;1215.0;413.0;802.0
21700;1215.0;413.0;802.0
21800;1335.0;413.0;922.0
21900;1335.0;413.0;922.0
22000;1255.0;413.0;842.0
22100;1295.0;413.0;882.0
22200;1298.0;416.0;882.0
22300;1298.0;416.0;882.0
22400;1295.0;413.0;882.0
22500;1295.0;413.0;882.0
22600;1289.0;407.0;882.0
22700;1274.0;392.0;882.0
22800;1301.0;419.0;882.0
22900;1295.0;413.0;882.0
23000;1335.0;413.0;922.0
23100;935.0;413.0;522.0
23200;1405.0;443.0;962.0
23300;1381.0;419.0;962.0
23400;1384.0;422.0;962.0
23500;1375.0;413.0;962.0
23600;1384.0;422.0;962.0
23700;1381.0;419.0;962.0
23800;1381.0;419.0;962.0
23900;1538.0;456.0;1082.0
24000;1575.0;453.0;1122.0
24100;1375.0;453.0;922.0
24200;1494.0;452.0;1042.0
24300;1525.0;483.0;1042.0
24400;1511.0;469.0;1042.0
24500;1524.0;482.0;1042.0
24600;1542.0;500.0;1042.0
24700;1539.5;497.5;1042.0
24800;1427.0;505.0;922.0
24900;1547.0;505.0;1042.0
25000;1592.0;510.0;1082.0
25100;1627.0;505.0;1122.0
25200;1747.0;505.0;1242.0
25300;1627.0;505.0;1122.0
25400;1627.0;505.0;1122.0
25500;1192.0;510.0;682.0
25600;1752.0;510.0;1242.0
25700;1627.0;505.0;1122.0
25800;1509.5;507.5;1002.0
25900;1507.0;505.0;1002.0
26000;1552.0;510.0;1042.0
26100;1712.0;510.0;1202.0
26200;1707.0;505.0;1202.0
26300;1827.0;505.0;1322.0
26400;1584.5;502.5;1082.0
26500;2112.0;510.0;1602.0
26600;1832.0;510.0;1322.0
26700;1712.0;510.0;1202.0
26800;1804.5;482.5;1322.0
26900;1827.0;505.0;1322.0
27000;1867.0;505.0;1362.0
27100;1787.0;505.0;1282.0
27200;1787.0;505.0;1282.0
27300;1907.0;505.0;1402.0
27400;1787.0;505.0;1282.0
27500;1787.0;505.0;1282.0
27600;1787.0;505.0;1282.0
27700;1787.0;505.0;1282.0
27800;1787.0;505.0;1282.0
27900;1902.0;500.0;1402.0
28000;1715.0;513.0;1202.0
28100;1870.0;508.0;1362.0
28200;1871.0;509.0;1362.0
28300;1871.0;509.0;1362.0
28400;1749.5;507.5;1242.0
28500;1869.5;507.5;1362.0
28600;1869.5;507.5;1362.0
28700;2032.0;510.0;1522.0
28800;1871.0;509.0;1362.0
28900;1871.0;509.0;1362.0
29000;1912.5;510.5;1402.0
29100;2072.5;510.5;1562.0
29200;2071.0;509.0;1562.0
29300;1951.0;509.0;1442.0
29400;1951.0;509.0;1442.0
29500;1951.0;509.0;1442.0
29600;1952.0;510.0;1442.0
29700;1950.0;508.0;1442.0
29800;1950.0;508.0;1442.0
29900;1951.0;509.0;1442.0
30000;1789.5;507.5;1282.0
30100;2031.0;509.0;1522.0
30200;2031.0;509.0;1522.0
30300;2032.5;510.5;1522.0
30400;2032.5;510.5;1522.0
30500;2029.5;507.5;1522.0
30600;2031.0;509.0;1522.0
30700;2032.0;510.0;1522.0
30800;2031.0;509.0;1522.0
30900;1911.0;509.0;1402.0
31000;2071.0;509.0;1562.0
31100;2110.0;508.0;1602.0
31200;1989.5;507.5;1482.0
31300;2111.0;509.0;1602.0
31400;2111.0;509.0;1602.0
31500;2111.0;509.0;1602.0
31600;2111.0;509.0;1602.0
31700;1991.0;509.0;1482.0
31800;2231.0;509.0;1722.0
31900;2109.5;507.5;1602.0
32000;2029.5;507.5;1522.0
32100;2191.0;509.0;1682.0
32200;2192.0;510.0;1682.0
32300;2191.5;509.5;1682.0
32400;2191.5;509.5;1682.0
32500;2591.0;509.0;2082.0
32600;2191.0;509.0;1682.0
32700;2070.0;508.0;1562.0
32800;2193.0;511.0;1682.0
32900;2218.0;536.0;1682.0
33000;2258.0;536.0;1722.0
33100;2418.0;536.0;1882.0
33200;2298.0;536.0;1762.0
33300;2658.0;536.0;2122.0
33400;2303.0;541.0;1762.0
33500;2188.0;546.0;1642.0
33600;2148.0;546.0;1602.0
33700;2298.0;536.0;1762.0
33800;2300.5;538.5;1762.0
33900;2303.0;541.0;1762.0
34000;2397.0;595.0;1802.0
34100;2435.0;593.0;1842.0
34200;2439.0;597.0;1842.0
34300;2439.0;597.0;1842.0
34400;2439.0;597.0;1842.0
34500;2439.0;597.0;1842.0
34600;2439.0;597.0;1842.0
34700;2439.0;597.0;1842.0
34800;2319.0;597.0;1722.0
34900;2439.0;597.0;1842.0
35000;2439.0;597.0;1842.0
35100;2521.0;599.0;1922.0
35200;2399.0;597.0;1802.0
35300;2401.0;599.0;1802.0
35400;2520.0;598.0;1922.0
35500;2519.0;597.0;1922.0
35600;2519.0;597.0;1922.0
35700;3039.0;597.0;2442.0
35800;3039.0;597.0;2442.0
35900;2639.0;597.0;2042.0
36000;2559.0;597.0;1962.0
36100;2961.0;599.0;2362.0
36200;2599.0;597.0;2002.0
36300;2599.0;597.0;2002.0
36400;2599.0;597.0;2002.0
36500;2623.0;621.0;2002.0
36600;2628.0;626.0;2002.0
36700;2628.0;626.0;2002.0
36800;2628.0;626.0;2002.0
36900;2628.0;626.0;2002.0
37000;2668.0;626.0;2042.0
37100;2708.0;626.0;2082.0
37200;2715.5;633.5;2082.0
37300;2828.0;626.0;2202.0
37400;2713.0;631.0;2082.0
37500;2708.0;626.0;2082.0
37600;2593.0;631.0;1962.0
37700;2823.0;621.0;2202.0
37800;2654.0;572.0;2082.0
37900;2777.0;695.0;2082.0
38000;2799.0;677.0;2122.0
38100;2639.0;677.0;1962.0
38200;2839.0;677.0;2162.0
38300;2839.0;677.0;2162.0
38400;2438.0;716.0;1722.0
38500;2860.0;698.0;2162.0
38600;2878.0;716.0;2162.0
38700;2752.0;710.0;2042.0
38800;2746.0;704.0;2042.0
38900;2746.0;704.0;2042.0
39000;2734.0;692.0;2042.0
39100;2934.0;692.0;2242.0
39200;2928.0;686.0;2242.0
39300;2940.0;698.0;2242.0
39400;2940.0;698.0;2242.0
39500;2940.0;698.0;2242.0
39600;2940.0;698.0;2242.0
39700;2952.0;710.0;2242.0
39800;2916.0;674.0;2242.0
39900;2977.0;735.0;2242.0
40000;3055.0;773.0;2282.0
40100;2965.5;763.5;2202.0
40200;3057.0;735.0;2322.0
40300;2937.0;735.0;2202.0
40400;3196.0;754.0;2442.0
40500;3196.0;754.0;2442.0
40600;3076.0;754.0;2322.0
40700;3076.0;754.0;2322.0
40800;3076.0;754.0;2322.0
40900;3085.5;763.5;2322.0
41000;3116.0;754.0;2362.0
41100;3184.5;782.5;2402.0
41200;3314.0;792.0;2522.0
41300;3194.0;792.0;2402.0
41400;3276.0;754.0;2522.0
41500;3311.0;789.0;2522.0
41600;3215.0;813.0;2402.0
41700;3735.0;813.0;2922.0
41800;3227.0;705.0;2522.0
41900;3191.0;789.0;2402.0
42000;3031.0;789.0;2242.0
42100;3247.0;765.0;2482.0
42200;3199.0;837.0;2362.0
42300;3151.0;789.0;2362.0
42400;3307.0;825.0;2482.0
42500;3163.0;681.0;2482.0
42600;3295.0;813.0;2482.0
42700;3247.0;765.0;2482.0
42800;3223.0;741.0;2482.0
42900;3355.0;753.0;2602.0
43000;2967.0;885.0;2082.0
43100;3351.0;789.0;2562.0
43200;3315.0;753.0;2562.0
43300;3351.0;789.0;2562.0
43400;3351.0;789.0;2562.0
43500;3351.0;789.0;2562.0
43600;3327.0;765.0;2562.0
