timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;-24.0;-24.0;0.0
500;12.0;12.0;0.0
600;4.0;4.0;0.0
700;16.0;16.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;8.0;8.0;0.0
1100;8.0;8.0;0.0
1200;8.0;8.0;0.0
1300;8.0;8.0;0.0
1400;8.0;8.0;0.0
1500;8.0;8.0;0.0
1600;8.0;8.0;0.0
1700;4.0;4.0;0.0
1800;32.0;32.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;-8.0;-8.0;0.0
2200;-8.0;-8.0;0.0
2300;-8.0;-8.0;0.0
2400;-12.0;-12.0;0.0
2500;0.0;0.0;0.0
2600;12.0;12.0;0.0
2700;-8.0;0.0;-8.0
2800;32.0;-8.0;40.0
2900;-73.0;-4.0;-69.0
3000;-226.5;0.0;-226.5
3100;-286.0;8.0;-294.0
3200;-286.0;8.0;-294.0
3300;-286.0;8.0;-294.0
3400;-286.0;8.0;-294.0
3500;-255.5;16.0;-271.5
3600;-220.0;29.0;-249.0
3700;-209.0;40.0;-249.0
3800;-291.0;-42.0;-249.0
3900;-235.0;14.0;-249.0
4000;-203.0;46.0;-249.0
4100;-282.0;-33.0;-249.0
4200;-230.0;19.0;-249.0
4300;-209.0;40.0;-249.0
4400;-230.0;19.0;-249.0
4500;-228.5;-2.0;-226.5
4600;-206.0;-2.0;-204.0
4700;-185.0;19.0;-204.0
4800;-284.0;50.5;-334.5
4900;-193.0;19.0;-212.0
5000;-193.0;19.0;-212.0
5100;-161.5;50.5;-212.0
5200;-161.5;50.5;-212.0
5300;-172.0;40.0;-212.0
5400;-224.5;-12.5;-212.0
5500;-126.5;-12.5;-114.0
5600;-144.0;19.0;-163.0
5700;-144.0;19.0;-163.0
5800;-144.0;19.0;-163.0
5900;-165.0;-2.0;-163.0
6000;-217.5;19.0;-236.5
6100;-228.0;8.5;-236.5
6200;-144.0;19.0;-163.0
6300;-112.5;50.5;-163.0
6400;-217.5;19.0;-236.5
6500;-217.5;19.0;-236.5
6600;-217.5;19.0;-236.5
6700;-84.5;29.5;-114.0
6800;-95.0;19.0;-114.0
6900;-42.5;-2.0;-40.5
7000;-95.0;19.0;-114.0
7100;-84.5;29.5;-114.0
7200;-158.5;-44.5;-114.0
7300;-101.0;13.0;-114.0
7400;-101.0;13.0;-114.0
7500;-76.5;13.0;-89.5
7600;86.0;151.0;-65.0
7700;-52.0;13.0;-65.0
7800;-102.5;36.0;-138.5
7900;-29.0;36.0;-65.0
8000;21.5;13.0;8.5
8100;-6.0;59.0;-65.0
8200;5.5;70.5;-65.0
8300;-29.0;36.0;-65.0
8400;-29.0;36.0;-65.0
8500;-27.5;13.0;-40.5
8600;-3.0;13.0;-16.0
8700;70.5;13.0;57.5
8800;82.0;24.5;57.5
8900;112.0;128.0;-16.0
9000;112.0;128.0;-16.0
9100;-69.0;-53.0;-16.0
9200;112.5;55.0;57.5
9300;12.0;28.0;-16.0
9400;245.0;163.0;82.0
9500;-10.0;55.0;-65.0
9600;130.0;97.0;33.0
9700;119.5;86.5;33.0
9800;130.0;97.0;33.0
9900;-172.0;97.0;-269.0
10000;226.0;153.0;73.0
10100;226.0;153.0;73.0
10200;206.5;133.5;73.0
10300;213.0;140.0;73.0
10400;200.0;127.0;73.0
10500;254.5;153.0;101.5
10600;270.0;140.0;130.0
10700;476.0;140.0;336.0
10800;89.0;153.0;-64.0
10900;89.0;153.0;-64.0
11000;147.5;211.5;-64.0
11100;102.0;166.0;-64.0
11200;-18.0;166.0;-184.0
11300;115.0;179.0;-64.0
11400;275.0;179.0;96.0
11500;155.0;179.0;-24.0
11600;195.0;179.0;16.0
11700;182.0;166.0;16.0
11800;175.5;159.5;16.0
11900;182.0;166.0;16.0
12000;195.0;179.0;16.0
12100;75.0;179.0;-104.0
12200;175.5;159.5;16.0
12300;55.5;159.5;-104.0
