timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;-24.0;-24.0;0.0
500;12.0;12.0;0.0
600;4.0;4.0;0.0
700;16.0;16.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;8.0;8.0;0.0
1100;8.0;8.0;0.0
1200;8.0;8.0;0.0
1300;8.0;8.0;0.0
1400;8.0;8.0;0.0
1500;8.0;8.0;0.0
1600;8.0;8.0;0.0
1700;4.0;4.0;0.0
1800;32.0;32.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;-104.0;-104.0;0.0
2200;-184.0;-184.0;0.0
2300;-296.0;-296.0;0.0
2400;-318.0;-318.0;0.0
2500;-252.0;-252.0;0.0
2600;-186.0;-186.0;0.0
2700;-260.0;-252.0;-8.0
2800;-256.0;-296.0;40.0
2900;-343.0;-274.0;-69.0
3000;-478.5;-252.0;-226.5
3100;-502.0;-208.0;-294.0
3200;-502.0;-208.0;-294.0
3300;-502.0;-208.0;-294.0
3400;-502.0;-208.0;-294.0
3500;-435.5;-164.0;-271.5
3600;-457.0;-208.0;-249.0
3700;-413.0;-164.0;-249.0
3800;-643.5;-394.5;-249.0
3900;-472.0;-223.0;-249.0
4000;-374.0;-125.0;-249.0
4100;-585.0;-336.0;-249.0
4200;-481.0;-232.0;-249.0
4300;-429.0;-180.0;-249.0
4400;-481.0;-232.0;-249.0
4500;-510.5;-284.0;-226.5
4600;-488.0;-284.0;-204.0
4700;-436.0;-232.0;-204.0
4800;-488.5;-154.0;-334.5
4900;-444.0;-232.0;-212.0
5000;-444.0;-232.0;-212.0
5100;-366.0;-154.0;-212.0
5200;-366.0;-154.0;-212.0
5300;-392.0;-180.0;-212.0
5400;-522.0;-310.0;-212.0
5500;-424.0;-310.0;-114.0
5600;-395.0;-232.0;-163.0
5700;-395.0;-232.0;-163.0
5800;-395.0;-232.0;-163.0
5900;-447.0;-284.0;-163.0
6000;-468.5;-232.0;-236.5
6100;-494.5;-258.0;-236.5
6200;-395.0;-232.0;-163.0
6300;-317.0;-154.0;-163.0
6400;-468.5;-232.0;-236.5
6500;-468.5;-232.0;-236.5
6600;-468.5;-232.0;-236.5
6700;-320.0;-206.0;-114.0
6800;-346.0;-232.0;-114.0
6900;-324.5;-284.0;-40.5
7000;-346.0;-232.0;-114.0
7100;-320.0;-206.0;-114.0
7200;-487.0;-373.0;-114.0
7300;-352.0;-238.0;-114.0
7400;-352.0;-238.0;-114.0
7500;-327.5;-238.0;-89.5
7600;21.0;86.0;-65.0
7700;-303.0;-238.0;-65.0
7800;-322.5;-184.0;-138.5
7900;-249.0;-184.0;-65.0
8000;-229.5;-238.0;8.5
8100;-195.0;-130.0;-65.0
8200;-168.0;-103.0;-65.0
8300;-249.0;-184.0;-65.0
8400;-249.0;-184.0;-65.0
8500;-278.5;-238.0;-40.5
8600;-254.0;-238.0;-16.0
8700;-180.5;-238.0;57.5
8800;-153.5;-211.0;57.5
8900;16.0;32.0;-16.0
9000;16.0;32.0;-16.0
9100;-382.0;-366.0;-16.0
9200;-76.5;-134.0;57.5
9300;-208.0;-192.0;-16.0
9400;180.0;98.0;82.0
9500;-199.0;-134.0;-65.0
9600;-101.0;-134.0;33.0
9700;-130.0;-163.0;33.0
9800;-101.0;-134.0;33.0
9900;-403.0;-134.0;-269.0
10000;-61.0;-134.0;73.0
10100;-61.0;-134.0;73.0
10200;-148.0;-221.0;73.0
10300;-119.0;-192.0;73.0
10400;-177.0;-250.0;73.0
10500;-32.5;-134.0;101.5
10600;-62.0;-192.0;130.0
10700;144.0;-192.0;336.0
10800;-198.0;-134.0;-64.0
10900;-198.0;-134.0;-64.0
11000;63.0;127.0;-64.0
11100;-140.0;-76.0;-64.0
11200;-260.0;-76.0;-184.0
11300;-82.0;-18.0;-64.0
11400;78.0;-18.0;96.0
11500;-42.0;-18.0;-24.0
11600;-2.0;-18.0;16.0
