timestamp;buyer;seller;symbol;currency;price;quantity
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
2100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;12
2200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
2300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;14
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12998;8
2900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13010;12
2900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13013;25
3800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
4100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;3
4800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;4
7200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;2
9100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
9900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13005;8
10700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13018;12
10700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13021;11
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;10
16100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;2
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
25100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;8
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
