timestamp;total;EMERALDS;TOMATOES
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;35.0;35.0;0.0
3300;35.0;35.0;0.0
3400;46.0;35.0;11.0
3500;48.0;35.0;13.0
3600;48.0;35.0;13.0
3700;48.0;35.0;13.0
3800;49.0;35.0;14.0
3900;47.0;35.0;12.0
4000;46.0;35.0;11.0
4100;46.0;35.0;11.0
4200;66.0;55.0;11.0
4300;54.0;35.0;19.0
4400;48.0;35.0;13.0
4500;47.0;35.0;12.0
4600;47.0;35.0;12.0
4700;47.0;35.0;12.0
4800;47.0;35.0;12.0
4900;47.0;35.0;12.0
5000;41.0;30.0;11.0
5100;81.0;70.0;11.0
5200;81.0;70.0;11.0
5300;81.0;70.0;11.0
5400;81.0;70.0;11.0
5500;81.0;70.0;11.0
5600;81.0;70.0;11.0
5700;74.0;70.0;4.0
5800;83.0;70.0;13.0
5900;83.0;70.0;13.0
6000;82.0;70.0;12.0
6100;82.0;70.0;12.0
6200;81.0;70.0;11.0
6300;82.0;70.0;12.0
6400;82.0;70.0;12.0
6500;82.0;70.0;12.0
6600;81.0;70.0;11.0
6700;81.0;70.0;11.0
6800;79.0;70.0;9.0
6900;80.0;70.0;10.0
7000;101.0;70.0;31.0
7100;95.0;70.0;25.0
7200;98.0;70.0;28.0
7300;98.0;70.0;28.0
7400;98.0;70.0;28.0
7500;95.0;70.0;25.0
7600;92.0;70.0;22.0
7700;92.0;70.0;22.0
7800;95.0;70.0;25.0
7900;89.0;70.0;19.0
8000;89.0;70.0;19.0
8100;86.0;70.0;16.0
8200;86.0;70.0;16.0
8300;86.0;70.0;16.0
8400;80.0;70.0;10.0
8500;80.0;70.0;10.0
8600;80.0;70.0;10.0
8700;77.0;70.0;7.0
8800;117.0;110.0;7.0
8900;80.0;70.0;10.0
9000;80.0;70.0;10.0
9100;83.0;70.0;13.0
9200;80.0;70.0;10.0
9300;80.0;70.0;10.0
9400;83.0;70.0;13.0
9500;83.0;70.0;13.0
9600;116.0;70.0;46.0
9700;115.5;70.0;45.5
9800;115.5;70.0;45.5
9900;137.5;70.0;67.5
10000;137.5;70.0;67.5
10100;139.0;70.0;69.0
10200;142.0;70.0;72.0
10300;143.5;70.0;73.5
10400;143.5;70.0;73.5
10500;145.0;70.0;75.0
10600;134.5;70.0;64.5
10700;143.5;70.0;73.5
10800;140.5;70.0;70.5
10900;137.5;70.0;67.5
11000;136.0;70.0;66.0
11100;134.5;70.0;64.5
11200;136.0;70.0;66.0
11300;134.5;70.0;64.5
11400;134.5;70.0;64.5
11500;134.5;70.0;64.5
11600;134.5;70.0;64.5
11700;134.5;70.0;64.5
11800;125.5;70.0;55.5
11900;136.0;70.0;66.0
12000;133.0;70.0;63.0
12100;134.5;70.0;64.5
12200;137.5;70.0;67.5
12300;139.0;70.0;69.0
12400;140.5;70.0;70.5
12500;139.0;70.0;69.0
12600;137.5;70.0;67.5
12700;134.5;70.0;64.5
12800;134.5;70.0;64.5
12900;133.0;70.0;63.0
13000;133.0;70.0;63.0
13100;130.0;70.0;60.0
13200;131.5;70.0;61.5
13300;91.5;30.0;61.5
13400;133.0;70.0;63.0
13500;134.5;70.0;64.5
