timestamp;buyer;seller;symbol;currency;price;quantity
900;;SUBMISSION;TOMATOES;SEASHELLS;5007;2
1700;;SUBMISSION;TOMATOES;SEASHELLS;5005;3
3300;SUBMISSION;;TOMATOES;SEASHELLS;4993;11
4000;;SUBMISSION;EMERALDS;SEASHELLS;10007;7
4100;;SUBMISSION;TOMATOES;SEASHELLS;5001;3
5200;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
6700;SUBMISSION;;TOMATOES;SEASHELLS;4989;5
6800;SUBMISSION;;TOMATOES;SEASHELLS;4992;11
7100;;SUBMISSION;TOMATOES;SEASHELLS;4999;3
8200;;SUBMISSION;TOMATOES;SEASHELLS;4994;5
10500;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
11200;SUBMISSION;;TOMATOES;SEASHELLS;4986;4
11300;SUBMISSION;;EMERALDS;SEASHELLS;9993;3
12700;;SUBMISSION;TOMATOES;SEASHELLS;4998;2
13600;SUBMISSION;;TOMATOES;SEASHELLS;4992;2
14100;;SUBMISSION;TOMATOES;SEASHELLS;4997;2
14600;;SUBMISSION;TOMATOES;SEASHELLS;4991;5
16400;SUBMISSION;;TOMATOES;SEASHELLS;4992;6
17100;SUBMISSION;;TOMATOES;SEASHELLS;4987;4
17800;SUBMISSION;;TOMATOES;SEASHELLS;4987;5
18000;SUBMISSION;;TOMATOES;SEASHELLS;4991;3
22300;SUBMISSION;;TOMATOES;SEASHELLS;4993;9
22400;SUBMISSION;;TOMATOES;SEASHELLS;4993;11
24000;;SUBMISSION;TOMATOES;SEASHELLS;5000;5
26800;SUBMISSION;;TOMATOES;SEASHELLS;4994;12
27300;SUBMISSION;;TOMATOES;SEASHELLS;4989;5
28100;SUBMISSION;;TOMATOES;SEASHELLS;4994;5
28700;;SUBMISSION;TOMATOES;SEASHELLS;4995;12
30500;SUBMISSION;;TOMATOES;SEASHELLS;4996;8
30900;SUBMISSION;;TOMATOES;SEASHELLS;4997;11
32700;;SUBMISSION;TOMATOES;SEASHELLS;5003;3
35500;SUBMISSION;;TOMATOES;SEASHELLS;4998;6
35600;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
38300;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
38800;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
39000;;SUBMISSION;TOMATOES;SEASHELLS;5004;5
41700;SUBMISSION;;TOMATOES;SEASHELLS;4990;2
42100;;SUBMISSION;EMERALDS;SEASHELLS;10007;8
43200;SUBMISSION;;TOMATOES;SEASHELLS;4992;3
45700;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
47000;;SUBMISSION;EMERALDS;SEASHELLS;10007;4
51500;SUBMISSION;;TOMATOES;SEASHELLS;4999;2
53500;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
53800;SUBMISSION;;TOMATOES;SEASHELLS;5001;5
62900;;SUBMISSION;EMERALDS;SEASHELLS;10007;5
65000;;SUBMISSION;TOMATOES;SEASHELLS;5016;5
65500;SUBMISSION;;EMERALDS;SEASHELLS;9993;5
67000;;SUBMISSION;TOMATOES;SEASHELLS;5019;5
68300;;SUBMISSION;TOMATOES;SEASHELLS;5020;2
68700;;SUBMISSION;TOMATOES;SEASHELLS;5019;4
69000;SUBMISSION;;TOMATOES;SEASHELLS;5006;5
70000;;SUBMISSION;TOMATOES;SEASHELLS;5013;10
71500;SUBMISSION;;TOMATOES;SEASHELLS;5013;5
73400;;SUBMISSION;TOMATOES;SEASHELLS;5021;5
77400;SUBMISSION;;TOMATOES;SEASHELLS;5016;6
82100;;SUBMISSION;TOMATOES;SEASHELLS;5017;10
84300;SUBMISSION;;EMERALDS;SEASHELLS;9993;8
88800;SUBMISSION;;TOMATOES;SEASHELLS;5019;4
91000;;SUBMISSION;EMERALDS;SEASHELLS;10007;3
91700;SUBMISSION;;TOMATOES;SEASHELLS;5017;12
92800;SUBMISSION;;EMERALDS;SEASHELLS;9993;6
93000;SUBMISSION;;TOMATOES;SEASHELLS;5012;5
93100;;SUBMISSION;TOMATOES;SEASHELLS;5018;6
93300;SUBMISSION;;TOMATOES;SEASHELLS;5011;3
