timestamp;buyer;seller;symbol;currency;price;quantity
3300;SUBMISSION;;TOMATOES;SEASHELLS;4993;11
6800;SUBMISSION;;TOMATOES;SEASHELLS;4992;11
8200;;SUBMISSION;TOMATOES;SEASHELLS;4994;5
14600;;SUBMISSION;TOMATOES;SEASHELLS;4991;5
16400;SUBMISSION;;TOMATOES;SEASHELLS;4992;6
22300;SUBMISSION;;TOMATOES;SEASHELLS;4993;9
22400;SUBMISSION;;TOMATOES;SEASHELLS;4993;11
26800;SUBMISSION;;TOMATOES;SEASHELLS;4994;12
28700;;SUBMISSION;TOMATOES;SEASHELLS;4995;12
30500;SUBMISSION;;TOMATOES;SEASHELLS;4996;8
30900;SUBMISSION;;TOMATOES;SEASHELLS;4997;11
35500;SUBMISSION;;TOMATOES;SEASHELLS;4998;3
70000;;SUBMISSION;TOMATOES;SEASHELLS;5013;10
71500;SUBMISSION;;TOMATOES;SEASHELLS;5013;5
82100;;SUBMISSION;TOMATOES;SEASHELLS;5017;10
91700;SUBMISSION;;TOMATOES;SEASHELLS;5017;12
93100;;SUBMISSION;TOMATOES;SEASHELLS;5018;6
102000;;SUBMISSION;TOMATOES;SEASHELLS;5019;8
103200;SUBMISSION;;TOMATOES;SEASHELLS;5018;10
116300;;SUBMISSION;TOMATOES;SEASHELLS;5018;6
117800;SUBMISSION;;TOMATOES;SEASHELLS;5018;4
119000;SUBMISSION;;TOMATOES;SEASHELLS;5016;7
121200;SUBMISSION;;TOMATOES;SEASHELLS;5016;2
140800;;SUBMISSION;TOMATOES;SEASHELLS;5006;8
140900;SUBMISSION;;TOMATOES;SEASHELLS;5003;8
151300;;SUBMISSION;TOMATOES;SEASHELLS;5001;10
153600;;SUBMISSION;TOMATOES;SEASHELLS;5003;9
155800;;SUBMISSION;TOMATOES;SEASHELLS;5001;11
169600;SUBMISSION;;TOMATOES;SEASHELLS;4998;7
172900;;SUBMISSION;TOMATOES;SEASHELLS;5000;11
174000;;SUBMISSION;TOMATOES;SEASHELLS;4999;9
176700;SUBMISSION;;TOMATOES;SEASHELLS;4992;10
179200;;SUBMISSION;TOMATOES;SEASHELLS;4994;6
180100;;SUBMISSION;TOMATOES;SEASHELLS;4995;12
181700;SUBMISSION;;TOMATOES;SEASHELLS;4991;8
182700;SUBMISSION;;TOMATOES;SEASHELLS;4993;8
184800;SUBMISSION;;TOMATOES;SEASHELLS;4991;7
192700;SUBMISSION;;TOMATOES;SEASHELLS;4997;10
195400;;SUBMISSION;TOMATOES;SEASHELLS;4998;9
198300;;SUBMISSION;TOMATOES;SEASHELLS;5000;12
208700;;SUBMISSION;TOMATOES;SEASHELLS;5004;8
212200;SUBMISSION;;TOMATOES;SEASHELLS;5001;9
216500;SUBMISSION;;TOMATOES;SEASHELLS;4996;6
220100;SUBMISSION;;TOMATOES;SEASHELLS;4996;8
222000;SUBMISSION;;TOMATOES;SEASHELLS;4998;9
238000;SUBMISSION;;TOMATOES;SEASHELLS;4996;8
250400;SUBMISSION;;TOMATOES;SEASHELLS;4996;7
259300;;SUBMISSION;TOMATOES;SEASHELLS;4995;10
262600;SUBMISSION;;TOMATOES;SEASHELLS;4994;6
267300;;SUBMISSION;TOMATOES;SEASHELLS;4997;7
270900;;SUBMISSION;TOMATOES;SEASHELLS;5000;10
277500;;SUBMISSION;TOMATOES;SEASHELLS;5007;5
280200;;SUBMISSION;TOMATOES;SEASHELLS;5010;9
290100;SUBMISSION;;TOMATOES;SEASHELLS;5001;12
290500;SUBMISSION;;TOMATOES;SEASHELLS;5001;11
291900;SUBMISSION;;TOMATOES;SEASHELLS;5003;5
295200;SUBMISSION;;TOMATOES;SEASHELLS;5002;5
301600;;SUBMISSION;TOMATOES;SEASHELLS;5002;6
305800;SUBMISSION;;TOMATOES;SEASHELLS;5002;8
312900;;SUBMISSION;TOMATOES;SEASHELLS;5003;11
314100;;SUBMISSION;TOMATOES;SEASHELLS;5002;9
316600;;SUBMISSION;TOMATOES;SEASHELLS;5004;9
320700;;SUBMISSION;TOMATOES;SEASHELLS;5006;9
321400;SUBMISSION;;TOMATOES;SEASHELLS;5006;9
326100;SUBMISSION;;TOMATOES;SEASHELLS;5005;9
326500;SUBMISSION;;TOMATOES;SEASHELLS;5005;7
334000;SUBMISSION;;TOMATOES;SEASHELLS;5014;10
337000;;SUBMISSION;TOMATOES;SEASHELLS;5017;9
355700;;SUBMISSION;TOMATOES;SEASHELLS;5018;8
359100;;SUBMISSION;TOMATOES;SEASHELLS;5017;12
361000;SUBMISSION;;TOMATOES;SEASHELLS;5016;6
372300;SUBMISSION;;TOMATOES;SEASHELLS;5013;6
375700;;SUBMISSION;TOMATOES;SEASHELLS;5013;5
382700;;SUBMISSION;TOMATOES;SEASHELLS;5018;8
386100;;SUBMISSION;TOMATOES;SEASHELLS;5015;6
387000;;SUBMISSION;TOMATOES;SEASHELLS;5015;8
389900;SUBMISSION;;TOMATOES;SEASHELLS;5012;9
397600;SUBMISSION;;TOMATOES;SEASHELLS;5004;12
398100;;SUBMISSION;TOMATOES;SEASHELLS;5008;9
398200;;SUBMISSION;TOMATOES;SEASHELLS;5007;6
398700;;SUBMISSION;TOMATOES;SEASHELLS;5007;10
403300;SUBMISSION;;TOMATOES;SEASHELLS;5002;6
405200;SUBMISSION;;TOMATOES;SEASHELLS;5006;11
407600;;SUBMISSION;TOMATOES;SEASHELLS;5010;12
