timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;-60.5;0.0;-60.5
200;-49.5;0.0;-49.5
300;0.0;0.0;0.0
400;-77.0;0.0;-77.0
500;-126.5;0.0;-126.5
600;-92.0;0.0;-92.0
700;-192.5;0.0;-192.5
800;-227.5;0.0;-227.5
900;-273.0;-20.0;-253.0
1000;-301.5;12.0;-313.5
1100;-147.0;24.0;-171.0
1200;-254.0;88.0;-342.0
1300;-270.0;36.0;-306.0
1400;-337.0;24.0;-361.0
1500;-351.0;32.0;-383.0
1600;-495.0;-32.0;-463.0
1700;-331.0;52.0;-383.0
1800;-351.0;32.0;-383.0
1900;-231.0;32.0;-263.0
2000;-403.0;20.0;-423.0
2100;-191.0;32.0;-223.0
2200;-391.0;32.0;-423.0
2300;-363.0;60.0;-423.0
2400;-275.0;28.0;-303.0
2500;-275.0;28.0;-303.0
2600;-343.0;40.0;-383.0
2700;-135.0;48.0;-183.0
2800;-263.0;40.0;-303.0
2900;-263.0;40.0;-303.0
3000;-231.0;32.0;-263.0
3100;-95.0;48.0;-143.0
3200;-207.0;56.0;-263.0
3300;-175.0;48.0;-223.0
3400;-175.0;48.0;-223.0
3500;-67.0;36.0;-103.0
3600;-175.0;48.0;-223.0
3700;-191.0;32.0;-223.0
3800;-63.0;40.0;-103.0
3900;-183.0;40.0;-223.0
4000;225.0;48.0;177.0
4100;-539.0;44.0;-583.0
4200;-131.0;52.0;-183.0
4300;361.0;64.0;297.0
4400;-199.0;64.0;-263.0
4500;-87.0;56.0;-143.0
4600;-75.0;68.0;-143.0
4700;97.0;120.0;-23.0
4800;-119.0;24.0;-143.0
4900;-167.0;56.0;-223.0
5000;-47.0;56.0;-103.0
5100;-167.0;56.0;-223.0
5200;-379.0;44.0;-423.0
5300;9.0;72.0;-63.0
5400;-19.0;44.0;-63.0
5500;-135.0;48.0;-183.0
5600;-79.0;-16.0;-63.0
5700;-15.0;48.0;-63.0
5800;-435.0;68.0;-503.0
5900;-3.0;60.0;-63.0
6000;-79.0;24.0;-103.0
6100;73.0;56.0;17.0
6200;73.0;56.0;17.0
6300;65.0;48.0;17.0
6400;65.0;48.0;17.0
6500;-23.0;-40.0;17.0
6600;-15.0;48.0;-63.0
6700;505.0;48.0;457.0
6800;65.0;48.0;17.0
6900;69.0;52.0;17.0
7000;97.0;40.0;57.0
7100;137.0;40.0;97.0
7200;133.0;36.0;97.0
7300;145.0;48.0;97.0
7400;225.0;48.0;177.0
7500;593.0;56.0;537.0
7600;161.0;64.0;97.0
7700;141.0;44.0;97.0
7800;181.0;84.0;97.0
7900;145.0;48.0;97.0
8000;688.0;71.0;617.0
8100;119.0;62.0;57.0
8200;238.0;61.0;177.0
8300;241.0;64.0;177.0
8400;239.0;62.0;177.0
8500;239.0;62.0;177.0
8600;357.0;60.0;297.0
8700;239.0;62.0;177.0
8800;239.0;62.0;177.0
8900;245.0;68.0;177.0
9000;-199.0;64.0;-263.0
9100;322.0;65.0;257.0
9200;401.0;64.0;337.0
9300;321.0;64.0;257.0
9400;-120.0;63.0;-183.0
9500;203.0;66.0;137.0
9600;243.0;66.0;177.0
9700;325.0;68.0;257.0
9800;325.0;68.0;257.0
9900;765.0;68.0;697.0
10000;362.0;65.0;297.0
10100;405.0;68.0;337.0
10200;405.0;68.0;337.0
10300;487.0;70.0;417.0
10400;508.0;51.0;457.0
10500;714.0;57.0;657.0
10600;392.5;55.5;337.0
10700;403.0;66.0;337.0
10800;520.0;63.0;457.0
10900;514.0;57.0;457.0
11000;437.0;60.0;377.0
11100;477.0;60.0;417.0
11200;477.0;60.0;417.0
11300;120.0;63.0;57.0
11400;560.0;63.0;497.0
11500;474.0;57.0;417.0
11600;469.5;52.5;417.0
11700;456.0;39.0;417.0
11800;480.0;63.0;417.0
11900;600.0;63.0;537.0
12000;524.5;67.5;457.0
12100;558.5;61.5;497.0
12200;560.0;63.0;497.0
12300;560.0;63.0;497.0
12400;431.0;54.0;377.0
12500;995.5;58.5;937.0
12600;555.5;58.5;497.0
12700;1000.0;63.0;937.0
12800;557.0;60.0;497.0
12900;501.0;84.0;417.0
13000;597.0;60.0;537.0
13100;629.5;52.5;577.0
13200;720.0;63.0;657.0
13300;637.0;60.0;577.0
13400;520.0;63.0;457.0
13500;637.0;60.0;577.0
13600;637.0;60.0;577.0
13700;637.0;60.0;577.0
13800;641.5;64.5;577.0
13900;557.0;60.0;497.0
14000;757.0;60.0;697.0
14100;711.0;54.0;657.0
14200;717.0;60.0;657.0
14300;717.0;60.0;657.0
14400;677.0;60.0;617.0
14500;813.0;36.0;777.0
14600;714.0;57.0;657.0
14700;304.0;87.0;217.0
14800;720.0;63.0;657.0
14900;844.5;67.5;777.0
15000;760.0;63.0;697.0
15100;800.0;63.0;737.0
15200;803.0;66.0;737.0
15300;367.5;70.5;297.0
15400;803.0;66.0;737.0
15500;803.0;66.0;737.0
15600;806.0;69.0;737.0
15700;806.0;69.0;737.0
15800;806.0;69.0;737.0
15900;810.5;73.5;737.0
16000;760.0;63.0;697.0
16100;886.0;69.0;817.0
16200;766.0;69.0;697.0
16300;886.0;69.0;817.0
16400;769.0;72.0;697.0
16500;886.0;69.0;817.0
16600;884.5;67.5;817.0
16700;1323.0;66.0;1257.0
16800;883.0;66.0;817.0
16900;887.5;70.5;817.0
17000;929.0;72.0;857.0
17100;966.0;69.0;897.0
17200;961.5;64.5;897.0
17300;961.5;64.5;897.0
17400;966.0;69.0;897.0
17500;1086.0;69.0;1017.0
17600;942.0;45.0;897.0
17700;1401.5;64.5;1337.0
17800;966.0;69.0;897.0
17900;942.0;45.0;897.0
18000;1086.0;69.0;1017.0
18100;1070.0;93.0;977.0
18200;923.0;66.0;857.0
18300;1038.5;61.5;977.0
18400;1038.5;61.5;977.0
18500;1043.0;66.0;977.0
18600;1043.0;66.0;977.0
18700;1043.0;66.0;977.0
18800;1040.0;63.0;977.0
18900;963.0;66.0;897.0
19000;1083.0;66.0;1017.0
19100;1179.0;42.0;1137.0
19200;1123.0;66.0;1057.0
19300;1123.0;66.0;1057.0
19400;1200.0;63.0;1137.0
19500;1096.0;39.0;1057.0
19600;1124.5;67.5;1057.0
19700;1123.0;66.0;1057.0
19800;1246.0;69.0;1177.0
19900;1124.5;67.5;1057.0
20000;1172.0;75.0;1097.0
20100;1206.0;69.0;1137.0
20200;1206.0;69.0;1137.0
20300;1646.0;69.0;1577.0
20400;763.0;66.0;697.0
20500;1206.0;69.0;1137.0
20600;1206.0;69.0;1137.0
20700;1326.0;69.0;1257.0
20800;1126.0;69.0;1057.0
20900;1206.0;69.0;1137.0
21000;1326.0;69.0;1257.0
21100;1283.0;66.0;1217.0
21200;1286.0;69.0;1217.0
21300;1720.0;63.0;1657.0
21400;1298.0;81.0;1217.0
21500;1283.0;66.0;1217.0
21600;1287.5;70.5;1217.0
21700;1427.0;90.0;1337.0
21800;1119.5;62.5;1057.0
21900;1427.0;90.0;1337.0
22000;1342.0;85.0;1257.0
22100;1382.0;85.0;1297.0
22200;1382.0;85.0;1297.0
22300;1374.5;77.5;1297.0
22400;1457.0;80.0;1377.0
22500;1387.0;90.0;1297.0
22600;1027.0;90.0;937.0
22700;1427.0;90.0;1337.0
22800;1782.0;45.0;1737.0
22900;1302.0;85.0;1217.0
23000;1517.0;100.0;1417.0
23100;1287.0;30.0;1257.0
23200;1462.0;85.0;1377.0
23300;1422.0;45.0;1377.0
23400;1542.0;85.0;1457.0
23500;1462.0;85.0;1377.0
23600;1454.5;77.5;1377.0
23700;1577.0;80.0;1497.0
23800;1411.0;34.0;1377.0
23900;1031.0;94.0;937.0
24000;871.0;94.0;777.0
24100;1631.0;94.0;1537.0
24200;1533.0;76.0;1457.0
24300;1551.0;94.0;1457.0
24400;1539.0;82.0;1457.0
24500;1539.0;82.0;1457.0
24600;1539.0;82.0;1457.0
24700;1111.0;94.0;1017.0
24800;1551.0;94.0;1457.0
24900;1511.0;134.0;1377.0
25000;1755.0;98.0;1657.0
25100;1643.0;106.0;1537.0
25200;1635.0;98.0;1537.0
25300;1639.0;102.0;1537.0
25400;2067.0;90.0;1977.0
25500;1627.0;90.0;1537.0
25600;1635.0;98.0;1537.0
25700;1635.0;98.0;1537.0
25800;1555.0;98.0;1457.0
25900;1635.0;98.0;1537.0
