timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;0.0;0.0;0.0
3300;0.0;0.0;0.0
3400;0.0;0.0;0.0
3500;0.0;0.0;0.0
3600;0.0;0.0;0.0
3700;0.0;0.0;0.0
3800;-27.0;0.0;-27.0
3900;-15.0;0.0;-15.0
4000;-12.0;0.0;-12.0
4100;-48.0;0.0;-48.0
4200;-9.0;0.0;-9.0
4300;30.0;0.0;30.0
4400;-18.0;0.0;-18.0
4500;-9.0;0.0;-9.0
4600;-9.0;0.0;-9.0
4700;0.0;0.0;0.0
4800;-9.0;0.0;-9.0
4900;0.0;0.0;0.0
5000;-15.0;0.0;-15.0
5100;-3.0;0.0;-3.0
5200;-39.0;0.0;-39.0
5300;10.5;0.0;10.5
5400;24.0;0.0;24.0
5500;10.5;0.0;10.5
5600;-3.0;0.0;-3.0
5700;10.5;0.0;10.5
5800;10.5;0.0;10.5
5900;10.5;0.0;10.5
6000;-63.0;0.0;-63.0
6100;33.0;0.0;33.0
6200;9.0;0.0;9.0
6300;9.0;0.0;9.0
6400;33.0;0.0;33.0
6500;9.0;0.0;9.0
6600;-143.0;0.0;-143.0
6700;33.0;0.0;33.0
6800;9.0;0.0;9.0
6900;9.0;0.0;9.0
7000;17.0;0.0;17.0
7100;25.0;0.0;25.0
7200;25.0;0.0;25.0
7300;25.0;0.0;25.0
7400;25.0;0.0;25.0
7500;49.0;0.0;49.0
7600;25.0;0.0;25.0
7700;1.0;0.0;1.0
7800;7.5;-17.5;25.0
7900;53.0;28.0;25.0
8000;85.0;28.0;57.0
8100;69.0;28.0;41.0
8200;69.0;28.0;41.0
8300;45.0;28.0;17.0
8400;45.0;28.0;17.0
8500;69.0;28.0;41.0
8600;69.0;28.0;41.0
8700;-35.0;28.0;-63.0
8800;69.0;28.0;41.0
8900;93.0;28.0;65.0
9000;77.0;28.0;49.0
9100;85.0;28.0;57.0
9200;85.0;28.0;57.0
9300;-9.0;28.0;-37.0
9400;112.0;28.0;84.0
9500;112.0;28.0;84.0
9600;112.0;28.0;84.0
9700;112.0;28.0;84.0
9800;112.0;28.0;84.0
9900;112.0;28.0;84.0
10000;123.0;28.0;95.0
10100;134.0;28.0;106.0
10200;101.0;28.0;73.0
10300;134.0;28.0;106.0
10400;101.0;28.0;73.0
10500;134.0;28.0;106.0
10600;134.0;28.0;106.0
10700;134.0;28.0;106.0
10800;167.0;28.0;139.0
10900;134.0;28.0;106.0
11000;145.0;28.0;117.0
11100;156.0;28.0;128.0
11200;156.0;28.0;128.0
11300;156.0;28.0;128.0
11400;156.0;28.0;128.0
11500;65.0;28.0;37.0
11600;142.5;28.0;114.5
11700;-59.0;28.0;-87.0
11800;142.5;28.0;114.5
11900;209.0;28.0;181.0
12000;-52.0;28.0;-80.0
12100;-23.0;28.0;-51.0
12200;-23.0;28.0;-51.0
12300;-110.0;28.0;-138.0
12400;-23.0;28.0;-51.0
12500;-23.0;28.0;-51.0
12600;-23.0;28.0;-51.0
12700;64.0;28.0;36.0
12800;-23.0;28.0;-51.0
12900;-23.0;28.0;-51.0
13000;6.0;28.0;-22.0
