timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-220.0;0.0;-220.0
100;-348.5;0.0;-348.5
200;-425.5;0.0;-425.5
300;-97.0;0.0;-97.0
400;-657.0;0.0;-657.0
500;-537.0;0.0;-537.0
600;-417.0;0.0;-417.0
700;-537.0;0.0;-537.0
800;-617.0;0.0;-617.0
900;-557.0;-20.0;-537.0
1000;-525.0;12.0;-537.0
1100;-313.0;24.0;-337.0
1200;-489.0;88.0;-577.0
1300;-421.0;36.0;-457.0
1400;-433.0;24.0;-457.0
1500;-425.0;32.0;-457.0
1600;-569.0;-32.0;-537.0
1700;-405.0;52.0;-457.0
1800;-425.0;32.0;-457.0
1900;-305.0;32.0;-337.0
2000;-477.0;20.0;-497.0
2100;-265.0;32.0;-297.0
2200;-465.0;32.0;-497.0
2300;-437.0;60.0;-497.0
2400;-349.0;28.0;-377.0
2500;-349.0;28.0;-377.0
2600;-417.0;40.0;-457.0
2700;-209.0;48.0;-257.0
2800;-337.0;40.0;-377.0
2900;-337.0;40.0;-377.0
3000;-305.0;32.0;-337.0
3100;-169.0;48.0;-217.0
3200;-281.0;56.0;-337.0
3300;-249.0;48.0;-297.0
3400;-249.0;48.0;-297.0
3500;-141.0;36.0;-177.0
3600;-249.0;48.0;-297.0
3700;-265.0;32.0;-297.0
3800;-137.0;40.0;-177.0
3900;-257.0;40.0;-297.0
4000;151.0;48.0;103.0
4100;-613.0;44.0;-657.0
4200;-205.0;52.0;-257.0
4300;287.0;64.0;223.0
4400;-273.0;64.0;-337.0
4500;-161.0;56.0;-217.0
4600;-149.0;68.0;-217.0
4700;23.0;120.0;-97.0
4800;-193.0;24.0;-217.0
4900;-241.0;56.0;-297.0
5000;-121.0;56.0;-177.0
5100;-241.0;56.0;-297.0
5200;-453.0;44.0;-497.0
5300;-85.0;52.0;-137.0
5400;-99.0;38.0;-137.0
5500;-217.0;40.0;-257.0
5600;-129.0;8.0;-137.0
5700;-97.0;40.0;-137.0
5800;-527.0;50.0;-577.0
5900;-91.0;46.0;-137.0
6000;-149.0;28.0;-177.0
6100;-13.0;44.0;-57.0
6200;-13.0;44.0;-57.0
6300;-17.0;40.0;-57.0
6400;-17.0;40.0;-57.0
6500;-61.0;-4.0;-57.0
6600;-97.0;40.0;-137.0
6700;423.0;40.0;383.0
6800;-17.0;40.0;-57.0
6900;-15.0;42.0;-57.0
7000;19.0;36.0;-17.0
7100;59.0;36.0;23.0
7200;57.0;34.0;23.0
7300;63.0;40.0;23.0
7400;143.0;40.0;103.0
7500;507.0;44.0;463.0
7600;71.0;48.0;23.0
7700;61.0;38.0;23.0
7800;55.0;32.0;23.0
7900;55.0;32.0;23.0
8000;554.0;11.0;543.0
8100;21.0;38.0;-17.0
8200;144.0;41.0;103.0
8300;135.0;32.0;103.0
8400;141.0;38.0;103.0
8500;141.0;38.0;103.0
8600;267.0;44.0;223.0
8700;141.0;38.0;103.0
8800;141.0;38.0;103.0
8900;113.0;10.0;103.0
9000;-311.0;26.0;-337.0
9100;205.0;22.0;183.0
9200;289.0;26.0;263.0
9300;209.0;26.0;183.0
9400;-227.0;30.0;-257.0
9500;81.0;18.0;63.0
9600;121.0;18.0;103.0
9700;193.0;10.0;183.0
9800;193.0;10.0;183.0
9900;633.0;10.0;623.0
10000;245.0;22.0;223.0
10100;273.0;10.0;263.0
10200;273.0;10.0;263.0
10300;345.0;2.0;343.0
10400;336.0;-47.0;383.0
10500;482.0;-101.0;583.0
10600;150.5;-112.5;263.0
10700;231.0;-32.0;263.0
10800;328.0;-55.0;383.0
10900;282.0;-101.0;383.0
11000;225.0;-78.0;303.0
11100;265.0;-78.0;343.0
11200;265.0;-78.0;343.0
11300;-72.0;-55.0;-17.0
11400;368.0;-55.0;423.0
11500;242.0;-101.0;343.0
11600;180.0;-163.0;343.0
11700;54.0;-289.0;343.0
11800;278.0;-65.0;343.0
11900;398.0;-65.0;463.0
12000;360.0;-23.0;383.0
12100;344.0;-79.0;423.0
12200;358.0;-65.0;423.0
12300;358.0;-65.0;423.0
12400;144.0;-159.0;303.0
12500;749.0;-114.0;863.0
12600;309.0;-114.0;423.0
12700;794.0;-69.0;863.0
12800;324.0;-99.0;423.0
12900;484.0;141.0;343.0
13000;364.0;-99.0;463.0
13100;318.0;-185.0;503.0
13200;510.0;-73.0;583.0
13300;398.0;-105.0;503.0
13400;310.0;-73.0;383.0
13500;398.0;-105.0;503.0
13600;398.0;-105.0;503.0
13700;398.0;-105.0;503.0
13800;446.0;-57.0;503.0
13900;318.0;-105.0;423.0
14000;518.0;-105.0;623.0
14100;306.0;-277.0;583.0
14200;394.0;-189.0;583.0
14300;394.0;-189.0;583.0
14400;354.0;-189.0;543.0
14500;162.0;-541.0;703.0
14600;350.0;-233.0;583.0
14700;350.0;207.0;143.0
14800;438.0;-145.0;583.0
14900;624.0;-79.0;703.0
15000;478.0;-145.0;623.0
15100;518.0;-145.0;663.0
15200;562.0;-101.0;663.0
15300;188.0;-35.0;223.0
15400;562.0;-101.0;663.0
15500;562.0;-101.0;663.0
15600;606.0;-57.0;663.0
15700;606.0;-57.0;663.0
15800;606.0;-57.0;663.0
15900;672.0;9.0;663.0
16000;478.0;-145.0;623.0
16100;686.0;-57.0;743.0
16200;566.0;-57.0;623.0
16300;686.0;-57.0;743.0
16400;610.0;-13.0;623.0
16500;686.0;-57.0;743.0
16600;664.0;-79.0;743.0
16700;1082.0;-101.0;1183.0
16800;642.0;-101.0;743.0
16900;708.0;-35.0;743.0
17000;770.0;-13.0;783.0
17100;766.0;-57.0;823.0
17200;700.0;-123.0;823.0
17300;700.0;-123.0;823.0
17400;766.0;-57.0;823.0
17500;886.0;-57.0;943.0
17600;414.0;-409.0;823.0
17700;1140.0;-123.0;1263.0
17800;766.0;-57.0;823.0
17900;414.0;-409.0;823.0
18000;886.0;-57.0;943.0
18100;1198.0;295.0;903.0
18200;682.0;-101.0;783.0
18300;736.0;-167.0;903.0
18400;736.0;-167.0;903.0
18500;802.0;-101.0;903.0
18600;802.0;-101.0;903.0
18700;802.0;-101.0;903.0
18800;758.0;-145.0;903.0
