timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;-223.0;0.0;-223.0
1400;-334.0;0.0;-334.0
1500;-297.0;0.0;-297.0
1600;-223.0;0.0;-223.0
1700;-482.0;0.0;-482.0
1800;-260.0;0.0;-260.0
1900;-260.0;0.0;-260.0
2000;-260.0;0.0;-260.0
2100;-482.0;0.0;-482.0
2200;-260.0;0.0;-260.0
2300;-260.0;0.0;-260.0
2400;-260.0;0.0;-260.0
2500;-482.0;0.0;-482.0
2600;-223.0;0.0;-223.0
2700;-223.0;0.0;-223.0
2800;-278.5;0.0;-278.5
2900;-223.0;0.0;-223.0
3000;-416.0;0.0;-416.0
3100;79.0;0.0;79.0
3200;-123.5;0.0;-123.5
3300;79.0;0.0;79.0
3400;-191.0;0.0;-191.0
3500;-168.5;0.0;-168.5
3600;-146.0;0.0;-146.0
3700;-146.0;0.0;-146.0
3800;-213.5;0.0;-213.5
3900;-146.0;0.0;-146.0
4000;-146.0;0.0;-146.0
4100;124.0;0.0;124.0
4200;-213.5;0.0;-213.5
4300;-146.0;0.0;-146.0
4400;-146.0;0.0;-146.0
4500;-123.5;0.0;-123.5
4600;-101.0;0.0;-101.0
4700;-123.5;0.0;-123.5
4800;-333.0;0.0;-333.0
4900;-73.0;0.0;-73.0
5000;-73.0;0.0;-73.0
5100;-73.0;0.0;-73.0
5200;-73.0;0.0;-73.0
5300;-73.0;0.0;-73.0
5400;-47.0;0.0;-47.0
5500;5.0;0.0;5.0
5600;-99.0;0.0;-99.0
5700;-21.0;0.0;-21.0
5800;-21.0;0.0;-21.0
5900;-21.0;0.0;-21.0
6000;-99.0;0.0;-99.0
6100;-45.0;-24.0;-21.0
6200;-29.0;-8.0;-21.0
6300;-5.0;16.0;-21.0
6400;-33.0;40.0;-73.0
6500;25.0;20.0;5.0
6600;107.0;24.0;83.0
6700;-257.0;24.0;-281.0
6800;55.0;24.0;31.0
6900;55.0;24.0;31.0
7000;43.0;12.0;31.0
7100;43.0;12.0;31.0
7200;63.0;32.0;31.0
7300;55.0;24.0;31.0
7400;63.0;32.0;31.0
7500;-265.0;16.0;-281.0
7600;107.0;24.0;83.0
7700;115.0;32.0;83.0
7800;107.0;24.0;83.0
7900;103.0;20.0;83.0
8000;21.0;16.0;5.0
8100;99.0;16.0;83.0
8200;118.0;35.0;83.0
8300;114.0;31.0;83.0
8400;114.0;31.0;83.0
8500;-126.0;31.0;-157.0
8600;183.0;32.0;151.0
8700;98.0;31.0;67.0
8800;181.5;30.5;151.0
8900;98.0;31.0;67.0
9000;267.0;32.0;235.0
9100;183.0;32.0;151.0
9200;175.0;24.0;151.0
9300;183.0;32.0;151.0
9400;267.0;32.0;235.0
9500;208.0;29.0;179.0
9600;296.0;33.0;263.0
9700;240.0;33.0;207.0
9800;239.0;32.0;207.0
9900;-264.0;33.0;-297.0
10000;240.5;33.5;207.0
10100;239.0;32.0;207.0
10200;239.0;32.0;207.0
10300;239.0;32.0;207.0
10400;238.5;31.5;207.0
10500;-22.0;32.0;-54.0
10600;320.0;33.0;287.0
10700;289.0;33.0;256.0
10800;318.0;31.0;287.0
10900;318.0;31.0;287.0
11000;226.0;32.0;194.0
11100;320.5;33.5;287.0
11200;413.0;33.0;380.0
11300;320.0;33.0;287.0
11400;321.0;34.0;287.0
11500;351.0;33.0;318.0
11600;445.0;34.0;411.0
11700;754.0;33.0;721.0
11800;-189.0;20.0;-209.0
11900;394.0;45.0;349.0
12000;394.0;45.0;349.0
12100;492.0;50.0;442.0
12200;447.0;5.0;442.0
12300;381.5;32.5;349.0
12400;399.0;50.0;349.0
12500;465.0;85.0;380.0
12600;456.0;45.0;411.0
