timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;20
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;22
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
8200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9996;7
11800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
67100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;9
70800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;8
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
92600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
113600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
117300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
130500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
135500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;4
135700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;8
140400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;7
149600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
150800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;10
154000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
161100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
165200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
167200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;7
179300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
179500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
180700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
181600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;7
182200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;7
189300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
204500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;10
204900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;4
218100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;6
228700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
239800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
245900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;6
247600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;7
264300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;10
266400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
273200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
275300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;7
277200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;5
282400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;9
283800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;7
292600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
312900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;8
315700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
318600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;8
322800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;9
323700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;8
327600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;10
331500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
361800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
377600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
384600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
387700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;7
390700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;4
405600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;6
407700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;10
420700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
435600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;4
440400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
452300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;7
453500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;8
468700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;7
484500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
485800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
487000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
487300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;3
497700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;9
502900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;5
506800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
511000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;4
512300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
