timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-221.0;0.0;-221.0
200;-315.0;0.0;-315.0
300;-63.0;0.0;-63.0
400;-539.0;0.0;-539.0
500;-503.0;0.0;-503.0
600;-383.0;0.0;-383.0
700;-503.0;0.0;-503.0
800;-583.0;0.0;-583.0
900;-503.0;0.0;-503.0
1000;-503.0;0.0;-503.0
1100;-303.0;0.0;-303.0
1200;-543.0;0.0;-543.0
1300;-423.0;0.0;-423.0
1400;-423.0;0.0;-423.0
1500;-423.0;0.0;-423.0
1600;-503.0;0.0;-503.0
1700;-423.0;0.0;-423.0
1800;-423.0;0.0;-423.0
1900;-303.0;0.0;-303.0
2000;-463.0;0.0;-463.0
2100;-263.0;0.0;-263.0
2200;-463.0;0.0;-463.0
2300;-463.0;0.0;-463.0
2400;-343.0;0.0;-343.0
2500;-343.0;0.0;-343.0
2600;-423.0;0.0;-423.0
2700;-223.0;0.0;-223.0
2800;-343.0;0.0;-343.0
2900;-343.0;0.0;-343.0
3000;-303.0;0.0;-303.0
3100;-183.0;0.0;-183.0
3200;-303.0;0.0;-303.0
3300;-263.0;0.0;-263.0
3400;-263.0;0.0;-263.0
3500;-143.0;0.0;-143.0
3600;-263.0;0.0;-263.0
3700;-263.0;0.0;-263.0
3800;-143.0;0.0;-143.0
3900;-263.0;0.0;-263.0
4000;137.0;0.0;137.0
4100;-623.0;0.0;-623.0
4200;-223.0;0.0;-223.0
4300;257.0;0.0;257.0
4400;-303.0;0.0;-303.0
4500;-183.0;0.0;-183.0
4600;-183.0;0.0;-183.0
4700;-63.0;0.0;-63.0
4800;-183.0;0.0;-183.0
4900;-263.0;0.0;-263.0
5000;-143.0;0.0;-143.0
5100;-263.0;0.0;-263.0
5200;-463.0;0.0;-463.0
5300;-103.0;0.0;-103.0
5400;-103.0;0.0;-103.0
5500;-223.0;0.0;-223.0
5600;-103.0;0.0;-103.0
5700;-103.0;0.0;-103.0
5800;-543.0;0.0;-543.0
5900;-103.0;0.0;-103.0
6000;-143.0;0.0;-143.0
6100;-23.0;0.0;-23.0
6200;-23.0;0.0;-23.0
6300;-23.0;0.0;-23.0
6400;-23.0;0.0;-23.0
6500;-23.0;0.0;-23.0
6600;-103.0;0.0;-103.0
6700;417.0;0.0;417.0
6800;-23.0;0.0;-23.0
6900;-23.0;0.0;-23.0
7000;17.0;0.0;17.0
7100;57.0;0.0;57.0
7200;57.0;0.0;57.0
7300;57.0;0.0;57.0
7400;137.0;0.0;137.0
7500;497.0;0.0;497.0
7600;57.0;0.0;57.0
7700;57.0;0.0;57.0
7800;57.0;0.0;57.0
7900;57.0;0.0;57.0
8000;556.0;-21.0;577.0
8100;23.0;6.0;17.0
8200;146.0;9.0;137.0
8300;137.0;0.0;137.0
8400;143.0;6.0;137.0
8500;143.0;6.0;137.0
8600;269.0;12.0;257.0
8700;143.0;6.0;137.0
8800;143.0;6.0;137.0
8900;125.0;-12.0;137.0
9000;-303.0;0.0;-303.0
9100;214.0;-3.0;217.0
9200;297.0;0.0;297.0
9300;217.0;0.0;217.0
9400;-220.0;3.0;-223.0
9500;91.0;-6.0;97.0
9600;131.0;-6.0;137.0
9700;205.0;-12.0;217.0
9800;205.0;-12.0;217.0
9900;645.0;-12.0;657.0
10000;254.0;-3.0;257.0
10100;285.0;-12.0;297.0
10200;285.0;-12.0;297.0
10300;359.0;-18.0;377.0
10400;381.0;-36.0;417.0
10500;593.0;-24.0;617.0
10600;270.0;-27.0;297.0
10700;291.0;-6.0;297.0
10800;405.0;-12.0;417.0
10900;393.0;-24.0;417.0
11000;319.0;-18.0;337.0
11100;359.0;-18.0;377.0
11200;359.0;-18.0;377.0
11300;5.0;-12.0;17.0
11400;445.0;-12.0;457.0
11500;353.0;-24.0;377.0
11600;344.0;-33.0;377.0
11700;317.0;-60.0;377.0
11800;365.0;-12.0;377.0
11900;485.0;-12.0;497.0
12000;414.0;-3.0;417.0
12100;442.0;-15.0;457.0
12200;445.0;-12.0;457.0
12300;445.0;-12.0;457.0
12400;307.0;-30.0;337.0
12500;876.0;-21.0;897.0
12600;436.0;-21.0;457.0
12700;885.0;-12.0;897.0
12800;439.0;-18.0;457.0
12900;407.0;30.0;377.0
13000;479.0;-18.0;497.0
13100;504.0;-33.0;537.0
13200;605.0;-12.0;617.0
13300;519.0;-18.0;537.0
13400;405.0;-12.0;417.0
13500;519.0;-18.0;537.0
13600;519.0;-18.0;537.0
13700;519.0;-18.0;537.0
13800;528.0;-9.0;537.0
13900;439.0;-18.0;457.0
14000;639.0;-18.0;657.0
14100;587.0;-30.0;617.0
14200;599.0;-18.0;617.0
14300;599.0;-18.0;617.0
14400;559.0;-18.0;577.0
14500;671.0;-66.0;737.0
14600;593.0;-24.0;617.0
14700;213.0;36.0;177.0
14800;605.0;-12.0;617.0
14900;734.0;-3.0;737.0
15000;645.0;-12.0;657.0
15100;685.0;-12.0;697.0
15200;691.0;-6.0;697.0
15300;260.0;3.0;257.0
15400;691.0;-6.0;697.0
15500;691.0;-6.0;697.0
15600;697.0;0.0;697.0
15700;697.0;0.0;697.0
15800;697.0;0.0;697.0
15900;706.0;9.0;697.0
16000;645.0;-12.0;657.0
16100;777.0;0.0;777.0
16200;657.0;0.0;657.0
16300;777.0;0.0;777.0
16400;663.0;6.0;657.0
16500;777.0;0.0;777.0
16600;774.0;-3.0;777.0
16700;1211.0;-6.0;1217.0
16800;771.0;-6.0;777.0
16900;780.0;3.0;777.0
17000;823.0;6.0;817.0
17100;857.0;0.0;857.0
17200;848.0;-9.0;857.0
17300;848.0;-9.0;857.0
17400;857.0;0.0;857.0
17500;977.0;0.0;977.0
17600;809.0;-48.0;857.0
17700;1288.0;-9.0;1297.0
17800;857.0;0.0;857.0
17900;809.0;-48.0;857.0
18000;977.0;0.0;977.0
18100;985.0;48.0;937.0
18200;811.0;-6.0;817.0
18300;922.0;-15.0;937.0
18400;922.0;-15.0;937.0
18500;931.0;-6.0;937.0
18600;931.0;-6.0;937.0
18700;931.0;-6.0;937.0
18800;925.0;-12.0;937.0
18900;851.0;-6.0;857.0
19000;971.0;-6.0;977.0
19100;1043.0;-54.0;1097.0
19200;1011.0;-6.0;1017.0
19300;1011.0;-6.0;1017.0
19400;1085.0;-12.0;1097.0
19500;957.0;-60.0;1017.0
19600;1014.0;-3.0;1017.0
19700;1011.0;-6.0;1017.0
19800;1137.0;0.0;1137.0
19900;1014.0;-3.0;1017.0
20000;1069.0;12.0;1057.0
20100;1097.0;0.0;1097.0
20200;1097.0;0.0;1097.0
20300;1537.0;0.0;1537.0
20400;651.0;-6.0;657.0
20500;1097.0;0.0;1097.0
20600;1097.0;0.0;1097.0
20700;1217.0;0.0;1217.0
20800;1017.0;0.0;1017.0
20900;1097.0;0.0;1097.0
21000;1217.0;0.0;1217.0
21100;1171.0;-6.0;1177.0
21200;1177.0;0.0;1177.0
21300;1605.0;-12.0;1617.0
21400;1201.0;24.0;1177.0
21500;1171.0;-6.0;1177.0
21600;1180.0;3.0;1177.0
21700;1339.0;42.0;1297.0
21800;1024.0;7.0;1017.0
21900;1315.0;18.0;1297.0
22000;1233.0;16.0;1217.0
22100;1273.0;16.0;1257.0
22200;1273.0;16.0;1257.0
22300;1270.0;13.0;1257.0
22400;1351.0;14.0;1337.0
