timestamp;total;EMERALDS;TOMATOES
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;0.0;0.0;0.0
3300;0.0;0.0;0.0
3400;3.0;0.0;3.0
3500;5.0;0.0;5.0
3600;5.0;0.0;5.0
3700;5.0;0.0;5.0
3800;6.0;0.0;6.0
3900;4.0;0.0;4.0
4000;3.0;0.0;3.0
4100;3.0;0.0;3.0
4200;3.0;0.0;3.0
4300;11.0;0.0;11.0
4400;5.0;0.0;5.0
4500;4.0;0.0;4.0
4600;4.0;0.0;4.0
4700;4.0;0.0;4.0
4800;4.0;0.0;4.0
4900;4.0;0.0;4.0
5000;3.0;0.0;3.0
5100;3.0;0.0;3.0
5200;3.0;0.0;3.0
5300;3.0;0.0;3.0
5400;3.0;0.0;3.0
5500;3.0;0.0;3.0
5600;3.0;0.0;3.0
5700;-4.0;0.0;-4.0
5800;5.0;0.0;5.0
5900;5.0;0.0;5.0
6000;4.0;0.0;4.0
6100;4.0;0.0;4.0
6200;3.0;0.0;3.0
6300;4.0;0.0;4.0
6400;4.0;0.0;4.0
6500;4.0;0.0;4.0
6600;3.0;0.0;3.0
6700;3.0;0.0;3.0
6800;1.0;0.0;1.0
6900;2.0;0.0;2.0
7000;11.0;0.0;11.0
7100;5.0;0.0;5.0
7200;8.0;0.0;8.0
7300;8.0;0.0;8.0
7400;8.0;0.0;8.0
7500;5.0;0.0;5.0
7600;2.0;0.0;2.0
7700;2.0;0.0;2.0
7800;5.0;0.0;5.0
7900;-1.0;0.0;-1.0
8000;-1.0;0.0;-1.0
8100;-4.0;0.0;-4.0
8200;-4.0;0.0;-4.0
8300;-4.0;0.0;-4.0
8400;-10.0;0.0;-10.0
8500;-10.0;0.0;-10.0
8600;-10.0;0.0;-10.0
8700;-13.0;0.0;-13.0
8800;-13.0;0.0;-13.0
8900;-10.0;0.0;-10.0
9000;-10.0;0.0;-10.0
9100;-7.0;0.0;-7.0
9200;-10.0;0.0;-10.0
9300;-10.0;0.0;-10.0
9400;-7.0;0.0;-7.0
9500;-7.0;0.0;-7.0
9600;6.0;0.0;6.0
9700;5.5;0.0;5.5
9800;5.5;0.0;5.5
9900;15.5;0.0;15.5
10000;15.5;0.0;15.5
10100;17.0;0.0;17.0
10200;20.0;0.0;20.0
10300;21.5;0.0;21.5
10400;21.5;0.0;21.5
10500;23.0;0.0;23.0
10600;12.5;0.0;12.5
10700;21.5;0.0;21.5
10800;18.5;0.0;18.5
10900;15.5;0.0;15.5
11000;14.0;0.0;14.0
11100;12.5;0.0;12.5
11200;14.0;0.0;14.0
11300;12.5;0.0;12.5
11400;12.5;0.0;12.5
11500;12.5;0.0;12.5
11600;12.5;0.0;12.5
11700;12.5;0.0;12.5
11800;3.5;0.0;3.5
11900;14.0;0.0;14.0
12000;11.0;0.0;11.0
12100;12.5;0.0;12.5
12200;15.5;0.0;15.5
12300;17.0;0.0;17.0
12400;18.5;0.0;18.5
12500;17.0;0.0;17.0
12600;15.5;0.0;15.5
12700;12.5;0.0;12.5
12800;12.5;0.0;12.5
12900;11.0;0.0;11.0
13000;11.0;0.0;11.0
13100;8.0;0.0;8.0
13200;9.5;0.0;9.5
