timestamp;buyer;seller;symbol;currency;price;quantity
900;;SUBMISSION;TOMATOES;SEASHELLS;5003;2
1700;;SUBMISSION;TOMATOES;SEASHELLS;5002;3
4000;;SUBMISSION;EMERALDS;SEASHELLS;10002;7
4100;;SUBMISSION;TOMATOES;SEASHELLS;4998;3
5200;SUBMISSION;;EMERALDS;SEASHELLS;9998;5
6700;SUBMISSION;;TOMATOES;SEASHELLS;4992;5
7100;;SUBMISSION;TOMATOES;SEASHELLS;4996;3
10500;;SUBMISSION;EMERALDS;SEASHELLS;10002;5
11200;SUBMISSION;;TOMATOES;SEASHELLS;4990;4
11300;SUBMISSION;;EMERALDS;SEASHELLS;9998;3
12700;;SUBMISSION;TOMATOES;SEASHELLS;4994;2
13600;SUBMISSION;;TOMATOES;SEASHELLS;4993;2
14100;;SUBMISSION;TOMATOES;SEASHELLS;4994;2
17100;SUBMISSION;;TOMATOES;SEASHELLS;4991;4
17800;SUBMISSION;;TOMATOES;SEASHELLS;4990;5
18000;SUBMISSION;;TOMATOES;SEASHELLS;4992;3
24000;;SUBMISSION;TOMATOES;SEASHELLS;4996;5
27300;SUBMISSION;;TOMATOES;SEASHELLS;4992;5
32700;;SUBMISSION;TOMATOES;SEASHELLS;4999;3
35600;SUBMISSION;;EMERALDS;SEASHELLS;9998;5
38300;;SUBMISSION;EMERALDS;SEASHELLS;10002;4
38800;SUBMISSION;;EMERALDS;SEASHELLS;9998;6
39000;;SUBMISSION;TOMATOES;SEASHELLS;5000;5
41700;SUBMISSION;;TOMATOES;SEASHELLS;4994;2
42100;;SUBMISSION;EMERALDS;SEASHELLS;10002;8
43200;SUBMISSION;;TOMATOES;SEASHELLS;4996;3
45700;;SUBMISSION;EMERALDS;SEASHELLS;10002;4
47000;;SUBMISSION;EMERALDS;SEASHELLS;10002;4
51500;SUBMISSION;;TOMATOES;SEASHELLS;5003;2
53500;SUBMISSION;;EMERALDS;SEASHELLS;9998;6
62900;;SUBMISSION;EMERALDS;SEASHELLS;10002;5
65000;;SUBMISSION;TOMATOES;SEASHELLS;5012;5
65500;SUBMISSION;;EMERALDS;SEASHELLS;9998;5
67000;;SUBMISSION;TOMATOES;SEASHELLS;5015;5
68300;;SUBMISSION;TOMATOES;SEASHELLS;5016;2
