timestamp;total;EMERALDS;TOMATOES
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;-24.0;0.0;-24.0
1200;0.0;0.0;0.0
1300;-4.0;0.0;-4.0
1400;0.0;0.0;0.0
1500;-32.0;0.0;-32.0
1600;-4.0;0.0;-4.0
1700;0.0;0.0;0.0
1800;4.0;0.0;4.0
1900;4.0;0.0;4.0
2000;8.0;0.0;8.0
2100;12.0;0.0;12.0
2200;24.0;0.0;24.0
2300;28.0;0.0;28.0
2400;32.0;0.0;32.0
2500;36.0;0.0;36.0
2600;36.0;0.0;36.0
2700;28.0;0.0;28.0
2800;24.0;0.0;24.0
2900;24.0;0.0;24.0
3000;32.0;0.0;32.0
3100;32.0;0.0;32.0
3200;92.0;56.0;36.0
3300;88.0;56.0;32.0
3400;103.0;56.0;47.0
3500;113.0;56.0;57.0
3600;113.0;56.0;57.0
3700;113.0;56.0;57.0
3800;118.0;56.0;62.0
3900;108.0;56.0;52.0
4000;103.0;56.0;47.0
4100;103.0;56.0;47.0
4200;99.0;52.0;47.0
4300;122.0;56.0;66.0
4400;110.0;56.0;54.0
4500;108.0;56.0;52.0
4600;108.0;56.0;52.0
4700;108.0;56.0;52.0
4800;108.0;56.0;52.0
4900;108.0;56.0;52.0
5000;95.0;45.0;50.0
5100;155.0;105.0;50.0
5200;155.0;105.0;50.0
5300;155.0;105.0;50.0
5400;155.0;105.0;50.0
5500;155.0;105.0;50.0
5600;155.0;105.0;50.0
5700;117.0;105.0;12.0
5800;171.0;105.0;66.0
5900;171.0;105.0;66.0
6000;165.0;105.0;60.0
6100;165.0;105.0;60.0
6200;159.0;105.0;54.0
6300;165.0;105.0;60.0
6400;165.0;105.0;60.0
6500;165.0;105.0;60.0
6600;159.0;105.0;54.0
6700;159.0;105.0;54.0
6800;147.0;105.0;42.0
6900;153.0;105.0;48.0
7000;169.0;105.0;64.0
7100;153.0;105.0;48.0
7200;161.0;105.0;56.0
7300;161.0;105.0;56.0
7400;161.0;105.0;56.0
7500;153.0;105.0;48.0
7600;145.0;105.0;40.0
7700;145.0;105.0;40.0
7800;153.0;105.0;48.0
7900;137.0;105.0;32.0
8000;137.0;105.0;32.0
8100;129.0;105.0;24.0
8200;129.0;105.0;24.0
8300;129.0;105.0;24.0
8400;113.0;105.0;8.0
8500;113.0;105.0;8.0
8600;113.0;105.0;8.0
8700;105.0;105.0;0.0
8800;125.0;125.0;0.0
8900;113.0;105.0;8.0
9000;113.0;105.0;8.0
9100;121.0;105.0;16.0
9200;113.0;105.0;8.0
9300;113.0;105.0;8.0
9400;121.0;105.0;16.0
9500;121.0;105.0;16.0
9600;159.0;105.0;54.0
9700;153.5;105.0;48.5
9800;153.5;105.0;48.5
9900;175.5;105.0;70.5
10000;175.5;105.0;70.5
10100;172.0;105.0;67.0
10200;165.0;105.0;60.0
10300;161.5;105.0;56.5
10400;161.5;105.0;56.5
10500;158.0;105.0;53.0
10600;168.5;105.0;63.5
10700;159.5;105.0;54.5
10800;162.5;105.0;57.5
10900;165.5;105.0;60.5
11000;167.0;105.0;62.0
11100;168.5;105.0;63.5
11200;167.0;105.0;62.0
11300;168.5;105.0;63.5
11400;168.5;105.0;63.5
11500;168.5;105.0;63.5
11600;168.5;105.0;63.5
11700;168.5;105.0;63.5
11800;177.5;105.0;72.5
11900;167.0;105.0;62.0
12000;170.0;105.0;65.0
12100;168.5;105.0;63.5
12200;165.5;105.0;60.5
12300;164.0;105.0;59.0
12400;162.5;105.0;57.5
12500;164.0;105.0;59.0
12600;165.5;105.0;60.5
12700;168.5;105.0;63.5
12800;168.5;105.0;63.5
12900;170.0;105.0;65.0
13000;170.0;105.0;65.0
13100;173.0;105.0;68.0
13200;171.5;105.0;66.5
13300;151.5;85.0;66.5
13400;170.0;105.0;65.0
