timestamp;buyer;seller;symbol;currency;price;quantity
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
5200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12001;3
6600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
7800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;7
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
9300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12005;6
11900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12015;4
13000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
14000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12017;7
15100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12017;2
16500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;5
17500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
18200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;9
19700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
19900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12016;7
20700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12024;5
21400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
21600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
22500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12018;4
23200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12019;4
24100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
26900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
27300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12023;3
28400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12024;8
29800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12033;4
31200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
32800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
33300;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12036;6
