timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;15
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;21
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;20
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;5
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
6200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
9500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
22100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;10
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
29700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;3
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
47100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;7
53400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;2
55400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
55900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
57700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
70800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;8
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
80300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
83200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
86400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;4
90500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;4
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
91900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;3
92600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
95400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
98700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;10
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
105000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;10
113400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
113600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
