timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-122.5,0.0,-122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-229.0,0.0,-229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-331.5,0.0,-331.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-291.0,0.0,-291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-263.0,0.0,-166.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,-522.0,0.0,-316.0,0.0,0.0,-206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,-750.0,0.0,-391.0,0.0,0.0,-359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,-1147.0,0.0,-616.0,0.0,0.0,-531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-1149.0,0.0,-616.0,0.0,0.0,-533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,-1291.0,0.0,-541.0,0.0,0.0,-750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,-1673.0,0.0,-616.0,0.0,0.0,-1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,-1925.5,0.0,-766.0,0.0,0.0,-1159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,-2041.5,0.0,-766.0,0.0,0.0,-1275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,-1966.5,0.0,-691.0,0.0,0.0,-1275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,-1666.5,0.0,-616.0,0.0,0.0,-1050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,-1666.5,0.0,-616.0,0.0,0.0,-1050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,-2041.5,0.0,-766.0,0.0,0.0,-1275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,-2327.5,0.0,-841.0,14.0,0.0,-1500.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,-2027.5,0.0,-541.0,14.0,0.0,-1500.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,-1506.5,0.0,-466.0,10.0,0.0,-1050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,-1581.5,0.0,-541.0,10.0,0.0,-1050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,-2028.5,0.0,-766.0,13.0,0.0,-1275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,-1282.5,0.0,-466.0,9.0,0.0,-825.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,-1581.5,0.0,-541.0,10.0,0.0,-1050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,-835.5,0.0,-241.0,6.0,0.0,-600.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,-610.5,0.0,-16.0,6.0,0.0,-600.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,-536.5,0.0,-166.0,5.0,0.0,-375.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,-163.5,0.0,-16.0,3.0,0.0,-150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,-163.5,0.0,-16.0,3.0,0.0,-150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,98.0,0.0,134.0,2.0,0.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,-163.5,0.0,-16.0,3.0,0.0,-150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,-387.0,0.0,-80.0,4.0,0.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,-679.5,0.0,-254.0,4.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,138.5,0.0,94.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,548.5,0.0,268.0,-1.0,0.0,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,225.5,0.0,181.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700,138.5,0.0,94.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,-592.5,0.0,-167.0,4.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,-677.5,0.0,-254.0,6.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,-678.5,0.0,-254.0,5.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100,-1347.0,0.0,-341.0,16.0,0.0,-1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,-1001.5,0.0,-341.0,6.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,-1497.5,0.0,-602.0,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,-679.5,0.0,-254.0,4.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500,-1032.5,54.0,-428.0,8.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,-1042.5,45.0,-428.0,7.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4700,-1763.0,78.0,-602.0,20.0,0.0,-1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,-1145.0,60.0,-428.0,8.0,0.0,-785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4900,-1368.5,42.0,-515.0,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,-1039.5,48.0,-428.0,7.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100,-1045.5,42.0,-428.0,7.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,-977.5,24.0,-341.0,6.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300,-660.5,18.0,-254.0,5.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,-393.0,-6.0,-80.0,4.0,0.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500,-1084.5,3.0,-428.0,7.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,-1471.5,25.0,-602.0,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700,-1493.5,3.0,-602.0,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5800,-1838.0,3.0,-602.0,20.0,0.0,-1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5900,-1074.5,14.0,-428.0,6.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,-1051.5,36.0,-428.0,7.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,-1352.5,58.0,-515.0,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6200,-1847.5,58.0,-776.0,11.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6300,-1068.5,80.0,-254.0,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400,-731.0,69.0,-258.0,6.0,0.0,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500,-1469.5,47.0,-622.0,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600,-1501.5,69.0,-440.0,10.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6700,-1445.0,80.0,-629.5,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6800,-1867.0,80.0,-816.5,10.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6900,-1410.0,113.0,-629.5,10.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,-1401.0,124.0,-629.5,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7100,-1433.0,91.0,-629.5,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,-1444.0,80.0,-629.5,9.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7300,-1362.5,69.0,-536.0,8.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7400,-1922.0,25.0,-816.5,10.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500,-1172.5,47.0,-442.5,8.0,0.0,-785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7600,-1799.5,69.0,-629.5,20.0,0.0,-1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7700,-1561.5,80.0,-629.5,10.0,0.0,-1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7800,-2298.0,69.0,-1003.5,14.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7900,-2289.0,80.0,-1003.5,12.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,-2606.5,91.0,-1097.0,14.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8100,-2720.0,69.0,-1190.5,16.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8200,-2639.5,58.0,-1097.0,14.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300,-3061.5,58.0,-1284.0,16.0,0.0,-1851.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8400,-2206.5,69.0,-910.0,12.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500,-2276.0,91.0,-1003.5,14.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600,-2277.0,91.0,-1003.5,13.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8700,-2276.0,91.0,-1003.5,14.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8800,-2550.5,135.0,-1097.0,26.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8900,-2633.0,146.0,-1190.5,26.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,-2220.0,135.0,-1003.5,26.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9100,-2985.5,124.0,-1284.0,26.0,0.0,-1851.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9200,-2644.0,135.0,-1190.5,26.0,0.0,-1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9300,-1763.0,168.0,-816.5,26.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9400,-2071.5,190.0,-910.0,26.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500,-1730.0,201.0,-816.5,26.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9600,-1708.0,223.0,-816.5,26.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9700,-2121.0,234.0,-1003.5,26.0,0.0,-1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9800,-1675.0,256.0,-816.5,26.0,0.0,-1140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9900,-1218.0,289.0,-629.5,26.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,-1207.0,300.0,-629.5,26.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10100,-1135.5,278.0,-536.0,26.0,0.0,-903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10200,-186.0,311.0,25.0,26.0,0.0,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10300,-510.5,267.0,-255.5,26.0,0.0,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10400,153.5,245.0,-162.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10500,-155.0,267.0,-255.5,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10600,-1.0,234.0,-68.5,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10700,452.5,256.0,126.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10800,58.5,289.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10900,91.5,322.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,496.5,300.0,126.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11100,47.5,278.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11200,-93.0,256.0,-64.0,26.0,0.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11300,14.5,245.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400,-616.5,278.0,-254.0,26.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11500,25.5,256.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11600,-164.5,256.0,-254.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11700,120.5,256.0,31.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11800,14.5,245.0,-64.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11900,98.5,234.0,31.0,26.0,0.0,-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,-777.5,212.0,-349.0,26.0,0.0,-666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12100,-416.5,146.0,-159.0,26.0,0.0,-429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12200,375.5,179.0,126.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12300,247.5,146.0,31.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12400,532.5,146.0,316.0,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500,1196.5,146.0,506.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12600,1729.5,157.0,791.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12700,1527.0,168.0,696.0,26.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12800,2094.5,190.0,886.0,26.0,0.0,992.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12900,1514.5,179.0,791.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000,1494.0,135.0,696.0,26.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13100,1461.0,102.0,696.0,26.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13200,1519.0,41.5,696.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13300,1439.0,80.0,696.0,26.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13400,1557.5,80.0,696.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500,1097.5,47.0,506.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13600,918.5,58.0,316.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13700,1619.5,47.0,791.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13800,1630.5,58.0,791.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13900,1535.5,58.0,696.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000,1546.5,69.0,696.0,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14100,1108.5,58.0,506.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14200,1187.0,41.5,601.0,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14300,865.0,47.0,510.5,26.0,0.0,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14400,264.0,69.0,124.5,26.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14500,1157.0,102.0,510.5,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14600,1565.0,80.0,703.5,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14700,887.0,69.0,510.5,26.0,0.0,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14800,382.5,47.0,28.0,26.0,0.0,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14900,672.0,47.0,317.5,26.0,0.0,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,1317.0,69.0,703.5,26.0,0.0,518.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15100,1532.0,47.0,703.5,26.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15200,1832.5,36.0,896.5,26.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15300,2262.5,36.0,1089.5,26.0,0.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15400,3111.5,47.0,1572.0,26.0,0.0,1466.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15500,2951.5,80.0,1379.0,26.0,0.0,1466.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15600,3456.0,58.0,1668.5,26.0,0.0,1703.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15700,3144.5,58.0,1475.5,26.0,0.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15800,2940.5,69.0,1379.0,26.0,0.0,1466.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15900,2403.0,58.0,1089.5,26.0,0.0,1229.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
