timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-81.0;0.0;-81.0
300;9.0;0.0;9.0
400;-215.0;0.0;-215.0
500;-233.0;0.0;-233.0
600;-167.0;0.0;-167.0
700;-299.0;0.0;-299.0
800;-413.5;0.0;-413.5
900;-429.0;-20.0;-409.0
1000;-419.0;12.0;-431.0
1100;-207.0;24.0;-231.0
1200;-383.0;88.0;-471.0
1300;-315.0;36.0;-351.0
1400;-327.0;24.0;-351.0
1500;-319.0;32.0;-351.0
1600;-463.0;-32.0;-431.0
1700;-299.0;52.0;-351.0
1800;-319.0;32.0;-351.0
1900;-199.0;32.0;-231.0
2000;-371.0;20.0;-391.0
2100;-159.0;32.0;-191.0
2200;-359.0;32.0;-391.0
2300;-331.0;60.0;-391.0
2400;-243.0;28.0;-271.0
2500;-243.0;28.0;-271.0
2600;-311.0;40.0;-351.0
2700;-103.0;48.0;-151.0
2800;-231.0;40.0;-271.0
2900;-231.0;40.0;-271.0
3000;-199.0;32.0;-231.0
3100;-63.0;48.0;-111.0
3200;-175.0;56.0;-231.0
3300;-143.0;48.0;-191.0
3400;-143.0;48.0;-191.0
3500;-35.0;36.0;-71.0
3600;-143.0;48.0;-191.0
3700;-159.0;32.0;-191.0
3800;-31.0;40.0;-71.0
3900;-151.0;40.0;-191.0
4000;257.0;48.0;209.0
4100;-507.0;44.0;-551.0
4200;-99.0;52.0;-151.0
4300;393.0;64.0;329.0
4400;-167.0;64.0;-231.0
4500;-55.0;56.0;-111.0
4600;-43.0;68.0;-111.0
4700;129.0;120.0;9.0
4800;-87.0;24.0;-111.0
4900;-135.0;56.0;-191.0
5000;-15.0;56.0;-71.0
5100;-135.0;56.0;-191.0
5200;-347.0;44.0;-391.0
5300;21.0;52.0;-31.0
5400;7.0;38.0;-31.0
5500;-111.0;40.0;-151.0
5600;-23.0;8.0;-31.0
5700;9.0;40.0;-31.0
5800;-421.0;50.0;-471.0
5900;15.0;46.0;-31.0
6000;-43.0;28.0;-71.0
6100;93.0;44.0;49.0
6200;93.0;44.0;49.0
6300;89.0;40.0;49.0
6400;89.0;40.0;49.0
6500;45.0;-4.0;49.0
6600;9.0;40.0;-31.0
6700;529.0;40.0;489.0
6800;89.0;40.0;49.0
6900;91.0;42.0;49.0
7000;125.0;36.0;89.0
7100;165.0;36.0;129.0
7200;163.0;34.0;129.0
7300;169.0;40.0;129.0
7400;249.0;40.0;209.0
7500;613.0;44.0;569.0
7600;177.0;48.0;129.0
7700;167.0;38.0;129.0
7800;161.0;32.0;129.0
7900;161.0;32.0;129.0
8000;660.0;11.0;649.0
8100;127.0;38.0;89.0
8200;250.0;41.0;209.0
8300;241.0;32.0;209.0
8400;247.0;38.0;209.0
8500;247.0;38.0;209.0
8600;373.0;44.0;329.0
8700;247.0;38.0;209.0
8800;247.0;38.0;209.0
8900;219.0;10.0;209.0
9000;-205.0;26.0;-231.0
9100;311.0;22.0;289.0
9200;395.0;26.0;369.0
9300;315.0;26.0;289.0
9400;-121.0;30.0;-151.0
9500;187.0;18.0;169.0
9600;227.0;18.0;209.0
9700;299.0;10.0;289.0
9800;299.0;10.0;289.0
9900;739.0;10.0;729.0
10000;351.0;22.0;329.0
10100;379.0;10.0;369.0
10200;379.0;10.0;369.0
10300;451.0;2.0;449.0
10400;442.0;-47.0;489.0
10500;668.0;-21.0;689.0
10600;341.5;-27.5;369.0
10700;387.0;18.0;369.0
10800;494.0;5.0;489.0
10900;468.0;-21.0;489.0
11000;401.0;-8.0;409.0
11100;441.0;-8.0;449.0
11200;441.0;-8.0;449.0
11300;94.0;5.0;89.0
11400;534.0;5.0;529.0
11500;428.0;-21.0;449.0
11600;381.0;-68.0;449.0
11700;300.0;-149.0;449.0
11800;444.0;-5.0;449.0
11900;564.0;-5.0;569.0
12000;511.0;22.0;489.0
12100;515.0;-14.0;529.0
12200;524.0;-5.0;529.0
12300;524.0;-5.0;529.0
12400;340.0;-69.0;409.0
12500;930.0;-39.0;969.0
12600;490.0;-39.0;529.0
12700;960.0;-9.0;969.0
12800;500.0;-29.0;529.0
12900;580.0;131.0;449.0
13000;540.0;-29.0;569.0
13100;519.0;-90.0;609.0
13200;676.0;-13.0;689.0
13300;574.0;-35.0;609.0
13400;476.0;-13.0;489.0
13500;574.0;-35.0;609.0
13600;574.0;-35.0;609.0
13700;574.0;-35.0;609.0
13800;607.0;-2.0;609.0
13900;494.0;-35.0;529.0
14000;694.0;-35.0;729.0
14100;610.0;-79.0;689.0
14200;654.0;-35.0;689.0
14300;654.0;-35.0;689.0
14400;614.0;-35.0;649.0
14500;598.0;-211.0;809.0
14600;632.0;-57.0;689.0
14700;412.0;163.0;249.0
14800;676.0;-13.0;689.0
14900;829.0;20.0;809.0
15000;716.0;-13.0;729.0
15100;756.0;-13.0;769.0
15200;778.0;9.0;769.0
15300;371.0;42.0;329.0
15400;778.0;9.0;769.0
15500;778.0;9.0;769.0
15600;800.0;31.0;769.0
15700;800.0;31.0;769.0
15800;800.0;31.0;769.0
15900;833.0;64.0;769.0
16000;716.0;-13.0;729.0
16100;880.0;31.0;849.0
16200;760.0;31.0;729.0
16300;880.0;31.0;849.0
16400;782.0;53.0;729.0
16500;880.0;31.0;849.0
16600;869.0;20.0;849.0
