timestamp,buyer,seller,symbol,currency,price,quantity
900,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5262.0,8
900,,,VELVETFRUIT_EXTRACT,XIREC,5262.0,8
1300,SUBMISSION,,VEV_4000,XIREC,1256.0,3
2700,,,VELVETFRUIT_EXTRACT,XIREC,5269.0,8
2900,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5271.0,8
3400,,SUBMISSION,HYDROGEL_PACK,XIREC,10023.0,11
3400,,SUBMISSION,HYDROGEL_PACK,XIREC,10021.0,25
4800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,3
5500,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,63
5600,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,34
5700,,,VELVETFRUIT_EXTRACT,XIREC,5273.0,5
9000,,SUBMISSION,VEV_4000,XIREC,1273.0,1
9600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,20
9700,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,23
9800,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,16
9900,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,60
9900,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5262.0,5
9900,SUBMISSION,,VEV_5100,XIREC,177.0,22
9900,SUBMISSION,,VEV_5200,XIREC,102.0,8
9900,SUBMISSION,,VEV_5200,XIREC,103.0,14
9900,SUBMISSION,,VEV_5300,XIREC,52.0,25
9900,SUBMISSION,,VEV_5400,XIREC,17.0,25
9900,SUBMISSION,,VEV_5500,XIREC,7.0,25
10000,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,18
10000,SUBMISSION,,VEV_5100,XIREC,177.0,8
10000,SUBMISSION,,VEV_5100,XIREC,178.0,13
10000,SUBMISSION,,VEV_5200,XIREC,103.0,21
10000,SUBMISSION,,VEV_5300,XIREC,52.0,24
10000,SUBMISSION,,VEV_5400,XIREC,17.0,24
10000,SUBMISSION,,VEV_5500,XIREC,7.0,24
10100,SUBMISSION,,VEV_5100,XIREC,178.0,22
10100,SUBMISSION,,VEV_5200,XIREC,103.0,22
10100,SUBMISSION,,VEV_5300,XIREC,52.0,19
10100,SUBMISSION,,VEV_5400,XIREC,17.0,19
10100,SUBMISSION,,VEV_5500,XIREC,7.0,19
10200,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,58
10200,SUBMISSION,,VEV_5100,XIREC,177.0,27
10200,SUBMISSION,,VEV_5200,XIREC,102.0,11
10200,SUBMISSION,,VEV_5200,XIREC,103.0,16
10200,SUBMISSION,,VEV_5300,XIREC,52.0,25
10200,SUBMISSION,,VEV_5400,XIREC,17.0,25
10200,SUBMISSION,,VEV_5500,XIREC,7.0,25
10200,,,HYDROGEL_PACK,XIREC,10017.0,6
10300,SUBMISSION,,VEV_5100,XIREC,176.0,3
10300,SUBMISSION,,VEV_5200,XIREC,102.0,3
10300,SUBMISSION,,VEV_5300,XIREC,51.0,2
10300,SUBMISSION,,VEV_5400,XIREC,17.0,2
10300,SUBMISSION,,VEV_5500,XIREC,7.0,2
10700,,,VELVETFRUIT_EXTRACT,XIREC,5265.0,4
11200,,SUBMISSION,HYDROGEL_PACK,XIREC,10029.0,4
12100,,,VELVETFRUIT_EXTRACT,XIREC,5268.0,5
12600,,,VELVETFRUIT_EXTRACT,XIREC,5264.0,3
13100,SUBMISSION,,VEV_5400,XIREC,16.0,3
13100,SUBMISSION,,VEV_5500,XIREC,6.0,3
13100,,,VEV_6000,XIREC,0.0,3
13100,,,VEV_6500,XIREC,0.0,3
13900,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5268.0,4
15700,,SUBMISSION,HYDROGEL_PACK,XIREC,10034.0,2
16300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5274.0,5
17300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,22
17300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,30
17400,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5274.0,17
17400,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,49
17400,,,VELVETFRUIT_EXTRACT,XIREC,5274.0,3
17500,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5274.0,19
17500,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,40
17600,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,14
19100,,SUBMISSION,HYDROGEL_PACK,XIREC,10019.0,6
19700,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5266.0,13
20900,SUBMISSION,,VEV_5300,XIREC,53.0,5
20900,SUBMISSION,,VEV_5400,XIREC,17.0,2
20900,SUBMISSION,,VEV_5500,XIREC,7.0,2
20900,,,VEV_5400,XIREC,17.0,3
20900,,,VEV_5500,XIREC,7.0,3
20900,,,VEV_6000,XIREC,0.0,5
20900,,,VEV_6500,XIREC,0.0,5
22300,SUBMISSION,,HYDROGEL_PACK,XIREC,10001.0,4
23100,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,4
23200,SUBMISSION,,HYDROGEL_PACK,XIREC,10003.0,7
23300,SUBMISSION,,HYDROGEL_PACK,XIREC,10008.0,12
23400,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5266.0,58
23500,,,VEV_5400,XIREC,16.0,2
23500,,,VEV_5500,XIREC,6.0,2
23500,,,VEV_6000,XIREC,0.0,2
23500,,,VEV_6500,XIREC,0.0,2
23600,SUBMISSION,,HYDROGEL_PACK,XIREC,10008.0,15
23600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,18
23600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5266.0,31
23800,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5266.0,18
24100,SUBMISSION,,HYDROGEL_PACK,XIREC,10007.0,12
24200,SUBMISSION,,HYDROGEL_PACK,XIREC,10004.0,11
24200,SUBMISSION,,HYDROGEL_PACK,XIREC,10007.0,30
24300,SUBMISSION,,HYDROGEL_PACK,XIREC,10005.0,12
24300,SUBMISSION,,HYDROGEL_PACK,XIREC,10007.0,30
24400,SUBMISSION,,HYDROGEL_PACK,XIREC,9997.0,9
24400,SUBMISSION,,HYDROGEL_PACK,XIREC,10006.0,6
24600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,5
25500,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,6
26500,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5268.0,6
28000,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,23
29200,,,HYDROGEL_PACK,XIREC,9993.0,4
29500,,,VEV_5400,XIREC,16.0,2
29500,,,VEV_5500,XIREC,6.0,2
29500,,,VEV_6000,XIREC,0.0,2
29500,,,VEV_6500,XIREC,0.0,2
30300,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,25
30400,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,5
32500,,,VELVETFRUIT_EXTRACT,XIREC,5266.0,4
33300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5270.0,7
34100,,SUBMISSION,VEV_4000,XIREC,1277.0,1
35700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5269.0,3
35800,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5265.0,7
36100,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5270.0,4
38400,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5266.0,7
38400,,,VELVETFRUIT_EXTRACT,XIREC,5265.0,1
39500,SUBMISSION,,VEV_4000,XIREC,1259.0,2
41100,,,HYDROGEL_PACK,XIREC,9998.0,6
41700,,,VELVETFRUIT_EXTRACT,XIREC,5254.0,5
41900,,,VEV_5400,XIREC,13.0,2
41900,,,VEV_5500,XIREC,5.0,2
41900,,,VEV_6000,XIREC,0.0,2
41900,,,VEV_6500,XIREC,0.0,2
42000,,,VELVETFRUIT_EXTRACT,XIREC,5247.0,8
42900,,,VEV_5400,XIREC,14.0,4
42900,,,VEV_5500,XIREC,5.0,4
42900,,,VEV_6000,XIREC,0.0,4
42900,,,VEV_6500,XIREC,0.0,4
43000,,,VELVETFRUIT_EXTRACT,XIREC,5250.0,8
44000,,,HYDROGEL_PACK,XIREC,9978.0,4
44700,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,8
44900,,,VELVETFRUIT_EXTRACT,XIREC,5257.0,14
45100,,,HYDROGEL_PACK,XIREC,9991.0,3
45100,,,VEV_5400,XIREC,15.0,5
45100,,,VEV_5500,XIREC,5.0,5
45100,,,VEV_6000,XIREC,0.0,5
45100,,,VEV_6500,XIREC,0.0,5
46800,,,VELVETFRUIT_EXTRACT,XIREC,5256.0,8
48100,,,VELVETFRUIT_EXTRACT,XIREC,5261.0,7
48400,,,VELVETFRUIT_EXTRACT,XIREC,5258.0,5
49400,,,HYDROGEL_PACK,XIREC,9958.0,4
49800,,,HYDROGEL_PACK,XIREC,9960.0,3
50200,SUBMISSION,,VEV_4000,XIREC,1254.0,3
52600,,,VELVETFRUIT_EXTRACT,XIREC,5263.0,8
52900,,,VEV_5500,XIREC,6.0,5
52900,,,VEV_6000,XIREC,0.0,5
52900,,,VEV_6500,XIREC,0.0,5
53200,,,VELVETFRUIT_EXTRACT,XIREC,5264.0,5
53600,,,VELVETFRUIT_EXTRACT,XIREC,5257.0,5
58300,,,HYDROGEL_PACK,XIREC,9963.0,6
59200,,,VELVETFRUIT_EXTRACT,XIREC,5244.0,8
60700,,,HYDROGEL_PACK,XIREC,9973.0,5
63800,,SUBMISSION,VEV_4000,XIREC,1257.0,3
64300,,,VELVETFRUIT_EXTRACT,XIREC,5249.0,3
67600,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5261.0,4
68600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5258.0,4
70000,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,6
70400,,,VELVETFRUIT_EXTRACT,XIREC,5260.0,5
70900,,,HYDROGEL_PACK,XIREC,9994.0,2
71500,,,VELVETFRUIT_EXTRACT,XIREC,5251.0,4
71800,,,HYDROGEL_PACK,XIREC,9975.0,5
72700,,,HYDROGEL_PACK,XIREC,9988.0,3
73100,,,VELVETFRUIT_EXTRACT,XIREC,5256.0,7
73200,,,VELVETFRUIT_EXTRACT,XIREC,5254.0,5
75200,,,VEV_5300,XIREC,46.0,4
75200,,,VEV_5400,XIREC,14.0,4
75200,,,VEV_5500,XIREC,5.0,4
75200,,,VEV_6000,XIREC,0.0,4
75200,,,VEV_6500,XIREC,0.0,4
76700,,,VELVETFRUIT_EXTRACT,XIREC,5258.0,4
78700,,,HYDROGEL_PACK,XIREC,9939.0,3
79300,,,VEV_5300,XIREC,47.0,5
79300,,,VEV_5400,XIREC,14.0,5
79300,,,VEV_5500,XIREC,5.0,5
79300,,,VEV_6000,XIREC,0.0,5
79300,,,VEV_6500,XIREC,0.0,5
80800,,SUBMISSION,VEV_4000,XIREC,1269.0,1
82100,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5269.0,5
83000,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5270.0,6
84100,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5271.0,8
84400,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,5
84700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,19
84700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,44
84800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5275.0,5
85500,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,8
85500,,,HYDROGEL_PACK,XIREC,9954.0,2
86300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5267.0,21
90100,,,HYDROGEL_PACK,XIREC,9931.0,3
91700,,,HYDROGEL_PACK,XIREC,9929.0,2
91700,,,VELVETFRUIT_EXTRACT,XIREC,5264.0,8
92600,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5270.0,4
95100,,,VELVETFRUIT_EXTRACT,XIREC,5262.0,8
97200,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5264.0,7
97400,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5259.0,5
97600,,,HYDROGEL_PACK,XIREC,9937.0,2
98600,SUBMISSION,,VEV_4000,XIREC,1260.0,1
99300,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5262.0,8
101000,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5260.0,69
101200,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5259.0,11
101800,,,HYDROGEL_PACK,XIREC,9984.0,3
102400,,,HYDROGEL_PACK,XIREC,9984.0,3
102600,,,VEV_5400,XIREC,16.0,2
102600,,,VEV_5500,XIREC,6.0,2
102600,,,VEV_6000,XIREC,0.0,2
102600,,,VEV_6500,XIREC,0.0,2
103300,SUBMISSION,,VEV_4000,XIREC,1259.0,1
103500,,,VELVETFRUIT_EXTRACT,XIREC,5263.0,8
103700,SUBMISSION,,VEV_4000,XIREC,1259.0,3
104000,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5260.0,8
104500,,,HYDROGEL_PACK,XIREC,9984.0,2
105500,,,VEV_5300,XIREC,47.0,5
105500,,,VEV_5500,XIREC,5.0,5
105500,,,VEV_6000,XIREC,0.0,5
105500,,,VEV_6500,XIREC,0.0,5
106300,,,VELVETFRUIT_EXTRACT,XIREC,5262.0,7
108800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5263.0,3
109100,SUBMISSION,,VEV_4000,XIREC,1259.0,1
109400,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5265.0,6
109600,,,HYDROGEL_PACK,XIREC,9990.0,6
109800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5266.0,3
110500,,,VELVETFRUIT_EXTRACT,XIREC,5262.0,8
111300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5262.0,7
111900,SUBMISSION,,VEV_4000,XIREC,1257.0,2
112600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5257.0,10
112600,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5257.0,10
113300,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5259.0,30
114500,,,HYDROGEL_PACK,XIREC,9994.0,5
114700,,SUBMISSION,VEV_4000,XIREC,1264.0,2
116800,,SUBMISSION,VEV_4000,XIREC,1263.0,2
118100,,,VELVETFRUIT_EXTRACT,XIREC,5260.0,3
122900,,,VELVETFRUIT_EXTRACT,XIREC,5258.0,8
124900,,SUBMISSION,HYDROGEL_PACK,XIREC,10021.0,3
126800,,SUBMISSION,HYDROGEL_PACK,XIREC,10014.0,2
129300,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,8
129300,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,5
129400,,SUBMISSION,HYDROGEL_PACK,XIREC,10008.0,4
129600,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,6
129700,,,VEV_5300,XIREC,46.0,4
129700,,,VEV_5400,XIREC,14.0,4
129700,,,VEV_5500,XIREC,5.0,4
129700,,,VEV_6000,XIREC,0.0,4
129700,,,VEV_6500,XIREC,0.0,4
130100,,,VELVETFRUIT_EXTRACT,XIREC,5256.0,5
130300,,,VELVETFRUIT_EXTRACT,XIREC,5252.0,6
133000,,,VELVETFRUIT_EXTRACT,XIREC,5260.0,7
134300,,,VELVETFRUIT_EXTRACT,XIREC,5255.0,9
135500,,,VELVETFRUIT_EXTRACT,XIREC,5259.0,7
137000,,,HYDROGEL_PACK,XIREC,10007.0,3
138700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5261.0,3
139300,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5256.0,3
140500,,,VELVETFRUIT_EXTRACT,XIREC,5257.0,6
140900,SUBMISSION,,VEV_4000,XIREC,1251.0,1
141700,,SUBMISSION,HYDROGEL_PACK,XIREC,10021.0,15
141700,,SUBMISSION,HYDROGEL_PACK,XIREC,10018.0,16
142300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5259.0,6
143100,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5260.0,7
143800,SUBMISSION,,HYDROGEL_PACK,XIREC,9997.0,5
144300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5265.0,6
144400,SUBMISSION,,VEV_4000,XIREC,1258.0,1
145100,,SUBMISSION,HYDROGEL_PACK,XIREC,10011.0,5
145400,SUBMISSION,,HYDROGEL_PACK,XIREC,9996.0,2
145800,SUBMISSION,,VEV_4000,XIREC,1262.0,1
147200,,,VELVETFRUIT_EXTRACT,XIREC,5259.0,8
149900,,,HYDROGEL_PACK,XIREC,10007.0,3
150400,,SUBMISSION,VEV_4000,XIREC,1273.0,1
150600,,SUBMISSION,HYDROGEL_PACK,XIREC,10027.0,4
151400,,,HYDROGEL_PACK,XIREC,10014.0,3
151600,,,HYDROGEL_PACK,XIREC,10014.0,6
152700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,59
153100,,SUBMISSION,VEV_4000,XIREC,1279.0,3
153200,,,HYDROGEL_PACK,XIREC,10008.0,5
154300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5274.0,6
155100,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5276.0,8
155200,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,20
155200,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5272.0,44
155300,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5276.0,3
155700,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5276.0,4
155800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5274.0,18
155800,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5273.0,19
155800,,,VELVETFRUIT_EXTRACT,XIREC,5274.0,7
155900,,SUBMISSION,VEV_4000,XIREC,1280.0,2
156200,,,VELVETFRUIT_EXTRACT,XIREC,5275.0,14
157000,,SUBMISSION,HYDROGEL_PACK,XIREC,10023.0,4
157400,,,VELVETFRUIT_EXTRACT,XIREC,5272.0,13
160500,,SUBMISSION,HYDROGEL_PACK,XIREC,10022.0,14
160500,,SUBMISSION,HYDROGEL_PACK,XIREC,10020.0,24
161100,,SUBMISSION,HYDROGEL_PACK,XIREC,10027.0,4
