timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10003;13
0;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;21
500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;11
600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;13
900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5262;8
1300;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1256;3
2900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;8
4800;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5272;3
5500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5273;63
9000;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1273;1
9600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;20
9700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;23
9800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;16
9900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;60
9900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5262;5
12600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5265;3
13900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;4
16300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
17300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5273;22
17300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5272;30
17400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;17
17400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5273;49
19000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10003;10
19700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;13
22300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;4
23100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5265;4
23200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10003;7
23400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;58
23600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;18
23600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;31
24200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10004;11
24300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10005;12
24400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;9
24500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10003;11
24600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10003;14
24600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10005;23
24600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;5
24700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;12
24700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10004;22
25500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5265;6
26500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;6
27100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10003;10
29200;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9994;4
33300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;7
34100;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1277;1
35700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5269;3
35800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5265;7
36100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;4
38400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5266;8
39500;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1259;2
45100;SUBMISSION;Mark 22;VEV_5400;SEASHELLS;15;4
