timestamp;buyer;seller;symbol;currency;price;quantity
2500;;;VELVETFRUIT_EXTRACT;XIREC;5250.0;4
2900;SUBMISSION;;VEV_5400;XIREC;22.0;3
2900;SUBMISSION;;VEV_5500;XIREC;8.0;3
2900;;;VEV_6000;XIREC;0.0;3
2900;;;VEV_6500;XIREC;0.0;3
3400;SUBMISSION;;VELVETFRUIT_EXTRACT;XIREC;5247.0;19
3600;SUBMISSION;;VELVETFRUIT_EXTRACT;XIREC;5246.0;16
3800;SUBMISSION;;VELVETFRUIT_EXTRACT;XIREC;5243.0;11
3900;SUBMISSION;;VELVETFRUIT_EXTRACT;XIREC;5246.0;54
5200;;;VELVETFRUIT_EXTRACT;XIREC;5236.0;3
5500;;;VELVETFRUIT_EXTRACT;XIREC;5241.0;8
8000;;SUBMISSION;HYDROGEL_PACK;XIREC;10017.0;6
9000;SUBMISSION;;VEV_4000;XIREC;1227.0;2
9300;;;VELVETFRUIT_EXTRACT;XIREC;5229.0;6
9900;SUBMISSION;;VEV_5200;XIREC;94.0;29
9900;SUBMISSION;;VEV_5300;XIREC;48.0;22
9900;SUBMISSION;;VEV_5400;XIREC;20.0;9
9900;SUBMISSION;;VEV_5400;XIREC;21.0;13
9900;SUBMISSION;;VEV_5500;XIREC;8.0;22
10000;SUBMISSION;;VEV_5200;XIREC;93.0;21
10000;SUBMISSION;;VEV_5300;XIREC;47.0;28
10000;SUBMISSION;;VEV_5400;XIREC;20.0;28
10000;SUBMISSION;;VEV_5500;XIREC;8.0;28
10100;;SUBMISSION;HYDROGEL_PACK;XIREC;10013.0;5
10100;SUBMISSION;;VEV_5200;XIREC;92.0;28
10100;SUBMISSION;;VEV_5300;XIREC;47.0;20
10100;SUBMISSION;;VEV_5400;XIREC;20.0;20
10100;SUBMISSION;;VEV_5500;XIREC;8.0;20
10200;SUBMISSION;;VEV_5200;XIREC;93.0;17
10200;SUBMISSION;;VEV_5300;XIREC;47.0;20
10200;SUBMISSION;;VEV_5400;XIREC;20.0;20
10200;SUBMISSION;;VEV_5500;XIREC;8.0;20
10300;SUBMISSION;;VEV_5300;XIREC;47.0;5
10300;SUBMISSION;;VEV_5400;XIREC;20.0;2
10300;SUBMISSION;;VEV_5500;XIREC;8.0;2
11100;;SUBMISSION;VEV_4000;XIREC;1241.0;1
11900;;;VELVETFRUIT_EXTRACT;XIREC;5237.0;4
14000;;;VELVETFRUIT_EXTRACT;XIREC;5243.0;7
15200;;;VEV_5400;XIREC;21.0;5
15200;;;VEV_5500;XIREC;7.0;5
15200;;;VEV_6000;XIREC;0.0;5
15200;;;VEV_6500;XIREC;0.0;5
15300;;SUBMISSION;HYDROGEL_PACK;XIREC;10025.0;3
15400;SUBMISSION;;VEV_4000;XIREC;1237.0;3
15700;;;HYDROGEL_PACK;XIREC;10009.0;2
16400;;;HYDROGEL_PACK;XIREC;10009.0;4
16500;;SUBMISSION;VEV_5400;XIREC;21.0;7
16500;SUBMISSION;;VEV_5400;XIREC;22.0;7
16700;;SUBMISSION;VEV_5400;XIREC;21.0;6
16700;SUBMISSION;;VEV_5400;XIREC;22.0;6
17000;;;VELVETFRUIT_EXTRACT;XIREC;5239.0;6
17300;;SUBMISSION;VEV_5400;XIREC;21.0;9
17300;SUBMISSION;;VEV_5400;XIREC;22.0;9
18000;;SUBMISSION;VEV_5400;XIREC;20.0;20
18000;SUBMISSION;;VEV_5400;XIREC;21.0;20
18100;;SUBMISSION;VEV_5400;XIREC;20.0;17
18100;SUBMISSION;;VEV_5400;XIREC;21.0;17
18600;;SUBMISSION;VEV_4000;XIREC;1242.0;3
19900;;;VELVETFRUIT_EXTRACT;XIREC;5236.0;7
20300;;;HYDROGEL_PACK;XIREC;10002.0;5
20500;;;HYDROGEL_PACK;XIREC;10000.0;3
20700;;;VELVETFRUIT_EXTRACT;XIREC;5238.0;5
22500;;;VELVETFRUIT_EXTRACT;XIREC;5234.0;4
23200;;;VELVETFRUIT_EXTRACT;XIREC;5234.0;4
23300;;;HYDROGEL_PACK;XIREC;9997.0;2
24100;SUBMISSION;;HYDROGEL_PACK;XIREC;9995.0;5
24400;SUBMISSION;;VEV_4000;XIREC;1230.0;1
25800;;SUBMISSION;VEV_5500;XIREC;6.0;17
25800;SUBMISSION;;VEV_5500;XIREC;7.0;17
26000;;SUBMISSION;VEV_5500;XIREC;6.0;27
26000;SUBMISSION;;VEV_5500;XIREC;7.0;27
26100;;SUBMISSION;VEV_5500;XIREC;6.0;22
26100;SUBMISSION;;VEV_5500;XIREC;7.0;22
26100;;;VELVETFRUIT_EXTRACT;XIREC;5227.0;5
26200;;SUBMISSION;VEV_5500;XIREC;6.0;18
26200;SUBMISSION;;VEV_5500;XIREC;7.0;18
26300;;SUBMISSION;VEV_5500;XIREC;6.0;21
26300;SUBMISSION;;VEV_5500;XIREC;7.0;21
27300;;;VELVETFRUIT_EXTRACT;XIREC;5230.0;3
28400;SUBMISSION;;HYDROGEL_PACK;XIREC;9995.0;14
28400;;;VELVETFRUIT_EXTRACT;XIREC;5230.0;8
28500;SUBMISSION;;HYDROGEL_PACK;XIREC;9994.0;10
28500;;;HYDROGEL_PACK;XIREC;9994.0;5
28600;SUBMISSION;;HYDROGEL_PACK;XIREC;9991.0;12
28600;SUBMISSION;;HYDROGEL_PACK;XIREC;9994.0;29
28700;SUBMISSION;;HYDROGEL_PACK;XIREC;9992.0;13
28700;SUBMISSION;;HYDROGEL_PACK;XIREC;9995.0;24
28800;SUBMISSION;;HYDROGEL_PACK;XIREC;9991.0;7
29100;;;HYDROGEL_PACK;XIREC;9973.0;6
29300;;SUBMISSION;VEV_5500;XIREC;6.0;25
29300;SUBMISSION;;VEV_5500;XIREC;7.0;25
29800;;;VELVETFRUIT_EXTRACT;XIREC;5232.0;4
31700;;;VEV_5400;XIREC;18.0;5
31700;;;VEV_5500;XIREC;6.0;5
31700;;;VEV_6000;XIREC;0.0;5
31700;;;VEV_6500;XIREC;0.0;5
32400;;SUBMISSION;VEV_5500;XIREC;6.0;22
32400;SUBMISSION;;VEV_5500;XIREC;7.0;22
32500;;SUBMISSION;VEV_5500;XIREC;6.0;25
32500;SUBMISSION;;VEV_5500;XIREC;7.0;25
32600;;SUBMISSION;VEV_5500;XIREC;6.0;21
32600;SUBMISSION;;VEV_5500;XIREC;7.0;21
32700;;SUBMISSION;VEV_5400;XIREC;18.0;18
32700;SUBMISSION;;VEV_5400;XIREC;19.0;18
32700;;SUBMISSION;VEV_5500;XIREC;6.0;18
32700;SUBMISSION;;VEV_5500;XIREC;7.0;18
32800;;SUBMISSION;VEV_5400;XIREC;18.0;29
32800;SUBMISSION;;VEV_5400;XIREC;19.0;29
32800;;SUBMISSION;VEV_5500;XIREC;6.0;29
32800;SUBMISSION;;VEV_5500;XIREC;7.0;29
32900;;SUBMISSION;VEV_5400;XIREC;18.0;27
32900;SUBMISSION;;VEV_5400;XIREC;19.0;27
32900;;SUBMISSION;VEV_5500;XIREC;6.0;27
32900;SUBMISSION;;VEV_5500;XIREC;7.0;27
33000;;SUBMISSION;VEV_5400;XIREC;18.0;26
33000;SUBMISSION;;VEV_5400;XIREC;19.0;26
33000;;SUBMISSION;VEV_5500;XIREC;6.0;26
33000;SUBMISSION;;VEV_5500;XIREC;7.0;26
33100;;SUBMISSION;VEV_5500;XIREC;6.0;25
33100;SUBMISSION;;VEV_5500;XIREC;7.0;25
33200;;SUBMISSION;VEV_5500;XIREC;6.0;27
33200;SUBMISSION;;VEV_5500;XIREC;7.0;27
33300;;SUBMISSION;VEV_5500;XIREC;6.0;19
33300;SUBMISSION;;VEV_5500;XIREC;7.0;19
33300;;;VELVETFRUIT_EXTRACT;XIREC;5233.0;6
33400;;SUBMISSION;VEV_5500;XIREC;6.0;29
33400;SUBMISSION;;VEV_5500;XIREC;7.0;29
33500;;SUBMISSION;VEV_5500;XIREC;6.0;22
33500;SUBMISSION;;VEV_5500;XIREC;7.0;22
33600;;SUBMISSION;VEV_5500;XIREC;6.0;28
33600;SUBMISSION;;VEV_5500;XIREC;7.0;28
33700;;SUBMISSION;VEV_5500;XIREC;6.0;20
33700;SUBMISSION;;VEV_5500;XIREC;7.0;20
33800;;SUBMISSION;VEV_5500;XIREC;6.0;22
33800;SUBMISSION;;VEV_5500;XIREC;7.0;22
33900;;SUBMISSION;VEV_5400;XIREC;18.0;19
33900;SUBMISSION;;VEV_5400;XIREC;19.0;19
33900;;SUBMISSION;VEV_5500;XIREC;6.0;19
