timestamp;buyer;seller;symbol;currency;price;quantity
1300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10004;9
1500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;10
1600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;13
1700;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1292;2
1900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;10
2000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;14
3700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;10
3800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10003;14
8700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1305;2
10600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5295;3
14200;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5292;5
17100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5284;5
18600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5276;3
20100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5278;5
22800;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1278;3
25700;SUBMISSION;;VEV_5200;SEASHELLS;101;30
25800;SUBMISSION;;VEV_5200;SEASHELLS;101;8
25800;SUBMISSION;;VEV_5200;SEASHELLS;102;12
25900;SUBMISSION;;VEV_5200;SEASHELLS;101;20
28000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
28500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5272;7
30600;SUBMISSION;;VEV_5100;SEASHELLS;176;7
30600;SUBMISSION;;VEV_5100;SEASHELLS;177;18
31300;SUBMISSION;;VEV_5100;SEASHELLS;176;25
32700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5266;5
33400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5269;3
39100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5259;5
39500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5258;4
39700;SUBMISSION;;VEV_5000;SEASHELLS;263;7
39700;SUBMISSION;;VEV_5000;SEASHELLS;264;14
39700;SUBMISSION;;VEV_5300;SEASHELLS;42;6
39700;SUBMISSION;;VEV_5300;SEASHELLS;43;12
39800;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;3
39900;SUBMISSION;;VEV_5100;SEASHELLS;173;18
40200;SUBMISSION;;VEV_4000;SEASHELLS;1258;3
40200;SUBMISSION;;VEV_4000;SEASHELLS;1270;13
40200;SUBMISSION;;VEV_4000;SEASHELLS;1272;14
40200;SUBMISSION;;VEV_4500;SEASHELLS;758;3
40200;SUBMISSION;;VEV_4500;SEASHELLS;767;6
40200;SUBMISSION;;VEV_4500;SEASHELLS;769;12
40200;SUBMISSION;;VEV_5000;SEASHELLS;261;3
40200;SUBMISSION;;VEV_5000;SEASHELLS;264;6
40200;SUBMISSION;;VEV_5000;SEASHELLS;265;12
40500;SUBMISSION;;VEV_5000;SEASHELLS;262;11
40500;SUBMISSION;;VEV_5000;SEASHELLS;263;16
40500;SUBMISSION;;VEV_5300;SEASHELLS;42;25
40600;SUBMISSION;;VEV_4000;SEASHELLS;1266;11
40600;SUBMISSION;;VEV_4000;SEASHELLS;1268;19
40600;SUBMISSION;;VEV_4500;SEASHELLS;763;6
40600;SUBMISSION;;VEV_4500;SEASHELLS;765;21
40600;SUBMISSION;;VEV_5300;SEASHELLS;41;21
40800;SUBMISSION;;VEV_5400;SEASHELLS;13;20
40900;SUBMISSION;;VEV_5400;SEASHELLS;13;20
41000;SUBMISSION;;VEV_5400;SEASHELLS;12;10
41000;SUBMISSION;;VEV_5400;SEASHELLS;13;19
41100;SUBMISSION;;VEV_4500;SEASHELLS;759;6
41100;SUBMISSION;;VEV_4500;SEASHELLS;761;12
43200;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5248;6
48200;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5249;7
48400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5248;12
49700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5251;7
50000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5255;4
55100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5248;4
56400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5251;5
60600;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1244;2
61400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;12
62400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5247;5
67600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;7
68000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;5
69400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5256;8
70200;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1262;1
74900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5258;8
76100;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1252;2
77100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5256;5
78900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5257;6
80000;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5258;8
84100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5255;3
86100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;6
87400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
88200;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1252;3
88300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
89600;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1252;2
91700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5251;6
92700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;5
93700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;4
95700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;8
96600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5254;4
98400;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;8
99400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5252;16
101300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;4
101900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5251;3
102200;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5254;4
103800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5252;8
104600;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1256;1
106800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1244;2
108800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1249;3
109400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5253;8
111600;SUBMISSION;Mark 22;VELVETFRUIT_EXTRACT;SEASHELLS;5245;6
117400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;20
118100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5234;23
119700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5240;6
122400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5242;5
123100;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1250;3
124700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5241;4
125700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1244;1
127100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5241;7
129000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5239;8
129800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1238;1
132500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5252;3
135900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;6
139400;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1249;1
140700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1246;2
141900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5237;6
142700;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10014;6
143600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5244;4
144500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;7
145100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5244;5
145500;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1240;2
148800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1239;2
151600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;7
158000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;8
159200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5232;10
160000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5235;8
165300;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1246;3
165600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;6
167900;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1237;1
169400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5240;10
170900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5248;5
172200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5246;10
174800;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5252;5
175100;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1254;3
175300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5249;7
176700;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1243;1
180300;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1253;3
181200;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1240;2
182100;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1242;3
182600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
183100;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1242;3
186200;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5243;8
190700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5248;3
191300;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1254;1
191900;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1241;1
192600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5248;6
195800;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5249;7
196600;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1239;1
197500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;3
199000;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5237;3
201600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5240;4
202500;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1242;1
203800;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1240;1
207500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;8
207600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;5
208400;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;5
214000;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5234;5
215700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5233;3
217300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5226;13
218200;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5232;8
224400;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;4
225000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5231;7
229500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5240;4
229500;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1247;2
231300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5239;7
233100;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1227;3
233900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5234;8
234500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;4
234700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1239;2
236100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5229;8
240600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5234;4
240700;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1230;3
241200;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1227;1
243900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;3
245100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5230;8
245700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5233;3
248100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;8
251400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5236;4
252100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5240;3
252700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1245;1
254300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5238;1
260600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5229;6
261700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;4
262500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;5
263200;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1221;3
263400;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5230;3
263500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5229;5
264000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5230;9
268100;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1242;3
268500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5237;3
272300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5234;6
281100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;8
281800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;4
282100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5236;7
283900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;6
284600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5242;7
285700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5244;5
285900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5246;8
287000;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5242;7
289600;SUBMISSION;Mark 22;VELVETFRUIT_EXTRACT;SEASHELLS;5235;6
292600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5229;7
293300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5226;3
