timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-228.0;0.0;0.0;-66.5;0.0;-51.0;-38.0;-22.5;-25.0;-12.5;-12.5;0.0;0.0
200;-587.5;0.0;0.0;-182.0;0.0;-171.0;-95.0;-55.5;-42.0;-21.0;-21.0;0.0;0.0
300;-759.0;0.0;0.0;-182.0;0.0;-217.5;-139.0;-88.5;-66.0;-33.0;-33.0;0.0;0.0
400;-1066.0;0.0;0.0;-182.0;0.0;-365.0;-215.0;-132.0;-86.0;-43.0;-43.0;0.0;0.0
500;-1464.0;0.0;0.0;-200.0;0.0;-389.0;-281.0;-244.0;-200.0;-100.0;-50.0;0.0;0.0
600;-1862.5;0.0;0.0;-298.5;0.0;-489.0;-381.0;-344.0;-200.0;-100.0;-50.0;0.0;0.0
700;-1862.5;0.0;0.0;-298.5;0.0;-489.0;-381.0;-344.0;-200.0;-100.0;-50.0;0.0;0.0
800;-2187.5;0.0;0.0;-323.5;0.0;-589.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
900;-2512.5;0.0;0.0;-348.5;0.0;-689.0;-531.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
1000;-2362.5;0.0;0.0;-348.5;0.0;-689.0;-531.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
1100;-1830.5;0.0;0.0;-366.5;0.0;-489.0;-381.0;-244.0;-200.0;-100.0;-50.0;0.0;0.0
1200;-2004.0;0.0;0.0;-440.0;0.0;-489.0;-381.0;-344.0;-200.0;-100.0;-50.0;0.0;0.0
1300;-2244.0;0.0;0.0;-480.0;0.0;-589.0;-431.0;-344.0;-200.0;-150.0;-50.0;0.0;0.0
1400;-2470.0;0.0;0.0;-606.0;0.0;-589.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
1500;-2822.0;0.0;0.0;-658.0;0.0;-689.0;-531.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
1600;-2872.0;0.0;0.0;-658.0;0.0;-689.0;-581.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
1700;-2986.0;0.0;0.0;-772.0;0.0;-689.0;-581.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
1800;-3020.0;0.0;0.0;-856.0;0.0;-689.0;-531.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
1900;-2820.0;0.0;0.0;-856.0;0.0;-689.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
2000;-2662.0;0.0;0.0;-898.0;0.0;-589.0;-431.0;-344.0;-200.0;-150.0;-50.0;0.0;0.0
2100;-2946.0;0.0;0.0;-982.0;0.0;-689.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
2200;-3082.5;0.0;0.0;-1118.5;0.0;-689.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
2300;-2814.0;0.0;0.0;-1050.0;0.0;-589.0;-431.0;-344.0;-200.0;-150.0;-50.0;0.0;0.0
2400;-2564.0;0.0;0.0;-950.0;0.0;-539.0;-381.0;-344.0;-200.0;-100.0;-50.0;0.0;0.0
2500;-2914.0;0.0;0.0;-1050.0;0.0;-589.0;-481.0;-344.0;-250.0;-150.0;-50.0;0.0;0.0
2600;-3254.0;0.0;10.0;-1150.0;0.0;-689.0;-531.0;-444.0;-250.0;-150.0;-50.0;0.0;0.0
2700;-3304.0;0.0;10.0;-1150.0;0.0;-689.0;-531.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
2800;-3650.0;0.0;14.0;-1250.0;0.0;-789.0;-631.0;-444.0;-300.0;-200.0;-50.0;0.0;0.0
2900;-4254.0;0.0;10.0;-1700.0;0.0;-839.0;-631.0;-544.0;-350.0;-150.0;-50.0;0.0;0.0
3000;-3550.0;0.0;14.0;-1250.0;0.0;-789.0;-581.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
3100;-3304.0;0.0;10.0;-1150.0;0.0;-689.0;-531.0;-444.0;-300.0;-150.0;-50.0;0.0;0.0
3200;-3600.0;0.0;14.0;-1250.0;0.0;-789.0;-581.0;-444.0;-300.0;-200.0;-50.0;0.0;0.0
