timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9966;13
0;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9968;23
100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9969;15
100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9971;21
6100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;3
9400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5244;3
14300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;6
14800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5233;6
19300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5227;5
20200;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5225;5
24100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5232;10
29300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;4
31700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;4
32600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5239;5
36500;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5233;7
38700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5229;8
39400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5232;10
39400;Mark 22;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5233;5
39800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5233;4
43600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5230;4
48900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5242;6
49800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;3
51700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5244;4
59600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;4
60300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;5
62100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5244;6
63200;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5241;8
64200;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;6
65700;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5241;8
67300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5244;20
67700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5249;4
73400;Mark 22;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;8
74300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5237;6
74400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5236;4
77300;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5240;8
77400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;10
82300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5236;3
83200;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5236;7
87900;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5240;3
91100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;6
92000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5242;8
93700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5245;6
93800;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5245;7
100500;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5247;4
104400;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5251;6
