timestamp;buyer;seller;symbol;currency;price;quantity
49600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9993;15
49600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9977;15
54300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9960;10
66300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9959;13
73600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9986;10
73600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9970;10
73700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9986;12
73800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9989;12
73800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9973;12
73900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9988;12
74000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9988;11
74100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9987;14
74200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9990;14
74300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;13
78100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9996;9
82600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9984;10
176400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9993;13
181500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10003;11
181600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10004;10
181700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;10
181800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;12
181900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10007;12
182000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;11
182100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;15
231100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9998;6
231200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;12
255300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9989;13
380600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9945;14
446600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9942;15
446600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9926;15
446700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9944;10
446700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9928;10
446800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9945;13
446800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9936;6
446800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9929;13
478400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9970;12
478500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9970;10
478600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9972;11
478600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9956;11
478800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;12
478900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;15
479000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9972;11
479100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9973;13
479100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9964;9
479100;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9962;5
485200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9971;13
485600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9971;13
499100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9994;11
509700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;12
509800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;12
509900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10005;15
515400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10002;10
515500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10004;12
551000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;10
616100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9987;14
616200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9984;15
626500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;13
626700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;11
664400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;10
664500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;15
733200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10027;10
733200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10043;10
733300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10026;14
733300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10042;14
837800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10016;12
837800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10032;12
837900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10029;13
837900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10013;13
837900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10031;8
838000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;15
838000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10028;15
838100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10025;15
838100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10009;15
862300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10047;13
862300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10063;13
862800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10040;10
862800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10056;10
862900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10045;10
862900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10038;10
880200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;11
897800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9992;11
949700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10024;10
955300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10014;15
