timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-288.0;42.0;-330.0
100;-577.0;42.0;-619.0
200;-513.0;42.0;-555.0
300;-630.0;45.0;-675.0
400;-640.0;35.0;-675.0
500;-631.0;44.0;-675.0
600;-511.0;44.0;-555.0
700;-633.0;42.0;-675.0
800;-633.0;42.0;-675.0
900;-747.0;48.0;-795.0
1000;-626.0;49.0;-675.0
1100;-546.0;49.0;-595.0
1200;-549.0;46.0;-595.0
1300;-549.0;46.0;-595.0
1400;-549.0;46.0;-595.0
1500;-547.0;48.0;-595.0
1600;-547.0;48.0;-595.0
1700;-427.0;48.0;-475.0
1800;-420.0;55.0;-475.0
1900;-547.0;48.0;-595.0
2000;-507.0;48.0;-555.0
2100;-469.0;46.0;-515.0
2200;-467.0;48.0;-515.0
2300;-349.0;46.0;-395.0
2400;-469.0;46.0;-515.0
2500;-469.0;46.0;-515.0
2600;-469.0;46.0;-515.0
2700;-872.0;43.0;-915.0
2800;-467.0;48.0;-515.0
2900;-67.0;48.0;-115.0
3000;-429.0;46.0;-475.0
3100;-391.0;44.0;-435.0
3200;-389.0;46.0;-435.0
3300;-272.0;43.0;-315.0
3400;-389.0;46.0;-435.0
3500;-389.0;46.0;-435.0
3600;-368.0;67.0;-435.0
3700;-248.0;67.0;-315.0
3800;-383.0;52.0;-435.0
3900;-368.0;67.0;-435.0
4000;-330.5;64.5;-395.0
4100;-418.0;57.0;-475.0
4200;-277.0;78.0;-355.0
4300;-139.5;95.5;-235.0
4400;-390.0;85.0;-475.0
4500;-259.5;95.5;-355.0
4600;-277.0;78.0;-355.0
4700;-390.0;85.0;-475.0
4800;-437.0;78.0;-515.0
4900;-270.0;85.0;-355.0
5000;-103.0;92.0;-195.0
5100;-110.0;85.0;-195.0
5200;-190.0;85.0;-275.0
5300;-190.0;85.0;-275.0
5400;-70.0;85.0;-155.0
5500;-197.0;78.0;-275.0
5600;-183.0;92.0;-275.0
5700;-590.0;85.0;-675.0
5800;-597.0;78.0;-675.0
5900;-190.0;85.0;-275.0
6000;-270.0;85.0;-355.0
6100;-99.5;95.5;-195.0
6200;-110.0;85.0;-195.0
6300;-110.0;85.0;-195.0
6400;-103.0;92.0;-195.0
6500;-223.0;92.0;-315.0
6600;-103.0;92.0;-195.0
6700;-103.0;92.0;-195.0
6800;-103.0;92.0;-195.0
6900;-96.0;99.0;-195.0
7000;-186.5;88.5;-275.0
