timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;51.0;51.0;0.0
200;51.0;51.0;0.0
300;36.0;36.0;0.0
400;48.0;48.0;0.0
500;57.0;57.0;0.0
600;55.0;55.0;0.0
700;58.0;58.0;0.0
800;54.0;54.0;0.0
900;54.0;54.0;0.0
1000;56.0;56.0;0.0
1100;56.0;56.0;0.0
1200;56.0;56.0;0.0
1300;56.0;56.0;0.0
1400;56.0;56.0;0.0
1500;56.0;56.0;0.0
1600;56.0;56.0;0.0
1700;55.0;55.0;0.0
1800;62.0;62.0;0.0
1900;54.0;54.0;0.0
2000;54.0;54.0;0.0
2100;52.0;52.0;0.0
2200;52.0;52.0;0.0
2300;52.0;52.0;0.0
2400;51.0;51.0;0.0
2500;54.0;54.0;0.0
2600;57.0;57.0;0.0
2700;46.0;54.0;-8.0
2800;92.0;52.0;40.0
2900;133.0;53.0;80.0
3000;106.0;54.0;52.0
3100;96.0;56.0;40.0
3200;96.0;56.0;40.0
3300;96.0;56.0;40.0
3400;96.0;56.0;40.0
3500;102.0;58.0;44.0
3600;125.0;77.0;48.0
3700;130.0;82.0;48.0
3800;75.0;27.0;48.0
3900;110.0;62.0;48.0
4000;130.0;82.0;48.0
4100;75.0;27.0;48.0
4200;115.0;67.0;48.0
4300;130.0;82.0;48.0
4400;115.0;67.0;48.0
4500;104.0;52.0;52.0
4600;108.0;52.0;56.0
4700;123.0;67.0;56.0
4800;107.5;89.5;18.0
4900;115.0;67.0;48.0
5000;115.0;67.0;48.0
5100;137.5;89.5;48.0
5200;137.5;89.5;48.0
5300;130.0;82.0;48.0
5400;92.5;44.5;48.0
5500;116.5;44.5;72.0
5600;127.0;67.0;60.0
5700;127.0;67.0;60.0
5800;127.0;67.0;60.0
5900;112.0;52.0;60.0
6000;109.0;67.0;42.0
6100;101.5;59.5;42.0
6200;127.0;67.0;60.0
6300;149.5;89.5;60.0
6400;109.0;67.0;42.0
6500;109.0;67.0;42.0
6600;109.0;67.0;42.0
6700;146.5;74.5;72.0
6800;139.0;67.0;72.0
6900;142.0;52.0;90.0
7000;139.0;67.0;72.0
7100;146.5;74.5;72.0
7200;90.5;18.5;72.0
7300;133.0;61.0;72.0
7400;133.0;61.0;72.0
7500;139.0;61.0;78.0
7600;247.0;163.0;84.0
7700;145.0;61.0;84.0
7800;144.0;78.0;66.0
7900;162.0;78.0;84.0
8000;163.0;61.0;102.0
8100;179.0;95.0;84.0
8200;187.5;103.5;84.0
8300;162.0;78.0;84.0
8400;162.0;78.0;84.0
8500;151.0;61.0;90.0
8600;157.0;61.0;96.0
8700;175.0;61.0;114.0
8800;183.5;69.5;114.0
8900;242.0;146.0;96.0
9000;242.0;146.0;96.0
9100;119.0;23.0;96.0
9200;205.0;91.0;114.0
9300;170.0;74.0;96.0
9400;249.0;129.0;120.0
9500;185.0;101.0;84.0
9600;251.0;143.0;108.0
9700;250.5;142.5;108.0
9800;251.0;143.0;108.0
9900;171.0;143.0;28.0
10000;347.0;199.0;148.0
10100;347.0;199.0;148.0
10200;357.5;209.5;148.0
10300;354.0;206.0;148.0
10400;361.0;213.0;148.0
10500;357.0;199.0;158.0
10600;374.0;206.0;168.0
10700;474.0;206.0;268.0
10800;367.0;199.0;168.0
10900;367.0;199.0;168.0
11000;335.5;167.5;168.0
11100;360.0;192.0;168.0
11200;330.0;192.0;138.0
11300;353.0;185.0;168.0
11400;393.0;185.0;208.0
11500;363.0;185.0;178.0
11600;373.0;185.0;188.0
11700;380.0;192.0;188.0
11800;383.5;195.5;188.0
11900;380.0;192.0;188.0
12000;373.0;185.0;188.0
12100;343.0;185.0;158.0
12200;383.5;195.5;188.0
12300;353.5;195.5;158.0
12400;373.0;185.0;188.0
12500;383.0;185.0;198.0
12600;224.0;185.0;39.0
12700;397.5;174.5;223.0
12800;408.0;185.0;223.0
12900;373.5;185.0;188.5
13000;408.0;185.0;223.0
13100;408.0;185.0;223.0
13200;408.0;185.0;223.0
13300;415.0;192.0;223.0
13400;415.0;192.0;223.0
13500;447.0;178.0;269.0
13600;438.0;192.0;246.0
13700;427.5;181.5;246.0
13800;427.5;181.5;246.0
13900;413.5;167.5;246.0
14000;448.0;167.5;280.5
14100;434.5;188.5;246.0
14200;458.5;178.0;280.5
14300;424.0;178.0;246.0
14400;323.0;178.0;145.0
14500;336.0;157.0;179.0
14600;425.0;178.0;247.0
14700;400.5;153.5;247.0
14800;418.0;171.0;247.0
14900;432.0;185.0;247.0
15000;397.0;150.0;247.0
15100;506.5;259.5;247.0
15200;548.5;250.5;298.0
15300;502.0;255.0;247.0
15400;496.0;249.0;247.0
15500;467.5;203.5;264.0
15600;526.0;262.0;264.0
15700;543.0;262.0;281.0
15800;536.5;255.5;281.0
15900;543.0;262.0;281.0
16000;549.5;268.5;281.0
16100;466.0;236.0;230.0
16200;492.0;262.0;230.0
16300;730.0;262.0;468.0
16400;543.0;262.0;281.0
16500;579.5;281.5;298.0
16600;509.0;262.0;247.0
16700;496.0;249.0;247.0
16800;577.0;262.0;315.0
16900;526.0;262.0;264.0
17000;577.0;262.0;315.0
17100;577.0;262.0;315.0
17200;577.0;262.0;315.0
17300;613.5;281.5;332.0
17400;398.5;275.0;123.5
17500;620.5;275.0;345.5
17600;645.5;281.5;364.0
17700;645.5;281.5;364.0
17800;626.0;262.0;364.0
17900;639.0;275.0;364.0
18000;652.0;288.0;364.0
18100;639.0;275.0;364.0
18200;639.0;275.0;364.0
18300;639.0;275.0;364.0
18400;639.0;275.0;364.0
18500;689.0;306.5;382.5
18600;736.0;335.0;401.0
18700;719.0;392.0;327.0
18800;680.5;335.0;345.5
18900;858.0;401.5;456.5
19000;764.5;363.5;401.0
19100;736.0;335.0;401.0
19200;671.0;325.5;345.5
19300;671.0;325.5;345.5
19400;680.5;335.0;345.5
19500;810.0;335.0;475.0
19600;699.0;335.0;364.0
19700;773.0;335.0;438.0
19800;736.5;354.0;382.5
19900;650.0;354.0;296.0
20000;638.0;354.0;284.0
20100;570.0;354.0;216.0
20200;450.0;354.0;96.0
20300;591.0;335.0;256.0
20400;629.0;373.0;256.0
20500;509.0;373.0;136.0
20600;549.0;373.0;176.0
20700;568.0;392.0;176.0
20800;669.0;373.0;296.0
20900;697.5;401.5;296.0
21000;539.5;363.5;176.0
21100;568.0;392.0;176.0
21200;625.0;449.0;176.0
21300;625.0;449.0;176.0
21400;549.0;373.0;176.0
21500;551.0;335.0;216.0
21600;431.0;335.0;96.0
21700;591.0;335.0;256.0
21800;610.0;354.0;256.0
21900;480.5;344.5;136.0
22000;619.5;363.5;256.0
22100;638.5;382.5;256.0
22200;749.0;373.0;376.0
22300;629.0;373.0;256.0
22400;648.0;392.0;256.0
22500;669.0;373.0;296.0
22600;709.0;373.0;336.0
22700;709.0;373.0;336.0
22800;800.5;344.5;456.0
22900;598.5;382.5;216.0
23000;709.0;373.0;336.0
23100;269.0;373.0;-104.0
23200;897.0;441.0;456.0
23300;711.0;375.0;336.0
23400;871.0;375.0;496.0
23500;751.0;375.0;376.0
23600;791.0;375.0;416.0
23700;809.0;393.0;416.0
23800;809.0;393.0;416.0
23900;807.0;391.0;416.0
24000;831.0;415.0;416.0
24100;819.0;403.0;416.0
24200;827.0;411.0;416.0
24300;735.0;439.0;296.0
24400;849.0;433.0;416.0
24500;1015.0;439.0;576.0
24600;1076.0;460.0;616.0
24700;796.0;460.0;336.0
24800;1077.5;461.5;616.0
24900;956.0;460.0;496.0
25000;955.0;459.0;496.0
25100;922.5;426.5;496.0
25200;972.0;476.0;496.0
25300;972.0;476.0;496.0
25400;1127.5;471.5;656.0
25500;1021.0;485.0;536.0
25600;1061.0;485.0;576.0
25700;901.0;485.0;416.0
25800;1074.5;498.5;576.0
25900;1070.0;494.0;576.0
26000;1061.0;485.0;576.0
26100;1070.0;494.0;576.0
26200;1070.0;494.0;576.0
26300;1043.0;467.0;576.0
26400;1083.5;507.5;576.0
26500;1114.5;498.5;616.0
26600;994.5;498.5;496.0
26700;990.0;494.0;496.0
26800;1179.5;523.5;656.0
26900;1178.0;522.0;656.0
27000;1174.0;518.0;656.0
27100;1174.0;518.0;656.0
27200;1175.0;519.0;656.0
27300;1176.5;520.5;656.0
27400;1175.0;519.0;656.0
27500;1216.0;520.0;696.0
27600;1376.5;520.5;856.0
27700;1255.0;519.0;736.0
27800;1256.5;520.5;736.0
27900;1255.0;519.0;736.0
28000;1250.5;514.5;736.0
28100;1374.5;518.5;856.0
28200;1253.5;517.5;736.0
28300;1415.0;519.0;896.0
28400;1255.0;519.0;736.0
28500;1415.0;519.0;896.0
28600;1336.0;520.0;816.0
28700;1494.5;518.5;976.0
28800;1336.0;520.0;816.0
28900;1456.0;520.0;936.0
29000;1336.0;520.0;816.0
29100;1336.0;520.0;816.0
29200;1336.0;520.0;816.0
29300;1336.0;520.0;816.0
29400;1336.0;520.0;816.0
29500;1496.0;520.0;976.0
29600;1416.0;520.0;896.0
29700;1416.5;520.5;896.0
29800;1416.0;520.0;896.0
29900;1416.0;520.0;896.0
30000;1414.5;518.5;896.0
30100;1416.0;520.0;896.0
30200;1415.0;519.0;896.0
30300;1415.0;519.0;896.0
30400;1429.0;533.0;896.0
30500;1589.0;533.0;1056.0
30600;1513.5;537.5;976.0
30700;1512.0;536.0;976.0
30800;1506.0;530.0;976.0
30900;1504.5;528.5;976.0
31000;1509.0;533.0;976.0
31100;1510.5;534.5;976.0
31200;1510.5;534.5;976.0
31300;1510.5;534.5;976.0
31400;1509.0;533.0;976.0
31500;1552.0;536.0;1016.0
31600;1589.0;533.0;1056.0
31700;1706.0;530.0;1176.0
31800;1592.0;536.0;1056.0
31900;1587.5;531.5;1056.0
32000;1586.0;530.0;1056.0
32100;1469.0;533.0;936.0
32200;1466.0;530.0;936.0
32300;1752.0;536.0;1216.0
32400;1586.0;530.0;1056.0
32500;2066.0;530.0;1536.0
32600;1670.5;534.5;1136.0
32700;1666.0;530.0;1136.0
32800;1665.0;529.0;1136.0
32900;1725.0;589.0;1136.0
33000;1720.0;584.0;1136.0
33100;1720.0;584.0;1136.0
33200;1715.0;579.0;1136.0
33300;2180.0;604.0;1576.0
33400;1675.0;539.0;1136.0
33500;1765.0;589.0;1176.0
33600;1595.0;579.0;1016.0
33700;1815.0;599.0;1216.0
33800;1815.0;599.0;1216.0
33900;1815.0;599.0;1216.0
34000;1864.0;648.0;1216.0
34100;1864.0;648.0;1216.0
34200;1979.5;643.5;1336.0
34300;1864.0;648.0;1216.0
34400;1864.0;648.0;1216.0
34500;2091.0;715.0;1376.0
34600;2069.0;693.0;1376.0
34700;1989.0;693.0;1296.0
34800;2000.0;704.0;1296.0
34900;2120.0;704.0;1416.0
35000;1869.0;693.0;1176.0
35100;1891.0;715.0;1176.0
35200;2000.0;704.0;1296.0
35300;2000.0;704.0;1296.0
35400;2000.0;704.0;1296.0
35500;2040.0;704.0;1336.0
35600;2200.0;704.0;1496.0
35700;2480.0;704.0;1776.0
35800;1491.0;715.0;776.0
35900;2080.0;704.0;1376.0
36000;2085.5;709.5;1376.0
36100;2536.5;720.5;1816.0
36200;2080.0;704.0;1376.0
36300;2080.0;704.0;1376.0
36400;2080.0;704.0;1376.0
36500;2141.0;725.0;1416.0
36600;2165.0;709.0;1456.0
36700;2173.0;717.0;1456.0
36800;2189.0;733.0;1456.0
36900;2193.0;737.0;1456.0
37000;2197.0;741.0;1456.0
37100;2181.0;725.0;1456.0
37200;2181.0;725.0;1456.0
37300;2181.0;725.0;1456.0
37400;2173.0;717.0;1456.0
37500;2321.0;705.0;1616.0
37600;2373.0;717.0;1656.0
37700;2093.0;717.0;1376.0
37800;2137.0;761.0;1376.0
37900;2273.0;737.0;1536.0
38000;2273.0;737.0;1536.0
38100;2291.0;755.0;1536.0
38200;2411.0;755.0;1656.0
38300;2393.0;737.0;1656.0
38400;1854.0;758.0;1096.0
38500;2214.0;758.0;1456.0
38600;2387.5;771.5;1616.0
38700;2383.0;767.0;1616.0
38800;2254.0;758.0;1496.0
38900;2374.0;758.0;1616.0
39000;2267.5;771.5;1496.0
39100;2416.0;800.0;1616.0
