timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-288.0;42.0;-330.0
100;-335.0;42.0;-377.0
200;-209.0;42.0;-251.0
300;-321.0;45.0;-366.0
400;-396.0;35.0;-431.0
500;-387.0;44.0;-431.0
600;-297.0;44.0;-341.0
700;-447.5;42.0;-489.5
800;-499.5;42.0;-541.5
900;-633.0;48.0;-681.0
1000;-512.0;49.0;-561.0
1100;-432.0;49.0;-481.0
1200;-435.0;46.0;-481.0
1300;-435.0;46.0;-481.0
1400;-435.0;46.0;-481.0
1500;-433.0;48.0;-481.0
1600;-433.0;48.0;-481.0
1700;-313.0;48.0;-361.0
1800;-306.0;55.0;-361.0
1900;-433.0;48.0;-481.0
2000;-393.0;48.0;-441.0
2100;-355.0;46.0;-401.0
2200;-353.0;48.0;-401.0
2300;-235.0;46.0;-281.0
2400;-355.0;46.0;-401.0
2500;-355.0;46.0;-401.0
2600;-355.0;46.0;-401.0
2700;-758.0;43.0;-801.0
2800;-353.0;48.0;-401.0
2900;47.0;48.0;-1.0
3000;-315.0;46.0;-361.0
3100;-277.0;44.0;-321.0
3200;-275.0;46.0;-321.0
3300;-158.0;43.0;-201.0
3400;-275.0;46.0;-321.0
3500;-275.0;46.0;-321.0
3600;-254.0;67.0;-321.0
3700;-134.0;67.0;-201.0
3800;-269.0;52.0;-321.0
3900;-254.0;67.0;-321.0
4000;-216.5;64.5;-281.0
4100;-304.0;57.0;-361.0
4200;-163.0;78.0;-241.0
4300;-25.5;95.5;-121.0
4400;-276.0;85.0;-361.0
4500;-145.5;95.5;-241.0
4600;-163.0;78.0;-241.0
4700;-276.0;85.0;-361.0
4800;-323.0;78.0;-401.0
4900;-156.0;85.0;-241.0
5000;11.0;92.0;-81.0
5100;4.0;85.0;-81.0
5200;-76.0;85.0;-161.0
5300;-76.0;85.0;-161.0
5400;44.0;85.0;-41.0
5500;-83.0;78.0;-161.0
5600;-69.0;92.0;-161.0
5700;-476.0;85.0;-561.0
5800;-483.0;78.0;-561.0
5900;-76.0;85.0;-161.0
6000;-156.0;85.0;-241.0
6100;14.5;95.5;-81.0
6200;4.0;85.0;-81.0
6300;4.0;85.0;-81.0
6400;11.0;92.0;-81.0
6500;-109.0;92.0;-201.0
6600;11.0;92.0;-81.0
6700;11.0;92.0;-81.0
6800;11.0;92.0;-81.0
6900;18.0;99.0;-81.0
7000;-72.5;88.5;-161.0
7100;91.0;92.0;-1.0
7200;59.5;60.5;-1.0
7300;80.5;81.5;-1.0
7400;84.0;85.0;-1.0
7500;204.0;85.0;119.0
7600;110.0;111.0;-1.0
7700;99.0;100.0;-1.0
7800;102.0;103.0;-1.0
7900;-21.0;100.0;-121.0
8000;-17.0;104.0;-121.0
8100;-19.0;102.0;-121.0
8200;61.0;102.0;-41.0
8300;58.0;99.0;-41.0
8400;181.0;102.0;79.0
8500;181.0;102.0;79.0
8600;179.0;100.0;79.0
8700;180.0;101.0;79.0
8800;180.0;101.0;79.0
8900;61.0;102.0;-41.0
9000;221.0;102.0;119.0
9100;375.0;96.0;279.0
9200;381.0;102.0;279.0
9300;259.0;100.0;159.0
9400;265.0;106.0;159.0
9500;265.0;106.0;159.0
9600;187.0;148.0;39.0
9700;301.0;142.0;159.0
9800;313.0;154.0;159.0
9900;-87.0;154.0;-241.0
10000;409.0;210.0;199.0
10100;449.0;210.0;239.0
10200;470.0;231.0;239.0
10300;456.0;217.0;239.0
10400;555.0;196.0;359.0
10500;456.0;217.0;239.0
10600;449.0;210.0;239.0
10700;470.0;231.0;239.0
10800;449.0;210.0;239.0
10900;463.0;224.0;239.0
11000;454.0;175.0;279.0
11100;503.0;224.0;279.0
11200;529.0;210.0;319.0
11300;529.0;210.0;319.0
11400;550.0;231.0;319.0
11500;529.0;210.0;319.0
11600;529.0;210.0;319.0
11700;670.0;231.0;439.0
11800;529.0;210.0;319.0
11900;649.0;210.0;439.0
12000;569.0;210.0;359.0
12100;644.0;245.0;399.0
12200;672.5;273.5;399.0
12300;644.0;245.0;399.0
12400;682.0;283.0;399.0
12500;682.0;283.0;399.0
12600;223.0;264.0;-41.0
12700;543.0;264.0;279.0
12800;552.5;273.5;279.0
12900;663.0;264.0;399.0
13000;703.0;264.0;439.0
13100;743.0;264.0;479.0
13200;762.0;283.0;479.0
13300;762.0;283.0;479.0
13400;743.0;264.0;479.0
13500;623.0;264.0;359.0
13600;743.0;264.0;479.0
13700;743.0;264.0;479.0
13800;743.0;264.0;479.0
13900;1114.5;235.5;879.0
14000;924.0;285.0;639.0
14100;844.0;285.0;559.0
14200;828.0;269.0;559.0
14300;804.0;245.0;559.0
14400;628.0;269.0;359.0
14500;900.0;221.0;679.0
14600;948.0;269.0;679.0
14700;660.0;221.0;439.0
14800;828.0;269.0;559.0
14900;692.0;253.0;439.0
15000;820.0;221.0;599.0
15100;1098.0;339.0;759.0
15200;978.0;339.0;639.0
15300;978.0;339.0;639.0
15400;978.0;339.0;639.0
15500;972.0;333.0;639.0
15600;1108.0;349.0;759.0
15700;996.0;357.0;639.0
15800;992.0;353.0;639.0
15900;992.0;353.0;639.0
16000;1032.0;353.0;679.0
16100;1058.0;339.0;719.0
16200;1068.0;349.0;719.0
16300;1076.0;357.0;719.0
16400;1072.0;353.0;719.0
16500;1198.0;359.0;839.0
16600;1076.0;357.0;719.0
16700;956.0;357.0;599.0
16800;1076.0;357.0;719.0
16900;1196.0;357.0;839.0
17000;1192.0;353.0;839.0
17100;1152.0;353.0;799.0
17200;1032.0;353.0;679.0
17300;1032.0;353.0;679.0
17400;1268.0;349.0;919.0
17500;1152.0;353.0;799.0
17600;1152.0;353.0;799.0
17700;1272.0;353.0;919.0
17800;1028.0;349.0;679.0
17900;1152.0;353.0;799.0
18000;1312.0;353.0;959.0
18100;1346.0;347.0;999.0
18200;1232.0;353.0;879.0
18300;1236.0;357.0;879.0
18400;1228.0;349.0;879.0
18500;1270.0;391.0;879.0
18600;1390.0;391.0;999.0
18700;1425.0;426.0;999.0
18800;1270.0;391.0;879.0
18900;1185.0;426.0;759.0
19000;1300.0;381.0;919.0
19100;1350.0;391.0;959.0
19200;1360.0;401.0;959.0
19300;1360.0;401.0;959.0
19400;1360.0;401.0;959.0
19500;1240.0;401.0;839.0
19600;1240.0;401.0;839.0
19700;1255.0;416.0;839.0
19800;1405.0;446.0;959.0
19900;1212.0;413.0;799.0
20000;1292.0;413.0;879.0
20100;1572.0;413.0;1159.0
20200;1566.0;407.0;1159.0
20300;1581.0;422.0;1159.0
20400;1458.0;419.0;1039.0
20500;1458.0;419.0;1039.0
20600;1458.0;419.0;1039.0
20700;1464.0;425.0;1039.0
20800;1578.0;419.0;1159.0
20900;1458.0;419.0;1039.0
21000;1492.0;413.0;1079.0
21100;1498.0;419.0;1079.0
21200;1556.0;437.0;1119.0
21300;1532.0;413.0;1119.0
21400;1532.0;413.0;1119.0
21500;1511.0;392.0;1119.0
21600;1532.0;413.0;1119.0
21700;1532.0;413.0;1119.0
21800;1652.0;413.0;1239.0
21900;1652.0;413.0;1239.0
22000;1572.0;413.0;1159.0
22100;1612.0;413.0;1199.0
22200;1615.0;416.0;1199.0
22300;1615.0;416.0;1199.0
22400;1612.0;413.0;1199.0
22500;1612.0;413.0;1199.0
22600;1606.0;407.0;1199.0
22700;1591.0;392.0;1199.0
22800;1618.0;419.0;1199.0
22900;1612.0;413.0;1199.0
23000;1652.0;413.0;1239.0
23100;1252.0;413.0;839.0
23200;1722.0;443.0;1279.0
23300;1698.0;419.0;1279.0
23400;1701.0;422.0;1279.0
23500;1692.0;413.0;1279.0
23600;1701.0;422.0;1279.0
23700;1698.0;419.0;1279.0
23800;1698.0;419.0;1279.0
23900;1855.0;456.0;1399.0
24000;1892.0;453.0;1439.0
24100;1692.0;453.0;1239.0
24200;1811.0;452.0;1359.0
24300;1842.0;483.0;1359.0
24400;1828.0;469.0;1359.0
24500;1841.0;482.0;1359.0
24600;1859.0;500.0;1359.0
24700;1856.5;497.5;1359.0
24800;1744.0;505.0;1239.0
24900;1864.0;505.0;1359.0
25000;1909.0;510.0;1399.0
25100;1944.0;505.0;1439.0
25200;2064.0;505.0;1559.0
25300;1944.0;505.0;1439.0
25400;1944.0;505.0;1439.0
25500;1509.0;510.0;999.0
25600;2069.0;510.0;1559.0
25700;1944.0;505.0;1439.0
25800;1826.5;507.5;1319.0
25900;1824.0;505.0;1319.0
26000;1869.0;510.0;1359.0
26100;2029.0;510.0;1519.0
26200;2024.0;505.0;1519.0
26300;2144.0;505.0;1639.0
26400;1901.5;502.5;1399.0
26500;2429.0;510.0;1919.0
26600;2149.0;510.0;1639.0
26700;2029.0;510.0;1519.0
26800;2121.5;482.5;1639.0
26900;2144.0;505.0;1639.0
27000;2184.0;505.0;1679.0
27100;2104.0;505.0;1599.0
27200;2104.0;505.0;1599.0
27300;2224.0;505.0;1719.0
27400;2104.0;505.0;1599.0
27500;2104.0;505.0;1599.0
27600;2104.0;505.0;1599.0
27700;2104.0;505.0;1599.0
27800;2104.0;505.0;1599.0
27900;2219.0;500.0;1719.0
28000;2032.0;513.0;1519.0
28100;2187.0;508.0;1679.0
28200;2188.0;509.0;1679.0
28300;2188.0;509.0;1679.0
28400;2066.5;507.5;1559.0
28500;2186.5;507.5;1679.0
28600;2186.5;507.5;1679.0
28700;2349.0;510.0;1839.0
28800;2188.0;509.0;1679.0
28900;2188.0;509.0;1679.0
29000;2229.5;510.5;1719.0
29100;2389.5;510.5;1879.0
29200;2388.0;509.0;1879.0
29300;2268.0;509.0;1759.0
29400;2268.0;509.0;1759.0
29500;2268.0;509.0;1759.0
29600;2269.0;510.0;1759.0
29700;2267.0;508.0;1759.0
29800;2267.0;508.0;1759.0
29900;2268.0;509.0;1759.0
30000;2106.5;507.5;1599.0
30100;2348.0;509.0;1839.0
30200;2348.0;509.0;1839.0
30300;2349.5;510.5;1839.0
30400;2349.5;510.5;1839.0
30500;2346.5;507.5;1839.0
30600;2348.0;509.0;1839.0
30700;2349.0;510.0;1839.0
30800;2348.0;509.0;1839.0
30900;2228.0;509.0;1719.0
31000;2388.0;509.0;1879.0
31100;2427.0;508.0;1919.0
31200;2306.5;507.5;1799.0
31300;2428.0;509.0;1919.0
31400;2428.0;509.0;1919.0
31500;2428.0;509.0;1919.0
31600;2428.0;509.0;1919.0
31700;2308.0;509.0;1799.0
31800;2548.0;509.0;2039.0
31900;2426.5;507.5;1919.0
32000;2346.5;507.5;1839.0
32100;2508.0;509.0;1999.0
32200;2509.0;510.0;1999.0
32300;2508.5;509.5;1999.0
32400;2508.5;509.5;1999.0
32500;2908.0;509.0;2399.0
32600;2508.0;509.0;1999.0
32700;2387.0;508.0;1879.0
32800;2510.0;511.0;1999.0
32900;2535.0;536.0;1999.0
33000;2575.0;536.0;2039.0
33100;2735.0;536.0;2199.0
33200;2615.0;536.0;2079.0
33300;2975.0;536.0;2439.0
33400;2620.0;541.0;2079.0
33500;2505.0;546.0;1959.0
33600;2465.0;546.0;1919.0
33700;2615.0;536.0;2079.0
33800;2617.5;538.5;2079.0
33900;2620.0;541.0;2079.0
34000;2714.0;595.0;2119.0
34100;2752.0;593.0;2159.0
34200;2756.0;597.0;2159.0
34300;2756.0;597.0;2159.0
34400;2756.0;597.0;2159.0
