timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-288.0;42.0;-330.0
100;-335.0;42.0;-377.0
200;-209.0;42.0;-251.0
300;-321.0;45.0;-366.0
400;-396.0;35.0;-431.0
500;-387.0;44.0;-431.0
600;-297.0;44.0;-341.0
700;-447.5;42.0;-489.5
800;-499.5;42.0;-541.5
900;-633.0;48.0;-681.0
1000;-512.0;49.0;-561.0
1100;-432.0;49.0;-481.0
1200;-435.0;46.0;-481.0
1300;-435.0;46.0;-481.0
1400;-435.0;46.0;-481.0
1500;-433.0;48.0;-481.0
1600;-433.0;48.0;-481.0
1700;-313.0;48.0;-361.0
1800;-306.0;55.0;-361.0
1900;-433.0;48.0;-481.0
2000;-393.0;48.0;-441.0
2100;-355.0;46.0;-401.0
2200;-353.0;48.0;-401.0
2300;-235.0;46.0;-281.0
2400;-355.0;46.0;-401.0
2500;-355.0;46.0;-401.0
2600;-355.0;46.0;-401.0
2700;-758.0;43.0;-801.0
2800;-353.0;48.0;-401.0
2900;47.0;48.0;-1.0
3000;-315.0;46.0;-361.0
3100;-277.0;44.0;-321.0
3200;-275.0;46.0;-321.0
3300;-158.0;43.0;-201.0
3400;-275.0;46.0;-321.0
3500;-275.0;46.0;-321.0
3600;-254.0;67.0;-321.0
3700;-134.0;67.0;-201.0
3800;-269.0;52.0;-321.0
3900;-254.0;67.0;-321.0
4000;-216.5;64.5;-281.0
4100;-304.0;57.0;-361.0
4200;-163.0;78.0;-241.0
4300;-25.5;95.5;-121.0
4400;-276.0;85.0;-361.0
4500;-145.5;95.5;-241.0
4600;-163.0;78.0;-241.0
4700;-276.0;85.0;-361.0
4800;-323.0;78.0;-401.0
4900;-156.0;85.0;-241.0
5000;11.0;92.0;-81.0
5100;4.0;85.0;-81.0
5200;-76.0;85.0;-161.0
5300;-76.0;85.0;-161.0
5400;44.0;85.0;-41.0
5500;-83.0;78.0;-161.0
5600;-69.0;92.0;-161.0
5700;-476.0;85.0;-561.0
5800;-483.0;78.0;-561.0
5900;-76.0;85.0;-161.0
6000;-156.0;85.0;-241.0
6100;14.5;95.5;-81.0
6200;4.0;85.0;-81.0
6300;4.0;85.0;-81.0
6400;11.0;92.0;-81.0
6500;-109.0;92.0;-201.0
6600;11.0;92.0;-81.0
6700;11.0;92.0;-81.0
6800;11.0;92.0;-81.0
6900;18.0;99.0;-81.0
7000;-72.5;88.5;-161.0
7100;91.0;92.0;-1.0
7200;59.5;60.5;-1.0
7300;80.5;81.5;-1.0
7400;84.0;85.0;-1.0
7500;204.0;85.0;119.0
7600;110.0;111.0;-1.0
7700;99.0;100.0;-1.0
7800;102.0;103.0;-1.0
7900;-21.0;100.0;-121.0
8000;-17.0;104.0;-121.0
8100;-19.0;102.0;-121.0
8200;61.0;102.0;-41.0
8300;58.0;99.0;-41.0
8400;181.0;102.0;79.0
8500;181.0;102.0;79.0
8600;179.0;100.0;79.0
8700;180.0;101.0;79.0
8800;180.0;101.0;79.0
8900;61.0;102.0;-41.0
9000;221.0;102.0;119.0
9100;391.0;112.0;279.0
9200;385.0;106.0;279.0
9300;267.0;108.0;159.0
9400;225.0;66.0;159.0
9500;285.0;126.0;159.0
9600;219.0;180.0;39.0
9700;321.0;162.0;159.0
9800;357.0;198.0;159.0
9900;-43.0;198.0;-241.0
10000;453.0;254.0;199.0
10100;493.0;254.0;239.0
10200;532.0;293.0;239.0
10300;506.0;267.0;239.0
10400;587.0;228.0;359.0
10500;506.0;267.0;239.0
10600;493.0;254.0;239.0
10700;532.0;293.0;239.0
10800;493.0;254.0;239.0
10900;519.0;280.0;239.0
11000;468.0;189.0;279.0
11100;559.0;280.0;279.0
11200;573.0;254.0;319.0
11300;573.0;254.0;319.0
11400;612.0;293.0;319.0
11500;573.0;254.0;319.0
11600;573.0;254.0;319.0
11700;732.0;293.0;439.0
11800;573.0;254.0;319.0
11900;693.0;254.0;439.0
12000;613.0;254.0;359.0
12100;688.0;289.0;399.0
12200;734.5;335.5;399.0
12300;688.0;289.0;399.0
12400;750.0;351.0;399.0
12500;750.0;351.0;399.0
12600;279.0;320.0;-41.0
12700;599.0;320.0;279.0
12800;614.5;335.5;279.0
12900;719.0;320.0;399.0
13000;759.0;320.0;439.0
13100;799.0;320.0;479.0
13200;830.0;351.0;479.0
13300;830.0;351.0;479.0
13400;799.0;320.0;479.0
13500;679.0;320.0;359.0
13600;799.0;320.0;479.0
13700;799.0;320.0;479.0
13800;799.0;320.0;479.0
13900;1152.5;273.5;879.0
14000;980.0;341.0;639.0
14100;900.0;341.0;559.0
14200;872.0;313.0;559.0
14300;830.0;271.0;559.0
14400;672.0;313.0;359.0
14500;908.0;229.0;679.0
14600;992.0;313.0;679.0
14700;668.0;229.0;439.0
14800;872.0;313.0;559.0
14900;724.0;285.0;439.0
15000;828.0;229.0;599.0
15100;1142.0;383.0;759.0
15200;1022.0;383.0;639.0
15300;1022.0;383.0;639.0
15400;1022.0;383.0;639.0
15500;1064.0;425.0;639.0
15600;1152.0;393.0;759.0
15700;1016.0;377.0;639.0
15800;1024.0;385.0;639.0
15900;1024.0;385.0;639.0
16000;1064.0;385.0;679.0
16100;1132.0;413.0;719.0
16200;1112.0;393.0;719.0
16300;1096.0;377.0;719.0
16400;1104.0;385.0;719.0
16500;1212.0;373.0;839.0
16600;1096.0;377.0;719.0
16700;976.0;377.0;599.0
16800;1096.0;377.0;719.0
16900;1216.0;377.0;839.0
17000;1224.0;385.0;839.0
17100;1184.0;385.0;799.0
17200;1064.0;385.0;679.0
17300;1064.0;385.0;679.0
17400;1312.0;393.0;919.0
17500;1184.0;385.0;799.0
17600;1184.0;385.0;799.0
17700;1304.0;385.0;919.0
17800;1072.0;393.0;679.0
17900;1184.0;385.0;799.0
18000;1344.0;385.0;959.0
18100;1396.0;397.0;999.0
18200;1264.0;385.0;879.0
18300;1256.0;377.0;879.0
18400;1272.0;393.0;879.0
18500;1314.0;435.0;879.0
18600;1434.0;435.0;999.0
18700;1427.0;428.0;999.0
18800;1314.0;435.0;879.0
18900;1187.0;428.0;759.0
19000;1356.0;437.0;919.0
19100;1394.0;435.0;959.0
19200;1392.0;433.0;959.0
19300;1392.0;433.0;959.0
19400;1392.0;433.0;959.0
19500;1272.0;433.0;839.0
19600;1272.0;433.0;839.0
19700;1269.0;430.0;839.0
19800;1371.0;412.0;959.0
19900;1244.0;445.0;799.0
20000;1324.0;445.0;879.0
20100;1604.0;445.0;1159.0
20200;1610.0;451.0;1159.0
20300;1595.0;436.0;1159.0
20400;1478.0;439.0;1039.0
20500;1478.0;439.0;1039.0
20600;1478.0;439.0;1039.0
20700;1472.0;433.0;1039.0
20800;1598.0;439.0;1159.0
20900;1478.0;439.0;1039.0
21000;1524.0;445.0;1079.0
21100;1518.0;439.0;1079.0
21200;1540.0;421.0;1119.0
21300;1564.0;445.0;1119.0
21400;1564.0;445.0;1119.0
21500;1585.0;466.0;1119.0
21600;1564.0;445.0;1119.0
21700;1564.0;445.0;1119.0
21800;1684.0;445.0;1239.0
21900;1684.0;445.0;1239.0
22000;1604.0;445.0;1159.0
22100;1644.0;445.0;1199.0
22200;1641.0;442.0;1199.0
22300;1641.0;442.0;1199.0
22400;1644.0;445.0;1199.0
22500;1644.0;445.0;1199.0
22600;1650.0;451.0;1199.0
22700;1665.0;466.0;1199.0
22800;1638.0;439.0;1199.0
22900;1644.0;445.0;1199.0
23000;1684.0;445.0;1239.0
23100;1284.0;445.0;839.0
23200;1694.0;415.0;1279.0
23300;1718.0;439.0;1279.0
23400;1715.0;436.0;1279.0
23500;1724.0;445.0;1279.0
23600;1715.0;436.0;1279.0
23700;1718.0;439.0;1279.0
23800;1718.0;439.0;1279.0
23900;1869.0;470.0;1399.0
24000;1924.0;485.0;1439.0
24100;1724.0;485.0;1239.0
24200;1849.0;490.0;1359.0
24300;1886.0;527.0;1359.0
24400;1761.0;402.0;1359.0
24500;1910.5;551.5;1359.0
24600;1897.0;538.0;1359.0
24700;1884.0;525.0;1359.0
24800;1803.0;564.0;1239.0
24900;1923.0;564.0;1359.0
25000;1989.0;590.0;1399.0
25100;2003.0;564.0;1439.0
25200;2123.0;564.0;1559.0
25300;2003.0;564.0;1439.0
25400;2003.0;564.0;1439.0
25500;1589.0;590.0;999.0
25600;2149.0;590.0;1559.0
25700;2003.0;564.0;1439.0
25800;1896.0;577.0;1319.0
25900;1883.0;564.0;1319.0
26000;1949.0;590.0;1359.0
26100;2109.0;590.0;1519.0
26200;2083.0;564.0;1519.0
26300;2203.0;564.0;1639.0
26400;1950.0;551.0;1399.0
26500;2509.0;590.0;1919.0
26600;2229.0;590.0;1639.0
26700;2109.0;590.0;1519.0
26800;2086.0;447.0;1639.0
26900;2203.0;564.0;1639.0
27000;2243.0;564.0;1679.0
27100;2163.0;564.0;1599.0
27200;2163.0;564.0;1599.0
27300;2283.0;564.0;1719.0
27400;2163.0;564.0;1599.0
27500;2163.0;564.0;1599.0
27600;2163.0;564.0;1599.0
27700;2163.0;564.0;1599.0
27800;2163.0;564.0;1599.0
27900;2257.0;538.0;1719.0
28000;2175.0;656.0;1519.0
28100;2225.0;546.0;1679.0
28200;2247.0;568.0;1679.0
28300;2247.0;568.0;1679.0
28400;2094.0;535.0;1559.0
28500;2214.0;535.0;1679.0
28600;2214.0;535.0;1679.0
28700;2429.0;590.0;1839.0
28800;2247.0;568.0;1679.0
28900;2247.0;568.0;1679.0
29000;2320.0;601.0;1719.0
29100;2480.0;601.0;1879.0
29200;2447.0;568.0;1879.0
29300;2327.0;568.0;1759.0
29400;2327.0;568.0;1759.0
29500;2327.0;568.0;1759.0
29600;2349.0;590.0;1759.0
29700;2305.0;546.0;1759.0
29800;2305.0;546.0;1759.0
29900;2327.0;568.0;1759.0
30000;2134.0;535.0;1599.0
30100;2407.0;568.0;1839.0
30200;2407.0;568.0;1839.0
30300;2440.0;601.0;1839.0
30400;2440.0;601.0;1839.0
30500;2374.0;535.0;1839.0
30600;2407.0;568.0;1839.0
30700;2429.0;590.0;1839.0
30800;2407.0;568.0;1839.0
30900;2287.0;568.0;1719.0
31000;2447.0;568.0;1879.0
31100;2465.0;546.0;1919.0
31200;2334.0;535.0;1799.0
31300;2487.0;568.0;1919.0
31400;2487.0;568.0;1919.0
31500;2487.0;568.0;1919.0
31600;2487.0;568.0;1919.0
31700;2367.0;568.0;1799.0
31800;2607.0;568.0;2039.0
31900;2454.0;535.0;1919.0
32000;2374.0;535.0;1839.0
32100;2567.0;568.0;1999.0
32200;2589.0;590.0;1999.0
32300;2578.0;579.0;1999.0
32400;2578.0;579.0;1999.0
32500;2967.0;568.0;2399.0
32600;2567.0;568.0;1999.0
32700;2425.0;546.0;1879.0
32800;2443.0;444.0;1999.0
32900;2573.0;574.0;1999.0
33000;2613.0;574.0;2039.0
33100;2773.0;574.0;2199.0
33200;2653.0;574.0;2079.0
33300;3013.0;574.0;2439.0
33400;2679.0;600.0;2079.0
33500;2585.0;626.0;1959.0
33600;2545.0;626.0;1919.0
33700;2653.0;574.0;2079.0
33800;2666.0;587.0;2079.0
33900;2679.0;600.0;2079.0
34000;2794.0;675.0;2119.0
34100;2853.0;694.0;2159.0
34200;2815.0;656.0;2159.0
34300;2815.0;656.0;2159.0
34400;2815.0;656.0;2159.0
