timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;6
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;8
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
2100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;12
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12998;8
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;3
3800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
4100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;2
4400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13011;10
4800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;4
5300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13012;8
5400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13012;8
6300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13013;11
6400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13013;9
7200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;2
7200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13014;5
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;5
9100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;4
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;10
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;6
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;7
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
26900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;2
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
33400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;9
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
34500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;3
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
39100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
39900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;7
41500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
44800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;8
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
58100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;9
59200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;2
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;9
61600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;4
62000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10013;6
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10017;3
72300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;10
72800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;5
74000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;4
74600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
76500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
76500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;8
77800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;7
79000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
80400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10005;8
83600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;2
83700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10014;2
85700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;8
85900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
87800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
87900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
88300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;2
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
90200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;10
96900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;8
97100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
98700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
106100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;5
112300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;4
112700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;4
120000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
120300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
122000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;10
122500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
122600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
124400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;3
124700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
126600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
126700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
126800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;5
127500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
129900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;9
137900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;3
139400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
139600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
142200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;2
142200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
146900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10013;6
147000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;2
148300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;2
149500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
149500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10014;9
153400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;5
154800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;2
155300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;10
155500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;6
