timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;10
100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;20
200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;28
400;SUBMISSION;;VEV_5400;SEASHELLS;17;26
500;SUBMISSION;;VEV_5400;SEASHELLS;17;19
600;SUBMISSION;;VEV_5400;SEASHELLS;17;24
1900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;11
2800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
2900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;2
3000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
3100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
3200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
3300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;7
3500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
3700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;4
4000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;2
4100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;4
4200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
4300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
4500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
4600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
4800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
6100;;SUBMISSION;VEV_5500;SEASHELLS;7;21
6300;;SUBMISSION;VEV_5500;SEASHELLS;7;24
9400;;SUBMISSION;VEV_5500;SEASHELLS;6;19
9500;;SUBMISSION;VEV_5500;SEASHELLS;6;21
19100;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;6
19100;;SUBMISSION;VEV_5300;SEASHELLS;53;2
20900;;SUBMISSION;VEV_5200;SEASHELLS;105;25
23500;;SUBMISSION;VEV_5200;SEASHELLS;101;8
23500;;SUBMISSION;VEV_5300;SEASHELLS;50;23
25500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;1
25600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;1
25700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;4
25800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;4
25900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;1
26000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;1
26700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9993;3
26800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9987;5
29200;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9994;4
29500;;SUBMISSION;VEV_5300;SEASHELLS;51;17
30300;;SUBMISSION;VEV_5300;SEASHELLS;50;4
30900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;1
31000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;1
35900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;3
36100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;2
37100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;2
37200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;4
37300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;4
37400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9993;9
37500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9993;9
37600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;11
37700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;11
