timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-288.0;42.0;-330.0
100;-335.0;42.0;-377.0
200;-385.0;42.0;-427.0
300;-606.0;45.0;-651.0
400;-616.0;35.0;-651.0
500;-607.0;44.0;-651.0
600;-487.0;44.0;-531.0
700;-609.0;42.0;-651.0
800;-609.0;42.0;-651.0
900;-723.0;48.0;-771.0
1000;-602.0;49.0;-651.0
1100;-522.0;49.0;-571.0
1200;-525.0;46.0;-571.0
1300;-525.0;46.0;-571.0
1400;-525.0;46.0;-571.0
1500;-523.0;48.0;-571.0
1600;-523.0;48.0;-571.0
1700;-403.0;48.0;-451.0
1800;-396.0;55.0;-451.0
1900;-523.0;48.0;-571.0
2000;-483.0;48.0;-531.0
2100;-445.0;46.0;-491.0
2200;-443.0;48.0;-491.0
2300;-325.0;46.0;-371.0
2400;-445.0;46.0;-491.0
2500;-445.0;46.0;-491.0
2600;-445.0;46.0;-491.0
2700;-848.0;43.0;-891.0
2800;-443.0;48.0;-491.0
2900;-43.0;48.0;-91.0
3000;-405.0;46.0;-451.0
3100;-367.0;44.0;-411.0
3200;-365.0;46.0;-411.0
3300;-248.0;43.0;-291.0
3400;-365.0;46.0;-411.0
3500;-365.0;46.0;-411.0
3600;-344.0;67.0;-411.0
3700;-224.0;67.0;-291.0
3800;-359.0;52.0;-411.0
3900;-344.0;67.0;-411.0
4000;-306.5;64.5;-371.0
4100;-394.0;57.0;-451.0
4200;-253.0;78.0;-331.0
4300;-115.5;95.5;-211.0
4400;-366.0;85.0;-451.0
4500;-235.5;95.5;-331.0
4600;-253.0;78.0;-331.0
4700;-366.0;85.0;-451.0
4800;-413.0;78.0;-491.0
4900;-246.0;85.0;-331.0
5000;-79.0;92.0;-171.0
5100;-86.0;85.0;-171.0
5200;-166.0;85.0;-251.0
5300;-166.0;85.0;-251.0
5400;-46.0;85.0;-131.0
5500;-173.0;78.0;-251.0
5600;-159.0;92.0;-251.0
5700;-566.0;85.0;-651.0
5800;-573.0;78.0;-651.0
5900;-166.0;85.0;-251.0
6000;-246.0;85.0;-331.0
6100;-75.5;95.5;-171.0
6200;-86.0;85.0;-171.0
6300;-86.0;85.0;-171.0
6400;-79.0;92.0;-171.0
6500;-199.0;92.0;-291.0
6600;-79.0;92.0;-171.0
6700;-79.0;92.0;-171.0
6800;-79.0;92.0;-171.0
6900;-72.0;99.0;-171.0
7000;-162.5;88.5;-251.0
7100;1.0;92.0;-91.0
7200;-30.5;60.5;-91.0
7300;-9.5;81.5;-91.0
7400;-6.0;85.0;-91.0
7500;114.0;85.0;29.0
7600;20.0;111.0;-91.0
7700;9.0;100.0;-91.0
7800;12.0;103.0;-91.0
7900;-111.0;100.0;-211.0
8000;-107.0;104.0;-211.0
8100;-109.0;102.0;-211.0
8200;-29.0;102.0;-131.0
8300;-32.0;99.0;-131.0
8400;91.0;102.0;-11.0
8500;91.0;102.0;-11.0
8600;89.0;100.0;-11.0
8700;90.0;101.0;-11.0
8800;90.0;101.0;-11.0
8900;-29.0;102.0;-131.0
9000;131.0;102.0;29.0
9100;301.0;112.0;189.0
9200;295.0;106.0;189.0
9300;177.0;108.0;69.0
9400;135.0;66.0;69.0
9500;195.0;126.0;69.0
9600;129.0;180.0;-51.0
9700;231.0;162.0;69.0
9800;267.0;198.0;69.0
9900;-133.0;198.0;-331.0
10000;363.0;254.0;109.0
10100;403.0;254.0;149.0
10200;442.0;293.0;149.0
10300;416.0;267.0;149.0
10400;497.0;228.0;269.0
10500;416.0;267.0;149.0
10600;403.0;254.0;149.0
10700;442.0;293.0;149.0
10800;403.0;254.0;149.0
10900;429.0;280.0;149.0
11000;378.0;189.0;189.0
11100;469.0;280.0;189.0
11200;483.0;254.0;229.0
11300;483.0;254.0;229.0
11400;522.0;293.0;229.0
11500;483.0;254.0;229.0
11600;483.0;254.0;229.0
11700;642.0;293.0;349.0
11800;483.0;254.0;229.0
11900;603.0;254.0;349.0
12000;523.0;254.0;269.0
12100;598.0;289.0;309.0
12200;644.5;335.5;309.0
12300;598.0;289.0;309.0
12400;660.0;351.0;309.0
12500;660.0;351.0;309.0
12600;189.0;320.0;-131.0
12700;509.0;320.0;189.0
12800;524.5;335.5;189.0
12900;629.0;320.0;309.0
13000;669.0;320.0;349.0
13100;709.0;320.0;389.0
13200;740.0;351.0;389.0
13300;740.0;351.0;389.0
13400;709.0;320.0;389.0
13500;589.0;320.0;269.0
13600;709.0;320.0;389.0
13700;709.0;320.0;389.0
13800;709.0;320.0;389.0
13900;1062.5;273.5;789.0
14000;890.0;341.0;549.0
14100;810.0;341.0;469.0
14200;782.0;313.0;469.0
14300;740.0;271.0;469.0
14400;582.0;313.0;269.0
14500;818.0;229.0;589.0
14600;902.0;313.0;589.0
14700;578.0;229.0;349.0
14800;782.0;313.0;469.0
14900;634.0;285.0;349.0
15000;738.0;229.0;509.0
15100;1052.0;383.0;669.0
15200;932.0;383.0;549.0
15300;932.0;383.0;549.0
15400;932.0;383.0;549.0
15500;974.0;425.0;549.0
15600;1062.0;393.0;669.0
15700;926.0;377.0;549.0
15800;934.0;385.0;549.0
15900;934.0;385.0;549.0
16000;974.0;385.0;589.0
16100;1042.0;413.0;629.0
16200;1022.0;393.0;629.0
16300;1006.0;377.0;629.0
16400;1014.0;385.0;629.0
16500;1122.0;373.0;749.0
16600;1006.0;377.0;629.0
16700;886.0;377.0;509.0
16800;1006.0;377.0;629.0
16900;1126.0;377.0;749.0
17000;1134.0;385.0;749.0
17100;1094.0;385.0;709.0
17200;974.0;385.0;589.0
17300;974.0;385.0;589.0
17400;1222.0;393.0;829.0
17500;1094.0;385.0;709.0
17600;1094.0;385.0;709.0
17700;1214.0;385.0;829.0
17800;982.0;393.0;589.0
17900;1094.0;385.0;709.0
18000;1254.0;385.0;869.0
18100;1306.0;397.0;909.0
18200;1174.0;385.0;789.0
18300;1166.0;377.0;789.0
18400;1182.0;393.0;789.0
18500;1224.0;435.0;789.0
18600;1344.0;435.0;909.0
18700;1337.0;428.0;909.0
18800;1224.0;435.0;789.0
18900;1097.0;428.0;669.0
19000;1266.0;437.0;829.0
19100;1304.0;435.0;869.0
19200;1302.0;433.0;869.0
19300;1302.0;433.0;869.0
19400;1302.0;433.0;869.0
19500;1182.0;433.0;749.0
19600;1182.0;433.0;749.0
19700;1179.0;430.0;749.0
19800;1281.0;412.0;869.0
19900;1154.0;445.0;709.0
20000;1234.0;445.0;789.0
20100;1514.0;445.0;1069.0
20200;1520.0;451.0;1069.0
20300;1505.0;436.0;1069.0
20400;1388.0;439.0;949.0
20500;1388.0;439.0;949.0
20600;1388.0;439.0;949.0
20700;1382.0;433.0;949.0
20800;1508.0;439.0;1069.0
20900;1388.0;439.0;949.0
21000;1434.0;445.0;989.0
21100;1428.0;439.0;989.0
21200;1450.0;421.0;1029.0
21300;1474.0;445.0;1029.0
21400;1474.0;445.0;1029.0
21500;1495.0;466.0;1029.0
21600;1474.0;445.0;1029.0
21700;1474.0;445.0;1029.0
21800;1594.0;445.0;1149.0
21900;1594.0;445.0;1149.0
22000;1514.0;445.0;1069.0
22100;1554.0;445.0;1109.0
22200;1551.0;442.0;1109.0
22300;1551.0;442.0;1109.0
22400;1554.0;445.0;1109.0
22500;1554.0;445.0;1109.0
22600;1560.0;451.0;1109.0
22700;1575.0;466.0;1109.0
22800;1548.0;439.0;1109.0
22900;1554.0;445.0;1109.0
23000;1594.0;445.0;1149.0
23100;1194.0;445.0;749.0
23200;1604.0;415.0;1189.0
23300;1628.0;439.0;1189.0
23400;1625.0;436.0;1189.0
23500;1634.0;445.0;1189.0
23600;1625.0;436.0;1189.0
23700;1628.0;439.0;1189.0
23800;1628.0;439.0;1189.0
23900;1779.0;470.0;1309.0
24000;1834.0;485.0;1349.0
24100;1634.0;485.0;1149.0
24200;1759.0;490.0;1269.0
24300;1796.0;527.0;1269.0
24400;1671.0;402.0;1269.0
24500;1820.5;551.5;1269.0
24600;1807.0;538.0;1269.0
24700;1794.0;525.0;1269.0
24800;1713.0;564.0;1149.0
24900;1833.0;564.0;1269.0
25000;1899.0;590.0;1309.0
25100;1913.0;564.0;1349.0
25200;2033.0;564.0;1469.0
25300;1913.0;564.0;1349.0
25400;1913.0;564.0;1349.0
25500;1499.0;590.0;909.0
25600;2059.0;590.0;1469.0
25700;1913.0;564.0;1349.0
25800;1806.0;577.0;1229.0
25900;1793.0;564.0;1229.0
26000;1859.0;590.0;1269.0
26100;2019.0;590.0;1429.0
26200;1993.0;564.0;1429.0
26300;2113.0;564.0;1549.0
26400;1860.0;551.0;1309.0
26500;2419.0;590.0;1829.0
26600;2139.0;590.0;1549.0
26700;2019.0;590.0;1429.0
26800;1996.0;447.0;1549.0
26900;2113.0;564.0;1549.0
27000;2153.0;564.0;1589.0
27100;2073.0;564.0;1509.0
27200;2073.0;564.0;1509.0
27300;2193.0;564.0;1629.0
27400;2073.0;564.0;1509.0
27500;2073.0;564.0;1509.0
27600;2073.0;564.0;1509.0
27700;2073.0;564.0;1509.0
27800;2073.0;564.0;1509.0
27900;2167.0;538.0;1629.0
28000;2085.0;656.0;1429.0
28100;2135.0;546.0;1589.0
28200;2157.0;568.0;1589.0
28300;2157.0;568.0;1589.0
28400;2004.0;535.0;1469.0
28500;2124.0;535.0;1589.0
28600;2124.0;535.0;1589.0
28700;2339.0;590.0;1749.0
28800;2157.0;568.0;1589.0
28900;2157.0;568.0;1589.0
29000;2230.0;601.0;1629.0
29100;2390.0;601.0;1789.0
29200;2357.0;568.0;1789.0
29300;2237.0;568.0;1669.0
29400;2237.0;568.0;1669.0
29500;2237.0;568.0;1669.0
29600;2259.0;590.0;1669.0
29700;2215.0;546.0;1669.0
29800;2215.0;546.0;1669.0
29900;2237.0;568.0;1669.0
30000;2044.0;535.0;1509.0
30100;2317.0;568.0;1749.0
30200;2317.0;568.0;1749.0
30300;2350.0;601.0;1749.0
30400;2350.0;601.0;1749.0
30500;2284.0;535.0;1749.0
30600;2317.0;568.0;1749.0
30700;2339.0;590.0;1749.0
30800;2317.0;568.0;1749.0
30900;2197.0;568.0;1629.0
31000;2357.0;568.0;1789.0
31100;2375.0;546.0;1829.0
31200;2244.0;535.0;1709.0
31300;2397.0;568.0;1829.0
31400;2397.0;568.0;1829.0
31500;2397.0;568.0;1829.0
31600;2397.0;568.0;1829.0
31700;2277.0;568.0;1709.0
31800;2517.0;568.0;1949.0
31900;2364.0;535.0;1829.0
32000;2284.0;535.0;1749.0
32100;2477.0;568.0;1909.0
32200;2499.0;590.0;1909.0
32300;2488.0;579.0;1909.0
32400;2488.0;579.0;1909.0
32500;2877.0;568.0;2309.0
32600;2477.0;568.0;1909.0
32700;2335.0;546.0;1789.0
32800;2353.0;444.0;1909.0
32900;2483.0;574.0;1909.0
33000;2523.0;574.0;1949.0
33100;2683.0;574.0;2109.0
33200;2563.0;574.0;1989.0
33300;2923.0;574.0;2349.0
33400;2589.0;600.0;1989.0
33500;2495.0;626.0;1869.0
33600;2455.0;626.0;1829.0
33700;2563.0;574.0;1989.0
33800;2576.0;587.0;1989.0
33900;2589.0;600.0;1989.0
34000;2704.0;675.0;2029.0
34100;2763.0;694.0;2069.0
34200;2725.0;656.0;2069.0
34300;2725.0;656.0;2069.0
