timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;9
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12009;25
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;3
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;10
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
14000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;3
28000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;3
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
41500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
54600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
56400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;3
58400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9988;3
59700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
63700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;2
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
76300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
85500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;7
85900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;5
87800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;5
87900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
90800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
93000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;8
95900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
103700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
105900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;5
107200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
111600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
114700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
116100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
117600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;3
121500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
122000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;10
122300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;5
124500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
126400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
126500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
127800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;2
129900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
130300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
139400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
139400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
142000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;2
142200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;6
