timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;-27.0;0.0;-15.0;0.0;0.0;-12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-67.0;0.0;-33.0;0.0;0.0;-34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-151.5;0.0;-75.5;0.0;0.0;-76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300;-268.0;0.0;-153.0;0.0;0.0;-115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-205.0;0.0;-89.0;0.0;0.0;-116.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500;-78.0;0.0;-21.0;0.0;0.0;-57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
600;-52.0;0.0;81.0;-30.0;-18.0;-85.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
700;-30.5;0.0;47.0;-7.5;-6.0;-64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800;-96.5;0.0;47.0;-7.5;-8.0;-128.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
900;-20.5;0.0;149.0;-7.5;-8.0;-154.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;-152.5;0.0;47.0;-7.5;-8.0;-184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;-323.5;0.0;-21.0;-12.5;-12.0;-278.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1200;-101.5;0.0;47.0;-7.5;-4.0;-137.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1300;12.0;0.0;81.0;25.0;-4.0;-90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1400;-324.0;0.0;-55.0;21.0;-12.0;-278.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1500;-457.0;0.0;-89.0;20.0;-16.0;-372.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1600;-457.0;0.0;-89.0;20.0;-16.0;-372.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;-660.0;0.0;-191.0;17.0;-20.0;-466.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1800;-578.0;0.0;-157.0;18.0;-20.0;-419.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;-709.0;0.0;-225.0;16.0;-22.0;-478.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000;-1051.0;0.0;-361.0;12.0;-28.0;-674.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2100;-1225.0;0.0;-429.0;10.0;-34.0;-772.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2200;-1051.0;0.0;-361.0;12.0;-28.0;-674.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2300;-1188.0;0.0;-395.0;11.0;-32.0;-772.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2400;-1395.0;0.0;-497.0;8.0;-36.0;-870.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2500;-1739.0;0.0;-633.0;4.0;-44.0;-1066.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2600;-1790.0;0.0;-633.0;4.0;-46.0;-1115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2700;-1655.0;0.0;-599.0;5.0;-44.0;-1017.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2800;-1577.0;-8.0;-565.0;6.0;-42.0;-968.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
